date,open,high,low,close,volume,split,dividend
2024-06-03,152.0800018310547,152.47999572753906,149.39999389648438,150.50999450683594,564900,1.0,0.0
2024-06-04,150.6699981689453,152.92999267578125,150.6699981689453,151.8800048828125,682300,1.0,0.0
2024-06-05,151.9600067138672,154.5,151.7100067138672,153.4199981689453,612500,1.0,0.0
2024-06-06,153.44000244140625,155.0,151.9499969482422,152.27999877929688,617400,1.0,0.0
2024-06-07,152.64999389648438,153.67999267578125,151.5,151.74000549316406,650200,1.0,0.0
2024-06-10,151.5500030517578,152.6699981689453,150.7899932861328,151.83999633789062,797200,1.0,0.0
2024-06-11,151.4600067138672,151.8000030517578,149.92999267578125,150.6999969482422,673700,1.0,0.0
2024-06-12,151.25999450683594,153.0399932861328,151.0,151.9199981689453,489600,1.0,0.0
2024-06-13,151.38999938964844,151.5,149.80999755859375,150.41000366210938,394400,1.0,0.51
2024-06-14,149.27999877929688,150.86000061035156,148.5800018310547,150.4199981689453,376000,1.0,0.0
2024-06-17,150.02000427246094,152.94000244140625,149.22000122070312,152.89999389648438,522500,1.0,0.0
2024-06-18,152.33999633789062,154.42999267578125,151.64999389648438,153.86000061035156,505600,1.0,0.0
2024-06-20,153.8800048828125,154.5500030517578,152.72999572753906,154.4499969482422,565900,1.0,0.0
2024-06-21,154.4600067138672,155.19000244140625,152.60000610351562,154.85000610351562,1325200,1.0,0.0
2024-06-24,155.00999450683594,158.3000030517578,154.97000122070312,157.22000122070312,620800,1.0,0.0
2024-06-25,157.49000549316406,158.08999633789062,155.9499969482422,157.38999938964844,503400,1.0,0.0
2024-06-26,156.41000366210938,156.80999755859375,155.2899932861328,156.22999572753906,677200,1.0,0.0
2024-06-27,155.77999877929688,156.39999389648438,153.82000732421875,156.25,586300,1.0,0.0
2024-06-28,156.8800048828125,157.5800018310547,153.02999877929688,153.89999389648438,1816800,1.0,0.0
2024-07-01,154.60000610351562,155.11000061035156,150.8300018310547,151.0,944200,1.0,0.0
2024-07-02,150.86000061035156,153.00999450683594,150.3000030517578,152.77999877929688,515400,1.0,0.0
2024-07-03,153.0500030517578,154.52999877929688,151.92999267578125,154.50999450683594,261000,1.0,0.0
2024-07-05,154.1699981689453,154.80999755859375,152.58999633789062,152.7899932861328,401300,1.0,0.0
2024-07-08,153.5500030517578,155.0399932861328,153.44000244140625,153.6999969482422,490700,1.0,0.0
2024-07-09,153.6999969482422,154.64999389648438,153.2100067138672,154.38999938964844,437900,1.0,0.0
2024-07-10,155.0,155.64999389648438,153.86000061035156,155.64999389648438,339700,1.0,0.0
2024-07-11,156.11000061035156,157.4199981689453,156.10000610351562,156.97999572753906,369900,1.0,0.0
2024-07-12,157.91000366210938,159.0500030517578,157.5399932861328,158.16000366210938,373000,1.0,0.0
2024-07-15,157.5399932861328,159.4499969482422,157.0800018310547,157.22000122070312,461500,1.0,0.0
2024-07-16,158.02000427246094,159.80999755859375,157.97000122070312,158.19000244140625,493600,1.0,0.0
2024-07-17,157.5800018310547,158.58999633789062,156.22000122070312,156.25999450683594,391600,1.0,0.0
2024-07-18,156.25,158.63999938964844,156.02000427246094,156.6999969482422,434000,1.0,0.0
2024-07-19,157.2100067138672,157.52000427246094,155.52000427246094,156.05999755859375,436500,1.0,0.0
2024-07-22,156.3300018310547,158.3300018310547,154.5399932861328,158.1699981689453,388500,1.0,0.0
2024-07-23,158.47999572753906,160.6199951171875,157.63999938964844,160.2899932861328,565900,1.0,0.0
2024-07-24,159.5500030517578,159.6300048828125,153.9600067138672,154.08999633789062,617700,1.0,0.0
2024-07-25,154.6699981689453,156.75999450683594,153.50999450683594,153.5800018310547,797600,1.0,0.0
2024-07-26,140.75,143.0,134.66000366210938,139.83999633789062,2954200,1.0,0.0
2024-07-29,141.82000732421875,145.0,141.52000427246094,144.49000549316406,2045100,1.0,0.0
2024-07-30,145.32000732421875,146.16000366210938,137.89999389648438,138.82000732421875,1221300,1.0,0.0
2024-07-31,141.02999877929688,144.1199951171875,139.6199951171875,143.30999755859375,1207700,1.0,0.0
2024-08-01,143.30999755859375,144.3300018310547,140.6300048828125,142.9499969482422,896900,1.0,0.0
2024-08-02,140.75,144.0,140.07000732421875,143.97999572753906,953500,1.0,0.0
2024-08-05,139.35000610351562,145.0,138.72000122070312,144.63999938964844,1420700,1.0,0.0
2024-08-06,145.58999633789062,149.52000427246094,144.97999572753906,146.1999969482422,1147900,1.0,0.0
2024-08-07,147.27000427246094,148.61000061035156,145.36000061035156,145.3699951171875,754000,1.0,0.0
2024-08-08,146.00999450683594,147.82000732421875,144.97000122070312,147.7899932861328,700500,1.0,0.0
2024-08-09,147.52000427246094,148.02000427246094,146.11000061035156,147.61000061035156,425300,1.0,0.0
2024-08-12,147.6699981689453,148.19000244140625,146.07000732421875,146.33999633789062,522200,1.0,0.0
