date,open,high,low,close,volume,split,dividend
2024-06-03,7.77,7.87,7.69,7.69,152687,1.0,0.0
2024-06-04,7.67,7.74,7.44,7.48,68070,1.0,0.0
2024-06-05,7.54,7.71,7.4799,7.64,151100,1.0,0.0
2024-06-06,7.66,7.78,7.49,7.53,105046,1.0,0.0
2024-06-07,7.46,7.54,7.16,7.29,159006,1.0,0.0
2024-06-10,7.25,7.64,7.25,7.45,193356,1.0,0.0
2024-06-11,7.27,7.51,7.14,7.24,253792,1.0,0.0
2024-06-12,7.46,7.55,7.33,7.43,216928,1.0,0.0
2024-06-13,7.38,7.49,7.0,7.38,888586,1.0,0.0
2024-06-14,7.35,7.56,7.15,7.23,255313,1.0,0.0
2024-06-17,7.14,7.26,6.81,7.09,279870,1.0,0.0
2024-06-18,7.06,7.28,7.04,7.16,479782,1.0,0.0
2024-06-20,7.15,7.21,7.02,7.1,393432,1.0,0.0
2024-06-21,7.1,7.15,6.82,7.15,825979,1.0,0.0
2024-06-24,7.14,7.24,7.1,7.21,669476,1.0,0.0
2024-06-25,7.17,7.27,6.96,7.26,454219,1.0,0.0
2024-06-26,7.22,7.41,7.16,7.33,161641,1.0,0.0
2024-06-27,7.41,7.43,7.2,7.25,185856,1.0,0.0
2024-06-28,7.29,7.42,7.26,7.42,124897,1.0,0.0
2024-07-01,7.42,7.48,7.235,7.24,208537,1.0,0.0
2024-07-02,7.24,7.43,7.24,7.43,150580,1.0,0.0
2024-07-03,7.47,7.66,7.46,7.64,88462,1.0,0.0
2024-07-05,7.62,7.64,7.3,7.32,79684,1.0,0.0
2024-07-08,7.36,7.42,7.235,7.25,65001,1.0,0.0
2024-07-09,7.28,7.39,7.17,7.36,76653,1.0,0.0
2024-07-10,7.4,7.46,7.35,7.39,63886,1.0,0.0
2024-07-11,7.52,7.87,7.43,7.85,198669,1.0,0.0
2024-07-12,7.95,8.14,7.9,8.06,120145,1.0,0.0
2024-07-15,8.1,8.33,8.022,8.19,166164,1.0,0.0
2024-07-16,8.23,8.59,8.23,8.59,143439,1.0,0.0
2024-07-17,8.59,8.71,8.365,8.45,143325,1.0,0.0
2024-07-18,8.45,8.62,8.38,8.49,89961,1.0,0.0
2024-07-19,8.47,8.52,8.31,8.34,81444,1.0,0.0
2024-07-22,8.32,8.4145,8.14,8.32,129233,1.0,0.0
2024-07-23,8.23,8.36,8.06,8.06,130954,1.0,0.0
2024-07-24,8.0,8.15,7.82,7.83,246003,1.0,0.0
2024-07-25,7.81,8.13,7.795,7.89,185695,1.0,0.0
2024-07-26,8.02,8.07,7.83,7.97,154852,1.0,0.0
2024-07-29,7.92,8.0,7.8405,7.88,269043,1.0,0.0
2024-07-30,7.86,8.13,7.84,8.04,111699,1.0,0.0
2024-07-31,8.05,8.25,7.95,8.15,193166,1.0,0.0
2024-08-01,8.16,8.28,7.67,7.71,251814,1.0,0.0
2024-08-02,7.51,7.75,7.35,7.66,214751,1.0,0.0
2024-08-05,7.2,7.44,7.15,7.25,195913,1.0,0.0
2024-08-06,7.26,7.41,7.15,7.26,137401,1.0,0.0
2024-08-07,7.52,7.63,7.085,7.5,211861,1.0,0.0
2024-08-08,7.62,7.82,7.49,7.82,87676,1.0,0.0
2024-08-09,7.81,7.81,7.41,7.57,169364,1.0,0.0
2024-08-12,7.63,7.91,7.45,7.6,164975,1.0,0.0
2024-08-13,7.68,7.68,7.4,7.47,167347,1.0,0.0
2024-08-14,7.53,7.575,7.45,7.48,91107,1.0,0.0
2024-08-15,7.62,7.725,7.46,7.65,166498,1.0,0.0
2024-08-16,7.6,7.775,7.54,7.77,294034,1.0,0.0
2024-08-19,7.8,7.9,7.735,7.86,69195,1.0,0.0
2024-08-20,7.81,7.81,7.61,7.66,54092,1.0,0.0
2024-08-21,7.75,7.76,7.62,7.69,95737,1.0,0.0
2024-08-22,7.67,7.675,7.5501,7.65,58011,1.0,0.0
2024-08-23,7.67,8.2,7.65,8.14,133065,1.0,0.0
2024-08-26,8.14,8.37,8.14,8.2,132306,1.0,0.0
2024-08-27,8.1,8.285,8.1,8.22,82966,1.0,0.0
2024-08-28,8.23,8.51,8.23,8.32,197857,1.0,0.0
2024-08-29,8.34,8.5,8.2181,8.41,115114,1.0,0.0
2024-08-30,8.33,8.3788,8.05,8.21,156541,1.0,0.13
2024-09-03,8.15,8.27,8.04,8.17,198697,1.0,0.0
2024-09-04,8.12,8.225,7.91,7.97,89493,1.0,0.0
2024-09-05,8.04,8.1399,7.98,8.09,78138,1.0,0.0
2024-09-06,8.07,8.135,7.82,7.84,128154,1.0,0.0
2024-09-09,7.83,7.98,7.78,7.93,129343,1.0,0.0
2024-09-10,7.95,7.96,7.75,7.96,55752,1.0,0.0
2024-09-11,7.91,8.028,7.77,7.94,107007,1.0,0.0
2024-09-12,8.12,8.735,8.07,8.59,171024,1.0,0.0
2024-09-13,8.71,9.0,8.46,8.98,320031,1.0,0.0
2024-09-16,9.0,9.11,8.67,9.06,236247,1.0,0.0
2024-09-17,9.07,9.3,8.8,9.03,262828,1.0,0.0
2024-09-18,9.02,9.265,8.7469,9.12,228915,1.0,0.0
2024-09-19,9.32,9.32,9.07,9.17,353425,1.0,0.0
2024-09-20,9.15,9.5,9.1,9.46,691169,1.0,0.0
2024-09-23,9.5,9.5,9.19,9.35,155782,1.0,0.0
2024-09-24,9.42,9.59,9.405,9.59,304271,1.0,0.0
2024-09-25,9.54,9.7,9.49,9.64,378858,1.0,0.0
2024-09-26,9.73,10.04,9.71,10.03,220323,1.0,0.0
2024-09-27,10.03,10.12,9.785,9.83,247260,1.0,0.0
2024-09-30,9.8,9.895,9.72,9.87,86837,1.0,0.0
2024-10-01,9.88,9.93,9.66,9.85,215166,1.0,0.0
2024-10-02,9.83,9.94,9.75,9.81,124354,1.0,0.0
2024-10-03,9.79,9.87,9.62,9.86,451204,1.0,0.0
2024-10-04,10.0,10.0,9.72,9.79,127551,1.0,0.0
2024-10-07,9.81,9.81,9.63,9.7,101492,1.0,0.0
2024-10-08,9.69,9.75,9.505,9.59,114813,1.0,0.0
2024-10-09,9.61,9.7702,9.49,9.75,242924,1.0,0.0
2024-10-10,9.85,10.29,9.79,10.29,620752,1.0,0.0
2024-10-11,10.3,10.755,10.3,10.52,218454,1.0,0.0
2024-10-14,10.36,10.48,9.93,10.4,580327,1.0,0.0
2024-10-15,10.44,10.57,10.21,10.47,269896,1.0,0.0
2024-10-16,10.57,10.875,10.5427,10.82,200205,1.0,0.0
2024-10-17,10.86,10.95,10.65,10.73,155978,1.0,0.0
2024-10-18,10.83,10.95,10.7,10.84,139153,1.0,0.0
2024-10-21,10.86,10.86,10.535,10.64,165702,1.0,0.0
2024-10-22,10.54,10.74,10.53,10.68,259363,1.0,0.0
2024-10-23,10.57,10.6093,10.32,10.48,170472,1.0,0.0
2024-10-24,10.51,10.84,10.49,10.7,148790,1.0,0.0
2024-10-25,10.74,10.74,10.51,10.52,98539,1.0,0.0
2024-10-28,10.52,10.81,10.52,10.67,261715,1.0,0.0
2024-10-29,10.65,10.77,10.61,10.66,89927,1.0,0.0
2024-10-30,10.65,10.92,10.64,10.9,102013,1.0,0.0
2024-10-31,10.94,10.99,10.7244,10.88,202491,1.0,0.0
2024-11-01,10.93,10.93,10.465,10.5,296472,1.0,0.0
2024-11-04,10.46,10.72,10.3914,10.62,166099,1.0,0.0
