date,open,high,low,close,volume,split,dividend
2024-06-03,3.54,3.6199,3.53,3.59,1220534,1.0,0.0
2024-06-04,3.49,3.53,3.42,3.46,2348721,1.0,0.0
2024-06-05,3.47,3.49,3.41,3.46,1634093,1.0,0.0
2024-06-06,3.49,3.54,3.44,3.53,2444193,1.0,0.0
2024-06-07,3.47,3.565,3.45,3.45,4128179,1.0,0.0
2024-06-10,3.42,3.475,3.3914,3.45,1725725,1.0,0.0
2024-06-11,3.47,3.575,3.46,3.56,1599664,1.0,0.0
2024-06-12,3.56,3.56,3.445,3.48,2207274,1.0,0.0
2024-06-13,3.46,3.49,3.41,3.48,1321574,1.0,0.0
2024-06-14,3.46,3.52,3.445,3.47,1131673,1.0,0.0
2024-06-17,3.44,3.455,3.36,3.37,2113440,1.0,0.0
2024-06-18,3.45,3.55,3.45,3.54,2329782,1.0,0.0
2024-06-20,3.7,3.7983,3.69,3.72,3606467,1.0,0.0
2024-06-21,3.77,3.83,3.735,3.83,3764000,1.0,0.0
2024-06-24,3.87,3.91,3.82,3.87,3674800,1.0,0.0
2024-06-25,3.85,3.89,3.8,3.84,4160939,1.0,0.0
2024-06-26,3.82,3.86,3.8,3.84,1723514,1.0,0.0
2024-06-27,3.9,4.03,3.9,4.02,3146400,1.0,0.0
2024-06-28,3.99,4.085,3.93,4.07,4319567,1.0,0.0
2024-07-01,4.07,4.125,4.04,4.07,2701594,1.0,0.0
2024-07-02,4.08,4.2,4.08,4.2,2249824,1.0,0.0
2024-07-03,4.22,4.24,4.06,4.13,1625970,1.0,0.0
2024-07-05,4.18,4.245,4.155,4.2,1053871,1.0,0.0
2024-07-08,4.13,4.185,4.1,4.14,1776580,1.0,0.0
2024-07-09,4.16,4.19,4.1,4.1,1600553,1.0,0.0
2024-07-10,4.09,4.145,4.07,4.08,1801652,1.0,0.0
2024-07-11,4.06,4.08,4.0,4.07,2003849,1.0,0.0
2024-07-12,4.09,4.19,4.085,4.14,1621036,1.0,0.0
2024-07-15,4.18,4.21,4.12,4.16,1395837,1.0,0.0
2024-07-16,4.17,4.2,4.13,4.17,1335070,1.0,0.0
2024-07-17,4.14,4.2,4.115,4.13,1811835,1.0,0.0
2024-07-18,3.85,3.88,3.73,3.73,4348723,1.0,0.0
2024-07-19,3.78,3.84,3.675,3.74,3794278,1.0,0.0
2024-07-22,3.84,3.89,3.78,3.78,1732397,1.0,0.0
2024-07-23,3.77,3.815,3.73,3.74,869249,1.0,0.0
2024-07-24,3.68,3.7385,3.65,3.65,1049255,1.0,0.0
2024-07-25,3.65,3.725,3.62,3.7,2090710,1.0,0.0
2024-07-26,3.76,3.86,3.755,3.82,1863073,1.0,0.0
2024-07-29,3.88,3.895,3.79,3.79,1800010,1.0,0.0
2024-07-30,3.79,3.84,3.76,3.8,1946602,1.0,0.0
2024-07-31,3.79,3.86,3.73,3.76,3277299,1.0,0.0
2024-08-01,3.77,3.81,3.68,3.74,1330130,1.0,0.0
2024-08-02,3.72,3.775,3.6815,3.69,1282787,1.0,0.0
2024-08-05,3.54,3.64,3.51,3.63,1888882,1.0,0.0
2024-08-06,3.68,3.7386,3.6613,3.71,3294513,1.0,0.0
2024-08-07,3.76,3.78,3.71,3.74,1436261,1.0,0.0
2024-08-08,3.77,3.91,3.75,3.89,1511794,1.0,0.0
2024-08-09,4.0,4.03,3.97,4.0,1654181,1.0,0.0
2024-08-12,4.07,4.0784,3.985,4.01,1372610,1.0,0.0
2024-08-13,4.02,4.175,4.02,4.16,1935668,1.0,0.0
