date,open,high,low,close,volume,split,dividend
2024-06-03,7.0,7.005,6.46,6.47,1032210,1.0,0.0
2024-06-04,6.41,6.52,6.18,6.3,1529813,1.0,0.0
2024-06-05,6.35,6.35,6.225,6.27,1229885,1.0,0.0
2024-06-06,6.27,6.43,6.195,6.41,1525620,1.0,0.0
2024-06-07,6.35,6.46,6.32,6.44,1004255,1.0,0.0
2024-06-10,6.47,6.545,6.4108,6.47,581899,1.0,0.0
2024-06-11,6.44,6.44,6.295,6.43,567499,1.0,0.0
2024-06-12,6.53,6.57,6.34,6.41,895655,1.0,0.0
2024-06-13,6.41,6.41,6.195,6.25,1857568,1.0,0.0
2024-06-14,6.28,6.28,6.12,6.18,747970,1.0,0.0
2024-06-17,6.2,6.21,6.07,6.17,875590,1.0,0.0
2024-06-18,6.17,6.2482,6.14,6.18,788171,1.0,0.0
2024-06-20,6.21,6.35,6.17,6.25,746792,1.0,0.0
2024-06-21,6.27,6.28,6.1,6.1,1369082,1.0,0.0
2024-06-24,6.14,6.42,6.14,6.38,1024136,1.0,0.0
2024-06-25,6.37,6.4,6.29,6.3,941930,1.0,0.0
2024-06-26,6.31,6.33,6.18,6.27,1285552,1.0,0.0
2024-06-27,6.33,6.46,6.255,6.45,663669,1.0,0.0
2024-06-28,6.52,6.56,6.4,6.46,2090325,1.0,0.0
2024-07-01,6.54,6.55,6.42,6.45,529206,1.0,0.0
2024-07-02,6.48,6.54,6.41,6.52,665440,1.0,0.0
2024-07-03,6.5,6.69,6.5,6.65,585763,1.0,0.0
2024-07-05,6.61,6.65,6.38,6.42,978879,1.0,0.0
2024-07-08,6.4,6.49,6.375,6.47,441697,1.0,0.0
2024-07-09,6.44,6.58,6.36,6.44,695046,1.0,0.0
2024-07-10,6.42,6.56,6.4,6.56,698720,1.0,0.0
2024-07-11,6.58,6.765,6.56,6.76,620012,1.0,0.0
2024-07-12,6.84,6.845,6.69,6.75,697782,1.0,0.0
2024-07-15,6.85,6.86,6.72,6.78,750966,1.0,0.0
2024-07-16,6.77,6.875,6.73,6.83,635816,1.0,0.0
2024-07-17,6.85,7.02,6.85,6.96,1054304,1.0,0.0
2024-07-18,6.91,7.005,6.83,6.87,845285,1.0,0.0
2024-07-19,6.88,6.92,6.73,6.86,612597,1.0,0.0
2024-07-22,6.82,6.835,6.6909,6.78,605396,1.0,0.0
2024-07-23,6.76,6.76,6.625,6.67,627246,1.0,0.0
2024-07-24,6.72,6.795,6.62,6.68,617916,1.0,0.0
2024-07-25,6.69,6.87,6.67,6.84,615366,1.0,0.0
2024-07-26,6.85,6.8522,6.7312,6.84,814746,1.0,0.0
2024-07-29,6.88,6.88,6.52,6.62,571759,1.0,0.0
2024-07-30,6.57,6.74,6.56,6.71,857373,1.0,0.0
2024-07-31,6.8,6.945,6.78,6.86,627073,1.0,0.0
2024-08-01,6.86,6.89,6.4,6.48,757444,1.0,0.0
2024-08-02,6.4,6.4047,6.015,6.05,952436,1.0,0.0
2024-08-05,5.91,5.91,5.625,5.79,1188931,1.0,0.0
2024-08-06,5.82,5.8598,5.68,5.79,777249,1.0,0.0
2024-08-07,5.9,5.99,5.82,5.86,782615,1.0,0.0
2024-08-08,5.93,6.1,5.91,6.06,704814,1.0,0.0
2024-08-09,6.06,6.19,5.87,5.99,1176851,1.0,0.0
2024-08-12,5.97,6.16,5.8901,6.11,1033332,1.0,0.17
2024-08-13,6.08,6.15,5.98,6.14,1267592,1.0,0.0
2024-08-14,6.18,6.32,6.1,6.31,1043591,1.0,0.0
2024-08-15,6.31,6.6,6.28,6.55,1165087,1.0,0.0
2024-08-16,6.49,6.645,6.49,6.58,1314424,1.0,0.0
2024-08-19,6.56,6.6,6.47,6.48,997726,1.0,0.0
2024-08-20,6.46,6.47,6.21,6.29,1027780,1.0,0.0
2024-08-21,6.39,6.405,6.2525,6.33,639600,1.0,0.0
2024-08-22,6.33,6.365,6.25,6.28,1016845,1.0,0.0
2024-08-23,6.2,6.28,6.145,6.23,1058226,1.0,0.17
2024-08-26,6.34,6.4,6.23,6.24,794486,1.0,0.0
2024-08-27,6.21,6.235,6.025,6.19,1221584,1.0,0.0
2024-08-28,6.11,6.18,6.074,6.18,936405,1.0,0.0
2024-08-29,6.23,6.345,6.17,6.32,1087015,1.0,0.0
2024-08-30,6.24,6.315,6.105,6.19,1205545,1.0,0.0
2024-09-03,6.04,6.06,5.81,5.93,1595150,1.0,0.0
2024-09-04,5.95,6.0,5.7,5.74,1238499,1.0,0.0
2024-09-05,5.79,5.83,5.56,5.59,1325735,1.0,0.0
2024-09-06,5.56,5.59,5.27,5.3,1086880,1.0,0.0
2024-09-09,5.31,5.39,5.245,5.32,1559259,1.0,0.0
2024-09-10,5.35,5.35,5.135,5.28,1396696,1.0,0.0
2024-09-11,5.3,5.35,5.085,5.24,1746341,1.0,0.0
2024-09-12,5.29,5.408,5.18,5.31,975135,1.0,0.0
2024-09-13,5.35,5.49,5.35,5.42,630363,1.0,0.0
2024-09-16,5.44,5.48,5.28,5.38,912756,1.0,0.0
2024-09-17,5.42,5.55,5.4,5.55,764141,1.0,0.0
2024-09-18,5.51,5.665,5.48,5.49,755459,1.0,0.0
2024-09-19,5.65,5.66,5.51,5.52,629948,1.0,0.0
2024-09-20,5.49,5.5275,5.34,5.41,1836738,1.0,0.0
2024-09-23,5.45,5.56,5.36,5.37,771780,1.0,0.0
2024-09-24,5.45,5.45,5.28,5.28,943614,1.0,0.0
2024-09-25,5.26,5.265,4.985,4.99,1444677,1.0,0.0
2024-09-26,4.93,4.98,4.82,4.85,1954286,1.0,0.0
2024-09-27,4.91,5.045,4.905,5.03,934231,1.0,0.0
2024-09-30,5.04,5.19,4.983,5.14,1557353,1.0,0.0
2024-10-01,5.05,5.21,5.003,5.18,2001355,1.0,0.0
2024-10-02,5.31,5.33,5.1,5.23,1507319,1.0,0.0
2024-10-03,5.27,5.39,5.175,5.34,1203700,1.0,0.0
2024-10-04,5.43,5.46,5.34,5.4,988444,1.0,0.0
2024-10-07,5.44,5.46,5.371,5.42,1257746,1.0,0.0
2024-10-08,5.34,5.355,5.14,5.33,1728550,1.0,0.0
2024-10-09,5.29,5.4,5.22,5.4,1629215,1.0,0.0
2024-10-10,5.41,5.46,5.34,5.42,582377,1.0,0.0
2024-10-11,5.41,5.48,5.375,5.42,720640,1.0,0.0
2024-10-14,5.37,5.415,5.31,5.36,686379,1.0,0.0
2024-10-15,5.21,5.22,5.08,5.12,1272519,1.0,0.0
2024-10-16,5.16,5.27,5.16,5.22,952737,1.0,0.0
2024-10-17,5.22,5.3675,5.19,5.36,1006957,1.0,0.0
2024-10-18,5.34,5.375,5.24,5.24,921413,1.0,0.0
2024-10-21,5.29,5.32,5.19,5.22,512955,1.0,0.0
2024-10-22,5.24,5.27,5.161,5.22,621416,1.0,0.0
2024-10-23,5.2,5.225,5.1,5.18,1179092,1.0,0.0
2024-10-24,5.19,5.235,5.093,5.15,880981,1.0,0.0
2024-10-25,5.2,5.245,5.12,5.17,545426,1.0,0.0
2024-10-28,5.05,5.19,5.04,5.17,980169,1.0,0.0
2024-10-29,5.17,5.19,5.035,5.04,763318,1.0,0.0
2024-10-30,5.08,5.175,5.055,5.09,695942,1.0,0.0
2024-10-31,5.12,5.19,4.97,5.02,855653,1.0,0.0
2024-11-01,5.04,5.11,4.94,5.09,1904087,1.0,0.0
2024-11-04,5.12,5.265,5.09,5.2,682179,1.0,0.0
2024-11-05,5.18,5.32,5.18,5.31,544827,1.0,0.0
2024-11-06,5.52,5.6602,5.48,5.58,1669148,1.0,0.0
2024-11-07,5.7,5.9,5.0,5.06,2550133,1.0,0.0
2024-11-08,5.06,5.06,4.49,4.55,2300509,1.0,0.0
2024-11-11,4.57,4.66,4.47,4.53,1558819,1.0,0.0
2024-11-12,4.51,4.53,4.29,4.33,2379469,1.0,0.0
2024-11-13,4.33,4.4,4.165,4.33,1888170,1.0,0.0
2024-11-14,4.33,4.47,4.245,4.47,1744599,1.0,0.0
2024-11-15,4.43,4.54,4.245,4.28,1335978,1.0,0.03
2024-11-18,4.29,4.535,4.29,4.37,1662330,1.0,0.0
2024-11-19,4.35,4.35,4.17,4.2,1782531,1.0,0.0
2024-11-20,4.21,4.28,4.1,4.19,1377611,1.0,0.0
2024-11-21,4.25,4.34,4.195,4.26,1594953,1.0,0.0
2024-11-22,4.27,4.33,4.195,4.23,1861691,1.0,0.0
2024-11-25,4.2,4.21,4.01,4.07,3746434,1.0,0.0
2024-11-26,4.09,4.09,3.905,3.92,2348835,1.0,0.0
2024-11-27,3.94,4.05,3.875,3.93,3520439,1.0,0.0
2024-11-29,3.95,4.11,3.91,4.08,717340,1.0,0.0
2024-12-02,4.07,4.16,3.99,4.12,2060563,1.0,0.0
2024-12-03,4.18,4.2101,4.08,4.17,1669979,1.0,0.0
2024-12-04,4.15,4.17,4.01,4.03,1474872,1.0,0.0
2024-12-05,4.05,4.16,4.015,4.14,1109783,1.0,0.0
2024-12-06,4.13,4.13,3.865,3.9,1179643,1.0,0.0
2024-12-09,3.99,4.195,3.985,4.1,1691043,1.0,0.0
2024-12-10,4.16,4.39,4.125,4.32,1752615,1.0,0.0
2024-12-11,4.31,4.36,4.21,4.28,2311352,1.0,0.0
2024-12-12,4.29,4.32,4.225,4.25,774743,1.0,0.0
2024-12-13,4.27,4.27,4.1,4.13,827844,1.0,0.0
2024-12-16,4.14,4.16,4.015,4.1,1262472,1.0,0.0
2024-12-17,4.08,4.16,4.0,4.15,1036881,1.0,0.0
2024-12-18,4.17,4.17,3.935,3.97,1231889,1.0,0.0
2024-12-19,4.03,4.09,3.775,3.8,1262465,1.0,0.0
2024-12-20,3.75,3.92,3.72,3.79,1662562,1.0,0.0
2024-12-23,3.8,3.87,3.765,3.8,1147857,1.0,0.0
2024-12-24,3.82,3.935,3.745,3.9,677427,1.0,0.0
