date,open,high,low,close,volume,split,dividend
2024-06-03,6.85,6.85,6.52,6.52,2253,1.0,0.0
2024-06-04,6.5239,6.5239,6.5,6.51,546,1.0,0.0
2024-06-05,6.44,6.44,6.44,6.44,214,1.0,0.0
2024-06-06,6.6321,6.858,6.43,6.43,3631,1.0,0.0
2024-06-07,6.43,6.8307,6.43,6.65,2387,1.0,0.0
2024-06-10,6.635,6.8299,6.635,6.71,9517,1.0,0.0
2024-06-11,6.51,6.51,6.51,6.51,145,1.0,0.0
2024-06-12,6.64,6.64,6.48,6.48,739,1.0,0.0
2024-06-13,6.48,6.48,6.48,6.48,53,1.0,0.0
2024-06-14,6.71,6.7439,6.71,6.71,1697,1.0,0.0
2024-06-17,6.51,6.51,6.51,6.51,449,1.0,0.0
2024-06-18,6.53,6.66,6.51,6.51,2179,1.0,0.0
2024-06-20,6.6465,6.87,6.6465,6.87,3461,1.0,0.0
2024-06-21,6.56,6.56,6.56,6.56,676,1.0,0.0
2024-06-24,6.54,6.55,6.53,6.55,984,1.0,0.0
2024-06-25,6.5861,6.601,6.5501,6.601,1155,1.0,0.0
2024-06-26,6.64,6.65,6.55,6.55,437,1.0,0.0
2024-06-27,6.57,6.57,6.57,6.57,134,1.0,0.0
2024-06-28,6.57,6.57,6.57,6.57,199,1.0,0.0
2024-07-01,6.57,6.57,6.57,6.57,34,1.0,0.0
2024-07-02,6.705,6.705,6.57,6.57,450,1.0,0.0
2024-07-03,6.57,6.57,6.57,6.57,6,1.0,0.0
2024-07-05,6.57,6.57,6.57,6.57,92,1.0,0.0
2024-07-08,6.58,6.79,6.5,6.695,4258,1.0,0.0
2024-07-09,6.51,6.8,6.51,6.77,1038,1.0,0.0
2024-07-10,6.79,6.8,6.72,6.78,1206,1.0,0.0
2024-07-11,6.77,6.8,6.5001,6.5152,7329,1.0,0.0
2024-07-12,6.6,6.695,6.6,6.6,1530,1.0,0.0
2024-07-15,6.6,6.6,6.6,6.6,81,1.0,0.0
2024-07-16,6.6,6.6,6.5518,6.5518,767,1.0,0.0
2024-07-17,6.7,6.7,6.69,6.7,713,1.0,0.0
2024-07-18,6.7,6.7,6.7,6.7,81,1.0,0.0
