date,open,high,low,close,volume,split,dividend
2024-06-03,2.0,2.059999942779541,1.9700000286102295,2.0399999618530273,103300,1.0,0.0
2024-06-04,2.0,2.0199999809265137,1.3519999980926514,1.809999942779541,452400,1.0,0.0
2024-06-05,1.7599999904632568,1.8200000524520874,1.7000000476837158,1.7799999713897705,164900,1.0,0.0
2024-06-06,1.7599999904632568,1.7699999809265137,1.7000000476837158,1.75,46100,1.0,0.0
2024-06-07,1.7400000095367432,1.7599999904632568,1.7029999494552612,1.7100000381469727,66600,1.0,0.0
2024-06-10,1.7200000286102295,2.049999952316284,1.6399999856948853,1.9299999475479126,418200,1.0,0.0
2024-06-11,1.940000057220459,2.240000009536743,1.9110000133514404,2.049999952316284,421500,1.0,0.0
2024-06-12,2.119999885559082,2.130000114440918,1.9700000286102295,2.0,233100,1.0,0.0
2024-06-13,2.0,2.049999952316284,1.8600000143051147,1.9700000286102295,177700,1.0,0.0
2024-06-14,1.8660000562667847,2.009999990463257,1.8660000562667847,1.9600000381469727,135000,1.0,0.0
2024-06-17,1.9700000286102295,2.0199999809265137,1.9199999570846558,1.940000057220459,104500,1.0,0.0
2024-06-18,1.9199999570846558,2.0290000438690186,1.8300000429153442,2.0199999809265137,692600,1.0,0.0
2024-06-20,2.0299999713897705,2.1700000762939453,1.8700000047683716,2.1700000762939453,1179500,1.0,0.0
2024-06-21,2.1700000762939453,2.2300000190734863,1.9500000476837158,2.1600000858306885,4119200,1.0,0.0
2024-06-24,2.049999952316284,2.200000047683716,2.0399999618530273,2.180000066757202,1170400,1.0,0.0
2024-06-25,2.180000066757202,2.2200000286102295,2.069999933242798,2.190000057220459,987300,1.0,0.0
2024-06-26,2.0899999141693115,2.119999885559082,1.9800000190734863,1.9800000190734863,482400,1.0,0.0
2024-06-27,1.9900000095367432,2.009999990463257,1.909999966621399,2.009999990463257,212700,1.0,0.0
2024-06-28,2.0299999713897705,2.049999952316284,1.9450000524520874,2.005000114440918,135900,1.0,0.0
2024-07-01,1.9800000190734863,2.0199999809265137,1.809999942779541,1.809999942779541,108300,1.0,0.0
2024-07-02,1.8799999952316284,1.8799999952316284,1.7649999856948853,1.840000033378601,115500,1.0,0.0
