date,open,high,low,close,volume,split,dividend
2025-01-21,11.71,11.71,11.6,11.69,4200,1.0,0.0
2025-01-22,11.15,11.15,11.15,11.15,2293,1.0,0.0
2025-01-23,11.15,11.15,11.15,11.15,0,1.0,0.0
2025-01-24,11.15,11.15,11.15,11.15,0,1.0,0.0
2025-01-27,11.4,11.4,11.33,11.33,1200,1.0,0.0
2025-01-28,11.33,11.33,11.33,11.33,0,1.0,0.0
2025-01-29,11.33,11.33,11.33,11.33,0,1.0,0.0
2025-01-30,11.6,11.6,11.6,11.6,140,1.0,0.0
2025-01-31,11.6,11.6,11.6,11.6,402,1.0,0.0
2025-02-03,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-04,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-05,11.6,11.6,11.6,11.6,72,1.0,0.0
2025-02-06,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-07,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-10,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-11,11.6,11.6,11.6,11.6,0,1.0,0.0
2025-02-12,11.6,11.6,11.6,11.6,3,1.0,0.0
2025-02-13,11.99,12.5,11.781,12.0,1800,1.0,0.0
2025-02-14,11.61,11.61,11.61,11.61,1000,1.0,0.0
2025-02-18,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-02-19,11.61,11.61,11.61,11.61,3,1.0,0.0
2025-02-20,12.0,12.0,12.0,12.0,500,1.0,0.0
2025-02-21,12.0,12.0,12.0,12.0,0,1.0,0.0
2025-02-24,12.0,12.0,12.0,12.0,0,1.0,0.0
2025-02-25,12.0,12.0,12.0,12.0,0,1.0,0.0
2025-02-26,12.0,12.0,12.0,12.0,0,1.0,0.0
2025-02-27,11.61,11.61,11.61,11.61,843,1.0,0.0
2025-02-28,11.61,11.61,11.61,11.61,0,1.0,0.0
2025-03-03,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-04,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-05,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-06,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-07,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-10,11.61,11.61,11.61,11.61,0,1.0,0.0
2025-03-11,11.61,11.61,11.61,11.61,5,1.0,0.0
2025-03-12,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-13,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-14,11.61,11.61,11.61,11.61,11,1.0,0.0
2025-03-17,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-18,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-19,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-20,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-21,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-24,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-25,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-26,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-27,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-03-28,11.61,11.61,11.61,11.61,2,1.0,0.0
2025-03-31,11.61,11.61,11.61,11.61,1,1.0,0.0
2025-04-01,11.67,11.67,11.64,11.67,1091,1.0,0.0
2025-04-02,11.67,11.67,11.67,11.67,2,1.0,0.0
2025-04-03,11.67,11.67,11.67,11.67,1,1.0,0.0
2025-04-04,11.67,11.67,11.67,11.67,1,1.0,0.0
2025-04-07,11.67,11.67,11.67,11.67,7,1.0,0.0
2025-04-08,11.67,11.67,11.67,11.67,1,1.0,0.0
2025-04-09,11.67,11.67,11.67,11.67,1,1.0,0.0
2025-04-10,11.67,11.67,11.67,11.67,2,1.0,0.0
2025-04-11,11.67,11.67,11.67,11.67,1,1.0,0.0
2025-04-14,11.7099,11.7099,11.7099,11.7099,201,1.0,0.0
2025-04-15,11.7,11.7099,11.7,11.7,1202,1.0,0.0
2025-04-16,11.7,11.7,11.7,11.7,1,1.0,0.0
2025-04-17,11.7,11.7,11.7,11.7,501,1.0,0.0
2025-04-21,11.7,11.785,11.7,11.7,1783,1.0,0.0
2025-04-22,11.7,11.7,11.7,11.7,1,1.0,0.0
