date,open,high,low,close,volume,split,dividend
2024-06-03,12.08,12.86,12.0,12.32,3063505,1.0,0.0
2024-06-04,12.17,12.47,12.03,12.08,1266260,1.0,0.0
2024-06-05,12.09,12.23,11.995,12.1,1264992,1.0,0.0
2024-06-06,12.07,12.46,12.01,12.27,1447981,1.0,0.0
2024-06-07,12.22,12.29,12.06,12.06,1267678,1.0,0.0
2024-06-10,11.91,12.13,11.64,12.07,1761662,1.0,0.0
2024-06-11,12.05,12.12,11.925,12.09,1262200,1.0,0.0
2024-06-12,12.28,12.4,12.06,12.1,1200014,1.0,0.0
2024-06-13,12.03,12.16,11.92,12.01,1081192,1.0,0.0
2024-06-14,11.92,11.97,11.515,11.55,2241810,1.0,0.0
2024-06-17,11.5,11.5,11.1,11.34,1819532,1.0,0.0
2024-06-18,11.38,11.45,11.175,11.28,1611867,1.0,0.0
2024-06-20,11.25,11.51,11.18,11.25,2195617,1.0,0.0
2024-06-21,11.36,11.51,11.25,11.43,12118008,1.0,0.0
2024-06-24,11.52,11.6,11.3825,11.4,1437078,1.0,0.0
2024-06-25,11.35,11.41,11.2,11.21,1361686,1.0,0.0
2024-06-26,11.13,11.15,10.915,11.02,1777119,1.0,0.0
2024-06-27,11.08,11.45,10.925,11.37,4690150,1.0,0.0
2024-06-28,11.44,11.45,11.12,11.23,2449987,1.0,0.0
2024-07-01,11.19,11.48,11.075,11.16,1392462,1.0,0.0
2024-07-02,11.17,11.35,11.05,11.08,1533183,1.0,0.0
2024-07-03,11.14,11.19,11.02,11.02,897963,1.0,0.0
2024-07-05,11.01,11.285,10.92,11.25,1169164,1.0,0.0
2024-07-08,11.27,11.29,11.04,11.18,2440211,1.0,0.0
2024-07-09,11.15,11.18,10.96,10.98,2390127,1.0,0.0
2024-07-10,10.96,11.01,10.475,10.6,3904033,1.0,0.0
2024-07-11,10.66,10.81,10.41,10.51,3570574,1.0,0.0
2024-07-12,10.64,10.89,10.5,10.75,1858119,1.0,0.0
2024-07-15,10.76,10.88,10.52,10.56,1043735,1.0,0.0
2024-07-16,10.56,10.95,10.56,10.87,1886850,1.0,0.0
2024-07-17,10.75,10.86,10.575,10.67,1397678,1.0,0.0
2024-07-18,10.63,10.71,10.41,10.42,1788401,1.0,0.0
2024-07-19,10.47,10.47,10.23,10.25,1435369,1.0,0.0
2024-07-22,10.3,10.93,10.27,10.92,1756009,1.0,0.0
2024-07-23,10.91,11.06,10.82,10.95,1537595,1.0,0.0
2024-07-24,10.92,11.31,10.88,11.2,1484432,1.0,0.0
2024-07-25,11.27,11.6,11.155,11.48,1718548,1.0,0.0
2024-07-26,11.6,11.7,11.5,11.61,1340892,1.0,0.0
2024-07-29,11.57,11.68,11.47,11.57,984044,1.0,0.0
2024-07-30,11.53,11.6,11.25,11.39,1342810,1.0,0.0
2024-07-31,11.43,11.44,11.135,11.19,1115206,1.0,0.0
2024-08-01,11.14,11.23,10.84,10.91,1169325,1.0,0.0
2024-08-02,10.59,10.71,10.3,10.53,2291294,1.0,0.0
2024-08-05,10.07,10.195,9.94,10.07,2997614,1.0,0.0
2024-08-06,10.02,10.27,9.74,10.05,2218544,1.0,0.0
2024-08-07,10.7,11.0,9.88,10.75,14112344,1.0,0.0
2024-08-08,10.75,10.9,10.615,10.7,2404914,1.0,0.0
2024-08-09,10.67,11.11,10.59,11.1,2976587,1.0,0.0
2024-08-12,11.1,11.1,10.87,10.9,1976455,1.0,0.0
2024-08-13,10.96,11.18,10.87,11.04,1465641,1.0,0.0
2024-08-14,11.1,11.295,10.9,11.27,1246160,1.0,0.0
2024-08-15,11.42,11.5,11.24,11.34,1503552,1.0,0.0
2024-08-16,11.4,11.45,11.16,11.2,1631297,1.0,0.0
2024-08-19,11.25,11.48,11.045,11.45,1705133,1.0,0.0
2024-08-20,11.39,11.44,11.25,11.36,855890,1.0,0.0
2024-08-21,11.42,11.48,11.245,11.38,1496993,1.0,0.0
2024-08-22,11.36,11.38,11.215,11.28,1908727,1.0,0.0
2024-08-23,11.38,11.57,11.2309,11.49,1333178,1.0,0.0
