date,open,high,low,close,volume,split,dividend
2024-06-03,26.45,26.5,25.85,25.85,22406,1.0,0.0
2024-06-04,25.65,26.0,25.6466,25.99,27733,1.0,0.0
2024-06-05,25.99,26.21,25.9,26.21,19268,1.0,0.0
2024-06-06,26.02,26.17,26.0,26.03,18489,1.0,0.0
2024-06-07,26.0,26.085,25.65,25.95,16893,1.0,0.0
2024-06-10,25.92,26.08,25.79,26.05,16585,1.0,0.0
2024-06-11,26.0,26.32,25.99,26.32,26173,1.0,0.0
2024-06-12,26.82,27.07,26.2,27.07,32051,1.0,0.0
2024-06-13,26.8,27.27,26.66,27.14,19228,1.0,0.0
2024-06-14,25.6,26.87,25.6,26.72,25720,1.0,0.0
2024-06-17,26.61,27.13,26.61,27.07,18982,1.0,0.0
2024-06-18,27.1,27.51,27.1,27.3,22913,1.0,0.0
2024-06-20,27.25,27.44,27.11,27.44,9658,1.0,0.0
2024-06-21,27.35,27.5,27.29,27.5,48490,1.0,0.0
2024-06-24,27.49,28.29,27.46,27.86,37266,1.0,0.0
2024-06-25,27.76,28.68,27.66,28.52,72072,1.0,0.0
2024-06-26,28.63,28.7899,28.17,28.4,39935,1.0,0.0
2024-06-27,28.44,28.73,28.09,28.57,44914,1.0,0.0
2024-06-28,28.65,29.75,28.11,28.11,786230,1.0,0.0
2024-07-01,28.43,28.9,28.29,28.48,51110,1.0,0.0
2024-07-02,28.6,29.06,28.105,28.48,43314,1.0,0.0
2024-07-03,28.165,28.165,27.78,27.78,7976,1.0,0.0
2024-07-05,27.715,27.845,27.55,27.64,26791,1.0,0.0
2024-07-08,27.79,27.88,27.6,27.72,15101,1.0,0.0
2024-07-09,27.56,27.82,27.56,27.81,18952,1.0,0.0
2024-07-10,27.95,29.15,27.95,29.11,27648,1.0,0.0
2024-07-11,29.52,30.18,29.335,29.89,21860,1.0,0.0
2024-07-12,29.91,30.065,29.54,29.66,33610,1.0,0.0
2024-07-15,29.98,31.29,29.98,31.15,30933,1.0,0.0
2024-07-16,31.26,32.22,31.26,32.22,21876,1.0,0.0
2024-07-17,32.3,32.315,31.88,31.96,21337,1.0,0.0
2024-07-18,32.0,32.0,31.11,31.64,30598,1.0,0.0
2024-07-19,31.1,31.59,31.07,31.56,15900,1.0,0.0
2024-07-22,31.48,32.24,31.48,32.24,10339,1.0,0.0
2024-07-23,31.91,33.19,31.885,33.15,23917,1.0,0.0
2024-07-24,32.2,33.51,32.2,32.95,27522,1.0,0.0
2024-07-25,32.69,33.74,32.69,33.68,26400,1.0,0.0
2024-07-26,33.87,33.995,33.87,33.87,4586,1.0,0.0
2024-07-29,33.68,33.68,32.82,33.27,27099,1.0,0.0
2024-07-30,33.5,33.79,32.675,33.46,12263,1.0,0.0
2024-07-31,33.5,35.47,33.01,34.89,16089,1.0,0.0
2024-08-01,33.83,34.36,32.93,34.07,27788,1.0,0.0
2024-08-02,33.15,33.855,32.52,33.74,19144,1.0,0.0
2024-08-05,31.09,32.33,31.09,32.12,14783,1.0,0.0
2024-08-06,31.82,33.07,31.82,32.8,12585,1.0,0.0
2024-08-07,33.1,33.24,32.8,32.8,15053,1.0,0.0
2024-08-08,33.65,33.77,32.97,32.97,4897,1.0,0.0
2024-08-09,33.27,33.35,33.07,33.07,5484,1.0,0.0
2024-08-12,32.76,32.81,32.23,32.65,8805,1.0,0.0
2024-08-13,32.47,32.89,32.25,32.47,7213,1.0,0.0
2024-08-14,32.3067,32.84,32.16,32.8,6972,1.0,0.0
2024-08-15,33.9,33.9,33.18,33.52,2584,1.0,0.0
2024-08-16,34.0,34.28,33.98,34.28,3358,1.0,0.0
2024-08-19,33.88,34.05,33.7,33.71,3920,1.0,0.0
2024-08-20,33.92,33.99,33.491,33.9,4809,1.0,0.0
2024-08-21,33.9,34.31,33.46,33.59,4617,1.0,0.0
2024-08-22,33.97,34.11,33.68,34.1,2892,1.0,0.0
2024-08-23,34.9,36.025,34.34,34.99,11586,1.0,0.0
2024-08-26,35.41,35.715,34.4,35.27,10743,1.0,0.0
2024-08-27,35.15,35.525,34.49,34.49,8308,1.0,0.0
2024-08-28,34.6937,35.41,34.57,35.26,17504,1.0,0.0
2024-08-29,35.85,36.13,35.485,35.94,23092,1.0,0.0
2024-08-30,34.05,36.16,34.05,35.51,10461,1.0,0.0
2024-09-03,33.236,36.32,33.236,35.55,11066,1.0,0.0
2024-09-04,35.55,36.25,35.43,35.52,7921,1.0,0.0
2024-09-05,35.96,36.2799,34.76,34.83,8067,1.0,0.0
2024-09-06,35.0,35.73,34.95,35.61,10005,1.0,0.0
2024-09-09,35.57,36.99,35.2627,36.5,30059,1.0,0.0
2024-09-10,38.97,39.85,38.6,39.23,301132,1.0,0.0
2024-09-11,39.74,39.74,38.16,38.63,59674,1.0,0.0
2024-09-12,38.39,39.62,38.38,38.94,83125,1.0,0.66
2024-09-13,39.43,39.93,38.98,39.39,74864,1.0,0.0
2024-09-16,39.61,40.14,39.41,40.07,29120,1.0,0.0
2024-09-17,40.01,40.69,39.72,39.8,65614,1.0,0.0
2024-09-18,39.805,40.97,39.5,39.8,87324,1.0,0.0
2024-09-19,40.66,40.67,39.74,40.55,95478,1.0,0.0
2024-09-20,40.46,40.46,39.38,39.38,35486,1.0,0.0
2024-09-23,39.79,39.795,39.24,39.24,16770,1.0,0.0
2024-09-24,39.33,39.33,38.46,38.46,23362,1.0,0.0
2024-09-25,38.79,38.79,38.45,38.45,24754,1.0,0.0
2024-09-26,38.29,38.9,38.29,38.35,22173,1.0,0.0
2024-09-27,38.49,38.77,37.76,37.99,35382,1.0,0.0
2024-09-30,37.93,39.04,37.93,38.97,13488,1.0,0.0
2024-10-01,38.86,38.86,37.81,38.47,22954,1.0,0.0
2024-10-02,38.1,38.76,37.87,38.09,11605,1.0,0.0
2024-10-03,37.58,38.08,37.58,38.08,11394,1.0,0.0
2024-10-04,38.23,38.52,38.14,38.47,35966,1.0,0.0
2024-10-07,38.01,38.47,38.01,38.02,5516,1.0,0.0
2024-10-08,38.02,38.445,37.986,38.44,10321,1.0,0.0
2024-10-09,38.7,39.17,38.33,39.08,26464,1.0,0.0
2024-10-10,38.67,39.11,38.4,39.11,5816,1.0,0.0
2024-10-11,39.66,40.0,39.3,39.8,32407,1.0,0.0
2024-10-14,39.56,40.31,39.56,40.09,48469,1.0,0.0
2024-10-15,39.97,41.12,39.9,40.56,125592,1.0,0.0
2024-10-16,40.48,41.02,40.43,40.75,63445,1.0,0.0
2024-10-17,40.46,41.18,40.25,41.18,77132,1.0,0.0
2024-10-18,40.81,40.96,40.54,40.64,13338,1.0,0.0
2024-10-21,40.23,40.28,38.75,38.75,12130,1.0,0.0
2024-10-22,38.7,39.57,38.67,39.57,24580,1.0,0.0
2024-10-23,38.87,39.9,38.87,39.9,7976,1.0,0.0
2024-10-24,38.18,40.05,38.18,40.05,11551,1.0,0.0
2024-10-25,38.98,39.62,38.7,38.94,21112,1.0,0.0
2024-10-28,38.61,40.31,38.61,40.03,31637,1.0,0.0
2024-10-29,40.28,40.8,39.96,39.96,111963,1.0,0.0
2024-10-30,40.43,40.79,40.02,40.02,80484,1.0,0.0
2024-10-31,40.2,40.2,39.73,39.82,11434,1.0,0.0
2024-11-01,40.93,40.93,39.39,39.54,14151,1.0,0.0
2024-11-04,39.46,39.57,38.89,39.15,14991,1.0,0.0
2024-11-05,39.38,40.05,39.31,39.47,85834,1.0,0.0
2024-11-06,41.57,44.42,41.57,43.88,347287,1.0,0.0
2024-11-07,43.65,44.26,42.7,42.96,29404,1.0,0.0
2024-11-08,43.09,43.83,42.73,43.3,22835,1.0,0.0
2024-11-11,43.48,45.21,43.48,44.62,22170,1.0,0.0
2024-11-12,44.0,44.67,44.0,44.3,15413,1.0,0.0
2024-11-13,44.55,45.43,44.035,44.08,15607,1.0,0.0
2024-11-14,44.23,44.23,43.57,43.8,22256,1.0,0.0
2024-11-15,43.39,43.47,42.9,43.28,14730,1.0,0.0
2024-11-18,43.051,43.55,42.91,42.91,8649,1.0,0.0
2024-11-19,42.41,43.24,42.2021,43.24,9978,1.0,0.0
2024-11-20,42.81,42.81,42.34,42.51,21643,1.0,0.0
2024-11-21,42.69,43.99,42.69,43.6,9194,1.0,0.0
2024-11-22,44.065,44.46,44.065,44.16,4824,1.0,0.0
2024-11-25,44.93,46.0,44.92,44.92,17142,1.0,0.0
2024-11-26,44.43,44.765,44.14,44.43,7622,1.0,0.0
2024-11-27,44.6,44.62,44.2625,44.58,5664,1.0,0.0
2024-11-29,44.95,44.95,44.22,44.41,4898,1.0,0.0
2024-12-02,44.11,44.47,43.56,44.13,14499,1.0,0.0
2024-12-03,43.78,43.79,43.28,43.74,12368,1.0,0.0
2024-12-04,43.55,44.6,43.23,44.6,7948,1.0,0.0
2024-12-05,44.73,44.73,43.65,44.23,20057,1.0,0.0
2024-12-06,43.02,44.59,43.02,44.59,9540,1.0,0.0
2024-12-09,44.7,44.79,44.37,44.63,21204,1.0,0.0
2024-12-10,44.93,45.5,44.93,44.98,18297,1.0,0.0
2024-12-11,45.31,46.21,45.31,45.73,63180,1.0,0.0
2024-12-12,45.0,46.01,45.0,45.58,27448,1.0,0.0
2024-12-13,45.0,45.69,45.0,45.15,34484,1.0,0.0
2024-12-16,45.395,46.14,45.395,45.9,26346,1.0,0.0
2024-12-17,46.16,46.16,44.97,44.97,17510,1.0,0.0
2024-12-18,45.15,45.36,43.3,43.54,102077,1.0,0.0
2024-12-19,43.46,43.4797,42.84,43.07,15881,1.0,0.0
2024-12-20,43.2,44.07,43.2,44.07,46469,1.0,0.0
2024-12-23,43.33,44.1628,43.33,43.84,35898,1.0,0.0
2024-12-24,44.0,44.27,43.84,44.27,8912,1.0,0.0
2024-12-26,44.24,44.3,43.98,44.21,9787,1.0,0.0
2024-12-27,43.82,43.82,43.385,43.61,10430,1.0,0.0
2024-12-30,43.19,43.7301,42.63,43.44,14360,1.0,0.0
2024-12-31,43.23,43.6,43.13,43.3,9954,1.0,0.0
2025-01-02,43.13,43.5,42.51,42.69,36446,1.0,0.0
2025-01-03,42.49,43.45,42.47,43.45,19928,1.0,0.0
2025-01-06,43.275,43.89,42.79,42.79,11379,1.0,0.0
2025-01-07,43.03,43.24,42.05,42.22,18613,1.0,0.0
