date,open,high,low,close,volume,split,dividend
2024-06-03,0.4987,0.54,0.4901,0.505,29738,1.0,0.0
2024-06-04,0.506,0.509999,0.4654,0.5,12612,1.0,0.0
2024-06-05,0.492,0.55,0.489999,0.549,8546,1.0,0.0
2024-06-06,0.549,0.57,0.545,0.545,19730,1.0,0.0
2024-06-07,0.6,0.6,0.558,0.56,63002,1.0,0.0
2024-06-10,0.5876,0.59,0.5502,0.56,14212,1.0,0.0
2024-06-11,0.53,0.574,0.5,0.574,32788,1.0,0.0
2024-06-12,0.563,0.56525,0.5455,0.5455,3098,1.0,0.0
2024-06-13,0.529,0.5438,0.5,0.5251,18942,1.0,0.0
2024-06-14,0.508,0.545,0.45,0.4719,26288,1.0,0.0
2024-06-17,0.56,0.6,0.48,0.5282,113431,1.0,0.0
2024-06-18,0.55,0.5775,0.48,0.5038,27331,1.0,0.0
2024-06-20,0.5038,0.524301,0.4886,0.524301,4568,1.0,0.0
2024-06-21,0.5,0.61,0.4629,0.61,89279,1.0,0.0
2024-06-24,0.61,0.61,0.46,0.561,19842,1.0,0.0
2024-06-25,0.57,0.5794,0.5005,0.5005,19264,1.0,0.0
2024-06-26,0.537,0.57,0.52,0.54,10995,1.0,0.0
2024-06-27,0.501,0.5542,0.5,0.5015,19103,1.0,0.0
2024-06-28,0.5,0.54,0.5,0.529,10952,1.0,0.0
2024-07-01,0.5289,0.5289,0.4718,0.4718,23794,1.0,0.0
2024-07-02,0.5064,0.59,0.5,0.5082,70442,1.0,0.0
2024-07-03,0.51,0.575,0.5005,0.5353,24655,1.0,0.0
2024-07-05,0.573,0.5749,0.54,0.54,12189,1.0,0.0
2024-07-08,0.575,0.575,0.54,0.54,14312,1.0,0.0
2024-07-09,0.525,0.57,0.525,0.569,8052,1.0,0.0
2024-07-10,0.55,0.575,0.5243,0.575,9245,1.0,0.0
2024-07-11,0.575,0.575,0.529901,0.57,4047,1.0,0.0
2024-07-12,0.517,0.59,0.517,0.579598,27315,1.0,0.0
2024-07-15,0.559,0.6,0.5236,0.590001,58740,1.0,0.0
2024-07-16,0.59,0.6,0.57,0.571,7908,1.0,0.0
2024-07-17,0.6,0.6,0.57,0.57,5685,1.0,0.0
2024-07-18,0.5926,0.5926,0.541,0.545,15076,1.0,0.0
2024-07-19,0.54,0.55,0.507,0.531,8443,1.0,0.0
2024-07-22,0.5249,0.5249,0.501,0.511,1180,1.0,0.0
2024-07-23,0.51,0.535777,0.492,0.492,22409,1.0,0.0
2024-07-24,0.51,0.517999,0.495,0.495,23713,1.0,0.0
2024-07-25,0.495,0.5001,0.477,0.482,14533,1.0,0.0
2024-07-26,0.492,0.505,0.4839,0.5011,36080,1.0,0.0
2024-07-29,0.505501,0.52,0.5,0.5,28150,1.0,0.0
2024-07-30,0.448,0.453,0.3602,0.418,112472,1.0,0.0
2024-07-31,0.41,0.4399,0.3624,0.4001,174400,1.0,0.0
2024-08-01,4.78,6.3881,4.325,4.86,31788,0.0833333333,0.0
2024-08-02,5.88,5.9999,4.55,5.31,18180,1.0,0.0
2024-08-05,5.16,5.16,4.78,5.03,4374,1.0,0.0
2024-08-06,5.02,5.02,4.9,5.01,1444,1.0,0.0
2024-08-07,5.19,5.56,5.19,5.27,7950,1.0,0.0
2024-08-08,5.4,5.7925,5.4,5.65,4269,1.0,0.0
2024-08-09,5.93,5.95,5.4901,5.5,2023,1.0,0.0
2024-08-12,5.77,5.77,5.5,5.69,1817,1.0,0.0
2024-08-13,5.89,6.1992,5.74,5.74,1794,1.0,0.0
2024-08-14,5.99,5.99,5.61,5.65,3492,1.0,0.0
2024-08-15,5.66,5.66,5.55,5.55,759,1.0,0.0
2024-08-16,5.7912,5.7912,5.65,5.75,5250,1.0,0.0
2024-08-19,5.52,6.0,5.52,5.95,41842,1.0,0.0
2024-08-20,7.92,8.0,3.75,4.55,2991275,1.0,0.0
2024-08-21,4.24,5.2,4.16,4.86,256346,1.0,0.0
2024-08-22,4.64,4.89,4.35,4.43,94191,1.0,0.0
2024-08-23,4.51,4.62,4.06,4.41,61925,1.0,0.0
2024-08-26,4.39,4.66,4.27,4.63,49156,1.0,0.0
2024-08-27,4.63,4.63,4.51,4.5913,22431,1.0,0.0
2024-08-28,4.54,4.54,4.27,4.3959,17507,1.0,0.0
2024-08-29,4.4,4.49,4.28,4.31,8659,1.0,0.0
2024-08-30,4.31,4.36,3.915,4.29,19956,1.0,0.0
2024-09-03,4.09,4.1814,4.05,4.135,26132,1.0,0.0
2024-09-04,4.12,4.13,3.76,3.99,8095,1.0,0.0
2024-09-05,3.85,3.99,3.54,3.9,15059,1.0,0.0
2024-09-06,4.09,4.09,3.75,3.87,18854,1.0,0.0
2024-09-09,3.85,4.13,3.8,4.1099,15347,1.0,0.0
2024-09-10,3.81,4.1,3.81,4.1,6955,1.0,0.0
2024-09-11,3.61,4.18,3.61,4.0201,13417,1.0,0.0
2024-09-12,4.09,4.38,4.06,4.19,5809,1.0,0.0
2024-09-13,4.1793,4.3818,4.12,4.31,6408,1.0,0.0
2024-09-16,4.22,4.23,4.19,4.221,3061,1.0,0.0
