date,open,high,low,close,volume,split,dividend
2024-06-03,7.27,7.48,7.21,7.37,1469550,1.0,0.0
2024-06-04,7.29,7.55,7.26,7.55,1210255,1.0,0.0
2024-06-05,7.56,7.59,7.45,7.57,1436064,1.0,0.0
2024-06-06,7.52,7.585,7.37,7.55,1363008,1.0,0.0
2024-06-07,7.45,7.645,7.44,7.62,847586,1.0,0.0
2024-06-10,7.56,8.1,7.56,8.02,1511260,1.0,0.0
2024-06-11,7.95,8.42,7.9261,8.37,1623932,1.0,0.0
2024-06-12,8.55,8.75,8.4,8.4,1495487,1.0,0.0
2024-06-13,8.37,8.37,7.87,8.16,2036878,1.0,0.0
2024-06-14,8.03,8.14,7.895,7.94,1521691,1.0,0.0
2024-06-17,7.83,8.15,7.83,8.02,799802,1.0,0.0
2024-06-18,8.11,8.17,7.95,7.99,986517,1.0,0.0
2024-06-20,8.0,8.185,8.0,8.03,734544,1.0,0.0
2024-06-21,8.05,8.14,7.99,8.04,1310110,1.0,0.0
2024-06-24,8.06,8.13,7.957,8.05,846041,1.0,0.0
2024-06-25,8.05,8.09,7.87,7.91,1058253,1.0,0.0
2024-06-26,7.86,8.15,7.86,8.13,904847,1.0,0.0
2024-06-27,8.14,8.22,8.05,8.07,858173,1.0,0.0
2024-06-28,8.11,8.54,8.06,8.4,2978630,1.0,0.0
2024-07-01,8.4,8.4,7.995,8.14,1283918,1.0,0.0
2024-07-02,8.18,8.22,8.0,8.13,942381,1.0,0.0
2024-07-03,8.17,8.4,8.165,8.22,403947,1.0,0.0
2024-07-05,8.2,8.37,8.16,8.3,1072927,1.0,0.0
2024-07-08,8.44,8.79,8.34,8.61,1347307,1.0,0.0
2024-07-09,8.57,8.945,8.5,8.94,1782645,1.0,0.0
2024-07-10,8.94,9.08,8.735,8.95,1990622,1.0,0.0
2024-07-11,9.0,9.1996,8.84,9.03,2141617,1.0,0.0
2024-07-12,9.11,9.16,8.13,8.62,3911827,1.0,0.0
2024-07-15,8.7,8.96,8.425,8.91,2738700,1.0,0.0
2024-07-16,9.01,9.04,8.83,8.97,1928433,1.0,0.0
2024-07-17,8.88,9.07,8.85,9.01,1236679,1.0,0.0
2024-07-18,8.92,8.92,8.16,8.16,2093634,1.0,0.0
2024-07-19,8.15,8.315,7.975,8.3,1178621,1.0,0.0
2024-07-22,8.37,8.475,8.235,8.38,1134294,1.0,0.0
2024-07-23,8.4,9.195,8.4,9.04,3262601,1.0,0.0
2024-07-24,8.95,9.29,8.725,8.73,2266259,1.0,0.0
2024-07-25,8.77,9.29,8.675,9.14,5604965,1.0,0.0
2024-07-26,12.91,13.01,12.78,12.82,35460564,1.0,0.0
2024-07-29,12.84,12.9,12.8,12.81,8333961,1.0,0.0
2024-07-30,12.86,12.88,12.81,12.81,7144072,1.0,0.0
2024-07-31,12.81,12.935,12.81,12.87,4032455,1.0,0.0
2024-08-01,12.88,12.985,12.86,12.93,3350182,1.0,0.0
2024-08-02,12.87,13.04,12.85,12.98,2710792,1.0,0.0
2024-08-05,12.8,12.925,12.77,12.87,4502348,1.0,0.0
2024-08-06,12.86,12.92,12.86,12.89,2348853,1.0,0.0
2024-08-07,12.9,13.0,12.89,12.9,1436396,1.0,0.0
2024-08-08,12.93,12.98,12.93,12.97,948900,1.0,0.0
2024-08-09,12.95,13.0,12.95,12.95,1365748,1.0,0.0
2024-08-12,12.94,13.025,12.93,12.95,1509598,1.0,0.0
2024-08-13,12.95,12.99,12.94,12.97,1122667,1.0,0.0
2024-08-14,12.97,12.99,12.91,12.91,788126,1.0,0.0
2024-08-15,12.99,13.0,12.92,12.92,1249004,1.0,0.0
2024-08-16,12.93,12.96,12.93,12.94,725789,1.0,0.0
2024-08-19,12.95,13.0,12.945,12.95,1435998,1.0,0.0
2024-08-20,12.96,12.99,12.95,12.95,626970,1.0,0.0
2024-08-21,12.95,13.01,12.95,13.01,1042581,1.0,0.0
2024-08-22,13.01,13.01,12.98,12.98,626521,1.0,0.0
2024-08-23,13.01,13.01,12.99,13.0,818737,1.0,0.0
2024-08-26,13.01,13.01,13.0,13.0,523182,1.0,0.0
2024-08-27,13.0,13.01,12.99,13.0,717767,1.0,0.0
2024-08-28,13.0,13.01,13.0,13.0,925583,1.0,0.0
2024-08-29,13.01,13.06,13.0,13.03,929922,1.0,0.0
2024-08-30,13.03,13.06,13.03,13.05,911983,1.0,0.0
2024-09-03,13.05,13.07,13.04,13.04,1201759,1.0,0.0
2024-09-04,13.04,13.06,13.02,13.02,734794,1.0,0.0
2024-09-05,13.05,13.07,13.03,13.06,769288,1.0,0.0
2024-09-06,13.07,13.09,13.05,13.05,785251,1.0,0.0
2024-09-09,13.04,13.11,13.04,13.08,1194632,1.0,0.0
