date,open,high,low,close,volume,split,dividend
2024-06-03,15.22,15.24,12.93,13.53,236387,1.0,0.0
2024-06-04,13.53,16.34,13.1701,15.6,317977,1.0,0.0
2024-06-05,15.25,18.9629,15.01,16.91,262423,1.0,0.0
2024-06-06,16.04,17.77,15.3101,15.99,201834,1.0,0.0
2024-06-07,15.81,16.9999,14.3601,14.55,222819,1.0,0.0
2024-06-10,14.57,15.2446,14.3,14.78,62008,1.0,0.0
2024-06-11,14.7,15.49,14.381,15.25,38498,1.0,0.0
2024-06-12,16.04,18.6899,15.7,18.43,116571,1.0,0.0
2024-06-13,18.0,19.69,18.0,19.66,119599,1.0,0.0
2024-06-14,19.86,20.89,19.51,19.8,136069,1.0,0.0
2024-06-17,19.62,24.39,19.62,23.3,227953,1.0,0.0
2024-06-18,24.13,25.12,23.595,24.75,202239,1.0,0.0
2024-06-20,24.81,29.97,24.81,29.0,275416,1.0,0.0
2024-06-21,28.58,31.1,27.18,29.76,334448,1.0,0.0
2024-06-24,29.55,29.99,27.7,29.2,108505,1.0,0.0
2024-06-25,29.26,34.87,29.26,32.4,259215,1.0,0.0
2024-06-26,32.0,38.89,32.0,38.89,234197,1.0,0.0
2024-06-27,37.03,39.89,28.03,33.78,520734,1.0,0.0
2024-06-28,34.23,34.4,27.1842,30.39,334542,1.0,0.0
2024-07-01,30.45,32.9,29.81,30.6,150469,1.0,0.0
2024-07-02,29.05,31.09,27.3267,27.87,147097,1.0,0.0
2024-07-03,27.6,29.48,27.4475,29.35,38877,1.0,0.0
2024-07-05,29.06,32.7199,29.06,32.31,130403,1.0,0.0
2024-07-08,32.49,32.99,31.42,32.29,75832,1.0,0.0
2024-07-09,33.8,34.8,31.73,32.46,107402,1.0,0.0
2024-07-10,32.39,33.0987,29.42,29.62,73761,1.0,0.0
2024-07-11,28.58,30.2166,28.25,28.99,48708,1.0,0.0
2024-07-12,29.99,30.91,29.0209,30.0,34968,1.0,0.0
