date,open,high,low,close,volume,split,dividend
2024-06-03,73.26,74.66,73.26,74.53,1065009,1.0,0.0
2024-06-04,74.53,74.85,73.77,74.65,1107186,1.0,0.0
2024-06-05,74.51,74.71,72.68,74.25,1371524,1.0,0.0
2024-06-06,73.91,75.15,73.68,74.78,1284135,1.0,0.0
2024-06-07,74.38,74.99,74.0,74.51,1186677,1.0,0.0
2024-06-10,74.03,74.36,73.76,73.97,878774,1.0,0.0
2024-06-11,73.67,73.67,72.69,72.9,1605389,1.0,0.0
2024-06-12,72.5,73.09,72.12,72.48,1459985,1.0,0.0
2024-06-13,71.81,72.21,71.53,72.14,1417248,1.0,0.0
2024-06-14,71.58,72.26,71.35,71.79,1033028,1.0,0.0
2024-06-17,71.32,71.77,71.12,71.43,1249842,1.0,0.0
2024-06-18,71.5,71.85,71.0615,71.47,1384234,1.0,0.0
2024-06-20,71.21,72.285,70.56,72.21,1050703,1.0,0.0
2024-06-21,72.36,73.37,71.81,73.07,2048929,1.0,0.0
2024-06-24,73.23,73.31,72.2,72.48,1000839,1.0,0.0
2024-06-25,72.32,72.53,71.085,71.65,942929,1.0,0.0
2024-06-26,71.44,72.38,71.09,72.27,973316,1.0,0.0
2024-06-27,72.46,74.25,72.05,74.21,2403054,1.0,0.0
2024-06-28,74.32,75.17,73.91,74.25,2782114,1.0,0.0
2024-07-01,74.15,75.0,73.74,74.1,1153347,1.0,0.0
2024-07-02,74.18,74.35,73.21,73.53,1663770,1.0,0.0
2024-07-03,73.25,73.55,72.7764,73.48,1201107,1.0,0.0
2024-07-05,73.47,74.15,72.9316,74.1,992462,1.0,0.0
2024-07-08,74.1,74.57,73.99,74.53,1169554,1.0,0.0
2024-07-09,74.53,74.76,73.79,74.75,1366442,1.0,0.0
2024-07-10,74.73,75.83,74.55,75.77,1295227,1.0,0.0
2024-07-11,75.86,76.75,75.815,76.49,1440377,1.0,0.0
2024-07-12,76.7,77.98,76.13,77.69,1694537,1.0,0.0
2024-07-15,77.41,78.115,77.16,77.34,1653157,1.0,0.0
2024-07-16,77.6,78.98,77.3,78.46,1492308,1.0,0.0
2024-07-17,78.67,80.38,78.52,78.89,2177366,1.0,0.0
2024-07-18,78.44,79.21,77.41,77.66,2332247,1.0,0.0
2024-07-19,78.2,78.59,77.475,78.11,1660498,1.0,0.0
2024-07-22,78.45,78.58,77.84,78.38,601500,1.0,0.0
2024-07-23,78.7,78.7,78.03,78.1,1606690,1.0,0.0
2024-07-24,78.26,79.21,78.0,78.34,1042199,1.0,0.0
2024-07-25,78.38,79.6,77.81,77.88,1391837,1.0,0.0
2024-07-26,77.83,79.4,77.69,78.63,1472174,1.0,0.0
2024-07-29,78.35,79.77,78.01,79.64,2196892,1.0,0.0
