date,open,high,low,close,volume,split,dividend
2024-06-03,4.19,4.41,3.94,3.99,1884227,1.0,0.0
2024-06-04,3.94,4.085,3.81,3.88,1229878,1.0,0.0
2024-06-05,3.91,3.9271,3.78,3.79,795912,1.0,0.0
2024-06-06,3.75,3.82,3.68,3.72,894799,1.0,0.0
2024-06-07,3.65,3.94,3.58,3.82,2140440,1.0,0.0
2024-06-10,3.62,3.665,3.35,3.49,5701712,1.0,0.0
2024-06-11,3.44,3.5,3.3327,3.41,2018892,1.0,0.0
2024-06-12,3.61,3.83,3.38,3.42,2364711,1.0,0.0
2024-06-13,3.45,3.45,3.295,3.33,2018274,1.0,0.0
2024-06-14,3.26,3.2967,3.09,3.19,2082102,1.0,0.0
2024-06-17,3.12,3.18,3.01,3.16,2719462,1.0,0.0
2024-06-18,3.17,3.21,3.1,3.15,2367748,1.0,0.0
2024-06-20,3.15,3.36,3.08,3.3,3298239,1.0,0.0
2024-06-21,3.28,3.47,3.26,3.29,24785234,1.0,0.0
2024-06-24,3.31,3.395,3.19,3.22,2382968,1.0,0.0
2024-06-25,3.23,3.23,3.14,3.14,3019472,1.0,0.0
2024-06-26,3.12,3.245,3.11,3.23,1651237,1.0,0.0
2024-06-27,3.23,3.28,3.19,3.25,1004559,1.0,0.0
2024-06-28,3.35,3.358,3.19,3.31,3186414,1.0,0.0
2024-07-01,3.31,3.36,3.19,3.31,2122169,1.0,0.0
2024-07-02,3.35,3.41,3.2,3.31,844070,1.0,0.0
2024-07-03,3.32,3.37,3.26,3.28,594287,1.0,0.0
2024-07-05,3.24,3.29,3.21,3.23,1204163,1.0,0.0
2024-07-08,3.28,3.28,3.215,3.25,813429,1.0,0.0
2024-07-09,3.22,3.33,3.185,3.25,803659,1.0,0.0
2024-07-10,3.31,3.31,3.15,3.27,681065,1.0,0.0
2024-07-11,3.44,3.94,3.37,3.9,2989375,1.0,0.0
2024-07-12,3.86,4.07,3.8242,3.96,2823692,1.0,0.0
2024-07-15,3.98,4.29,3.96,4.23,1753416,1.0,0.0
2024-07-16,4.3,4.54,4.29,4.54,2006915,1.0,0.0
