date,open,high,low,close,volume,split,dividend
2024-06-03,3.85,3.85,3.78,3.83,47710,1.0,0.0
2024-06-04,3.83,3.88,3.76,3.87,77418,1.0,0.0
2024-06-05,3.9,3.93,3.78,3.87,47533,1.0,0.0
2024-06-06,3.83,3.86,3.8,3.84,35535,1.0,0.0
2024-06-07,3.83,3.98,3.76,3.97,76104,1.0,0.0
2024-06-10,3.97,4.0025,3.91,3.995,89000,1.0,0.0
2024-06-11,3.99,4.0025,3.95,4.0,104512,1.0,0.0
2024-06-12,4.0,4.09,3.95,3.97,59770,1.0,0.0
2024-06-13,3.93,3.93,3.81,3.86,55719,1.0,0.0
2024-06-14,3.84,3.86,3.81,3.845,53659,1.0,0.0
2024-06-17,3.82,3.91,3.77,3.88,39570,1.0,0.0
2024-06-18,3.88,3.88,3.82,3.87,52847,1.0,0.0
2024-06-20,3.86,3.9,3.78,3.88,30138,1.0,0.0
2024-06-21,3.88,3.95,3.88,3.91,108082,1.0,0.0
2024-06-24,3.9,4.02,3.88,3.96,70829,1.0,0.0
2024-06-25,3.93,4.16,3.93,4.13,148947,1.0,0.0
2024-06-26,4.12,4.25,4.11,4.15,237698,1.0,0.0
2024-06-27,4.18,4.25,4.05,4.22,145188,1.0,0.0
2024-06-28,4.24,4.24,3.81,3.86,3032908,1.0,0.0
2024-07-01,3.85,3.98,3.81,3.83,108211,1.0,0.0
2024-07-02,3.84,3.84,3.77,3.82,34927,1.0,0.0
2024-07-03,3.81,3.81,3.73,3.8,64630,1.0,0.0
2024-07-05,3.78,3.79,3.72,3.75,55186,1.0,0.0
2024-07-08,3.75,3.8199,3.72,3.78,93958,1.0,0.0
2024-07-09,3.75,3.85,3.72,3.85,33345,1.0,0.0
2024-07-10,3.85,4.03,3.835,4.03,43534,1.0,0.0
2024-07-11,4.06,4.15,3.94,4.02,127959,1.0,0.0
2024-07-12,4.03,4.08,3.92,4.02,63310,1.0,0.0
2024-07-15,4.04,4.0999,3.98,3.98,70509,1.0,0.0
2024-07-16,3.99,4.11,3.99,4.06,92829,1.0,0.0
2024-07-17,4.015,4.1,3.93,4.03,83222,1.0,0.0
2024-07-18,4.02,4.02,3.94,3.94,49731,1.0,0.0
2024-07-19,3.93,3.93,3.7652,3.8,25900,1.0,0.0
2024-07-22,3.81,3.85,3.78,3.8,41598,1.0,0.0
2024-07-23,3.75,3.8299,3.745,3.77,24801,1.0,0.0
2024-07-24,3.79,3.81,3.6439,3.68,58211,1.0,0.0
2024-07-25,3.68,3.73,3.64,3.67,74107,1.0,0.0
2024-07-26,3.65,3.73,3.64,3.69,37600,1.0,0.0
2024-07-29,3.72,3.8,3.66,3.74,68397,1.0,0.0
2024-07-30,3.72,3.83,3.69,3.76,152176,1.0,0.0
2024-07-31,3.79,3.91,3.71,3.86,41322,1.0,0.0
2024-08-01,3.8,3.87,3.68,3.68,68630,1.0,0.0
2024-08-02,3.6799,3.68,3.6,3.61,33377,1.0,0.0
2024-08-05,3.5,3.7,3.5,3.6,78485,1.0,0.0
2024-08-06,3.79,3.91,3.73,3.81,95648,1.0,0.0
2024-08-07,3.83,3.98,3.77,3.82,59689,1.0,0.0
2024-08-08,3.81,3.81,3.715,3.72,50374,1.0,0.0
2024-08-09,3.7,3.75,3.6,3.73,86999,1.0,0.0
2024-08-12,3.76,3.79,3.71,3.78,68160,1.0,0.0
2024-08-13,3.75,3.79,3.68,3.71,39171,1.0,0.0
2024-08-14,3.7,3.7,3.56,3.61,99544,1.0,0.0
2024-08-15,3.65,3.68,3.61,3.66,46249,1.0,0.0
2024-08-16,3.61,3.7,3.61,3.69,14812,1.0,0.0
2024-08-19,3.67,3.6922,3.64,3.66,30196,1.0,0.0
2024-08-20,3.65,3.71,3.63,3.65,44054,1.0,0.0
