date,open,high,low,close,volume,split,dividend
2024-06-03,349.75,359.0,338.5,338.5,142,1.0,0.0
2024-06-04,340.5,359.0,336.79998779296875,336.79998779296875,142,1.0,0.0
2024-06-05,351.3999938964844,351.5,341.0,341.5,86,1.0,0.0
2024-06-06,336.5,342.5,328.5,328.5,170,1.0,0.0
2024-06-07,329.6000061035156,332.75,328.5,328.5,76,1.0,0.0
2024-06-10,328.5,335.0,301.0,310.5,428,1.0,0.0
2024-06-11,305.0,320.3500061035156,305.0,309.0,112,1.0,0.0
2024-06-12,305.5,339.20001220703125,301.5,307.5,684,1.0,0.0
2024-06-13,307.5,314.5,293.75,300.0,670,1.0,0.0
2024-06-14,295.0,301.0,295.0,298.0,274,1.0,0.0
2024-06-17,300.0,302.0,287.5,287.5,238,1.0,0.0
2024-06-18,290.0,292.5,260.0,260.0,590,1.0,0.0
2024-06-20,260.0,277.1000061035156,260.0,270.0,100,1.0,0.0
2024-06-21,279.0,286.5,270.0,270.0,134,1.0,0.0
2024-06-24,263.5,273.0,244.0,245.0,680,1.0,0.0
2024-06-25,238.0,255.5,232.0,234.0,806,1.0,0.0
2024-06-26,234.0,239.5,210.5,230.0,1750,1.0,0.0
2024-06-27,290.0,353.5,290.0,322.5,233668,1.0,0.0
2024-06-28,336.0,380.0,320.0,354.5,21688,1.0,0.0
2024-07-01,352.5,365.0,316.0,344.5,6636,1.0,0.0
2024-07-02,343.0,358.5,326.0,335.5,2378,1.0,0.0
2024-07-03,329.0,348.6499938964844,329.0,341.0,852,1.0,0.0
2024-07-05,339.0,358.5,335.79998779296875,345.0,1498,1.0,0.0
2024-07-08,349.5,360.0,340.5,340.5,1962,1.0,0.0
2024-07-09,339.0,361.5,324.5,355.5,2234,1.0,0.0
2024-07-10,362.5,394.0,357.0,380.0,3006,1.0,0.0
2024-07-11,383.0,392.5,360.0,362.0,1398,1.0,0.0
2024-07-12,354.5,378.0,350.5,374.0,804,1.0,0.0
2024-07-15,373.0,394.0,366.5,377.5,410,1.0,0.0
2024-07-16,379.0,393.0,375.5,391.0,690,1.0,0.0
2024-07-17,380.5,387.0,368.0,380.5,416,1.0,0.0
2024-07-18,367.75,389.0,341.5,341.5,812,1.0,0.0
2024-07-19,349.5,349.5,333.0,338.0,648,1.0,0.0
2024-07-22,338.5,354.5,330.5,343.0,848,1.0,0.0
2024-07-23,346.0,354.0,331.0,354.0,340,1.0,0.0
2024-07-24,346.5,368.5,343.5,368.5,942,1.0,0.0
2024-07-25,358.5,367.5,349.95001220703125,362.0,258,1.0,0.0
2024-07-26,351.0,354.6000061035156,339.3999938964844,345.25,656,1.0,0.0
2024-07-29,361.0,362.5,346.5,353.5,170,1.0,0.0
2024-07-30,353.0,357.0,319.5,323.5,662,1.0,0.0
2024-07-31,320.0,337.5,320.0,325.0,168,1.0,0.0
2024-08-01,320.5,322.5,312.5,314.0,344,1.0,0.0
2024-08-02,313.0,314.5,295.0,295.0,372,1.0,0.0
2024-08-05,285.0,322.25,273.0,297.5,2236,1.0,0.0
2024-08-06,308.5,317.0,290.5,309.5,360,1.0,0.0
2024-08-07,305.5,311.20001220703125,291.25,307.0,246,1.0,0.0
2024-08-08,301.0,308.5,287.0,287.5,402,1.0,0.0
2024-08-09,293.0,297.0,290.0,292.5,330,1.0,0.0
2024-08-12,299.0,309.5,288.45001220703125,295.25,200,1.0,0.0
2024-08-13,302.0,305.0,290.5,299.5,216,1.0,0.0
2024-08-14,302.0,309.5,294.0,303.25,118,1.0,0.0
2024-08-15,302.5,315.0,302.5,314.0,206,1.0,0.0
2024-08-16,307.0,311.0,297.5,305.5,90,1.0,0.0
2024-08-19,305.5,322.0,301.5,314.0,184,1.0,0.0
2024-08-20,309.0,316.5,305.75,311.0,68,1.0,0.0
2024-08-21,305.0,321.0,300.0,300.5,418,1.0,0.0
2024-08-22,304.5,304.5,290.0,300.0,246,1.0,0.0
2024-08-23,296.0,300.6499938964844,291.70001220703125,300.5,120,1.0,0.0
2024-08-26,302.5,307.5,302.5,306.5,194,1.0,0.0
2024-08-27,302.5,306.5,295.0,303.0,64,1.0,0.0
2024-08-28,295.5,298.3999938964844,293.20001220703125,295.0,116,1.0,0.0
2024-08-29,292.0,306.0,292.0,294.5,74,1.0,0.0
2024-08-30,299.75,299.75,292.5,292.5,32,1.0,0.0
2024-09-03,292.5,305.5,292.5,294.5,352,1.0,0.0
2024-09-04,307.0,307.0,295.75,301.0,28,1.0,0.0
2024-09-05,290.5,301.0,290.5,292.5,132,1.0,0.0
2024-09-06,290.5,301.0,286.5,300.0,230,1.0,0.0
2024-09-09,295.25,301.0,290.25,297.5,162,1.0,0.0
2024-09-10,299.5,304.0,295.0,295.5,126,1.0,0.0
2024-09-11,297.5,301.75,297.5,301.0,212,1.0,0.0
2024-09-12,302.0,305.5,297.5,297.5,130,1.0,0.0
2024-09-13,298.5,310.0,295.5,295.5,166,1.0,0.0
2024-09-16,296.5,304.6000061035156,288.0,288.0,258,1.0,0.0
2024-09-17,290.0,297.5,286.5,287.5,316,1.0,0.0
2024-09-18,295.0,302.5,290.0,290.0,202,1.0,0.0
2024-09-19,299.0,302.5,290.0,290.0,250,1.0,0.0
2024-09-20,288.3999938964844,295.0,287.5,289.5,878,1.0,0.0
2024-09-23,295.5,295.5,284.0,284.0,292,1.0,0.0
2024-09-24,284.25,286.5,272.5,276.0,428,1.0,0.0
2024-09-25,277.5,277.5,271.0,273.0,192,1.0,0.0
2024-09-26,273.5,278.0,257.25,262.5,548,1.0,0.0
2024-09-27,256.1000061035156,269.5,256.1000061035156,267.5,98,1.0,0.0
2024-09-30,270.0,288.0,268.5,285.0,130,1.0,0.0
2024-10-01,285.0,285.0,262.5,274.0,220,1.0,0.0
2024-10-02,268.0,273.0,266.3999938964844,269.5,138,1.0,0.0
2024-10-03,272.5,272.5,264.5,265.0,108,1.0,0.0
2024-10-04,264.1000061035156,270.0,262.5,270.0,184,1.0,0.0
2024-10-07,265.5,270.0,262.5,267.5,152,1.0,0.0
2024-10-08,267.3999938964844,268.3500061035156,265.0,265.5,134,1.0,0.0
2024-10-09,265.0,269.5,254.0,261.25,474,1.0,0.0
2024-10-10,267.5,267.5,256.5,263.0,168,1.0,0.0
2024-10-11,263.0,268.5,259.5,263.45001220703125,122,1.0,0.0
2024-10-14,259.5,269.5,257.5,258.5,176,1.0,0.0
2024-10-15,258.5,262.5,252.0,260.0,126,1.0,0.0
2024-10-16,256.0,269.5,256.0,263.0,200,1.0,0.0
2024-10-17,262.5,265.0,247.5,255.60000610351562,252,1.0,0.0
2024-10-18,262.20001220703125,262.5,250.14999389648438,260.0,196,1.0,0.0
2024-10-21,261.0,262.5,253.5,262.0,222,1.0,0.0
2024-10-22,258.5,276.5,257.5,276.5,454,1.0,0.0
2024-10-23,270.0,312.3500061035156,270.0,302.5,622,1.0,0.0
2024-10-24,310.0,342.5,302.5,327.5,1840,1.0,0.0
2024-10-25,338.0,356.0,330.0,340.0,1416,1.0,0.0
2024-10-28,337.5,362.0,333.0,359.5,734,1.0,0.0
2024-10-29,362.0,362.0,341.5,359.5,376,1.0,0.0
2024-10-30,337.5,350.0,337.5,342.5,448,1.0,0.0
2024-10-31,350.75,352.0,340.5,352.0,522,1.0,0.0
2024-11-01,351.0,355.0,343.95001220703125,349.5,246,1.0,0.0
2024-11-04,349.0,349.0,337.5,339.0,378,1.0,0.0
2024-11-05,335.5,344.5,335.0,335.0,116,1.0,0.0
2024-11-06,341.0,353.6000061035156,340.0,352.5,300,1.0,0.0
2024-11-07,345.5,350.5,343.0,343.5,116,1.0,0.0
2024-11-08,342.5,392.0,342.5,381.5,3130,1.0,0.0
2024-11-11,372.0,392.5,370.0,370.0,1786,1.0,0.0
2024-11-12,365.0,375.0,354.0,354.5,426,1.0,0.0
2024-11-13,351.0,364.75,332.25,347.5,1008,1.0,0.0
2024-11-14,340.0,348.0,332.0,338.0,280,1.0,0.0
2024-11-15,333.0,343.70001220703125,333.0,335.0,200,1.0,0.0
2024-11-18,341.0,341.0,322.5,330.0,234,1.0,0.0
2024-11-19,324.5,333.6499938964844,313.5,323.25,322,1.0,0.0
2024-11-20,317.5,325.0,300.0,321.5,786,1.0,0.0
2024-11-21,307.25,327.5,305.0,327.5,474,1.0,0.0
2024-11-22,330.25,339.75,323.0,339.75,1482,1.0,0.0
2024-11-25,349.0,351.5,340.8500061035156,345.5,372,1.0,0.0
2024-11-26,350.5,350.5,307.5,324.45001220703125,1460,1.0,0.0
2024-11-27,322.5,347.5,312.5,332.5,1678,1.0,0.0
2024-11-29,319.0,349.5,319.0,342.8999938964844,468,1.0,0.0
2024-12-02,340.0,342.5,336.0,336.0,54,1.0,0.0
2024-12-03,339.25,341.5,320.70001220703125,327.04998779296875,842,1.0,0.0
2024-12-04,327.0,340.3500061035156,323.8500061035156,334.0,246,1.0,0.0
2024-12-05,328.0,328.0,308.0,314.0,672,1.0,0.0
2024-12-06,316.5,339.5,316.5,339.5,48,1.0,0.0
2024-12-09,320.0,336.5,320.0,327.5,1788,1.0,0.0
2024-12-10,329.0,329.0,323.0,323.0,124,1.0,0.0
2024-12-11,323.0,326.0,307.5,310.5,970,1.0,0.0
2024-12-12,310.0,316.79998779296875,302.5,304.5,250,1.0,0.0
2024-12-13,306.0,309.0,300.0,309.0,500,1.0,0.0
2024-12-16,304.0,311.5,303.20001220703125,305.5,478,1.0,0.0
2024-12-17,299.5,310.0,297.5,309.5,66,1.0,0.0
2024-12-18,299.6000061035156,306.5,285.0,288.0,396,1.0,0.0
2024-12-19,290.0,300.0,283.5,300.0,358,1.0,0.0
2024-12-20,289.0,302.0,287.3500061035156,296.0,258,1.0,0.0
2024-12-23,295.0,300.0,290.0,300.0,264,1.0,0.0
2024-12-24,302.0,314.0,302.0,312.0,760,1.0,0.0
2024-12-26,316.5,366.0,312.0,346.75,992,1.0,0.0
2024-12-27,352.5,359.5,341.70001220703125,349.0,534,1.0,0.0
2024-12-30,357.0,360.25,340.5,343.5,690,1.0,0.0
2024-12-31,344.5,360.04998779296875,326.0,347.0,664,1.0,0.0
2025-01-02,369.5,439.5,369.5,385.5,3606,1.0,0.0
2025-01-03,390.0,419.5,390.0,396.5,2288,1.0,0.0
2025-01-06,400.5,407.0,372.5,376.5,1600,1.0,0.0
2025-01-07,382.5,391.8999938964844,370.5,384.5,908,1.0,0.0
2025-01-08,374.5,385.20001220703125,338.0,341.0,1320,1.0,0.0
2025-01-10,340.0,356.0,330.5,340.5,738,1.0,0.0
2025-01-13,335.5,342.25,327.5,327.5,316,1.0,0.0
2025-01-14,331.0,337.04998779296875,325.6499938964844,332.5,402,1.0,0.0
2025-01-15,325.0,359.25,325.0,356.5,276,1.0,0.0
2025-01-16,357.5,362.0,347.75,350.5,152,1.0,0.0
2025-01-17,350.5,380.0,350.5,362.5,350,1.0,0.0
2025-01-21,365.0,392.5,350.0,384.0,2816,1.0,0.0
2025-01-22,382.5,392.5,375.5,384.5,1520,1.0,0.0
2025-01-23,381.0,417.5,380.6000061035156,407.5,1242,1.0,0.0
2025-01-24,412.5,414.75,396.04998779296875,405.5,1218,1.0,0.0
2025-01-27,400.0,422.0,392.0,418.25,2248,1.0,0.0
2025-01-28,417.5,447.5,401.8999938964844,438.5,1462,1.0,0.0
2025-01-29,435.0,445.0,417.0,441.5,590,1.0,0.0
2025-01-30,442.5,487.0,417.0,474.0,1380,1.0,0.0
2025-01-31,478.5,479.5,443.5,460.0,3762,1.0,0.0
2025-02-03,453.5,470.0,450.0,461.0,820,1.0,0.0
2025-02-04,462.5,482.95001220703125,462.5,465.0,482,1.0,0.0
2025-02-05,457.5,490.0,457.5,485.0,1552,1.0,0.0
2025-02-06,477.5,539.5,477.5,536.5,1664,1.0,0.0
2025-02-07,524.0,560.0,524.0,551.0,1840,1.0,0.0
2025-02-10,560.0,560.0,491.5,515.0,1266,1.0,0.0
2025-02-11,503.5,544.0,500.0,544.0,2274,1.0,0.0
2025-02-12,401.0,449.5,348.54998779296875,372.0,12448,1.0,0.0
2025-02-13,370.0,393.0,350.5,388.0,2100,1.0,0.0
2025-02-14,392.0,432.5,385.25,419.0,1474,1.0,0.0
2025-02-18,419.0,419.0,360.5,361.0,3102,1.0,0.0
2025-02-19,362.5,380.5,330.25,338.5,2250,1.0,0.0
