date,open,high,low,close,volume,split,dividend
2024-06-03,2.48,2.56,2.32,2.38,190433,1.0,0.0
2024-06-04,2.38,2.4,2.2101,2.235,96793,1.0,0.0
2024-06-05,2.23,2.25,2.08,2.19,197788,1.0,0.0
2024-06-06,2.12,2.1868,1.85,1.87,426695,1.0,0.0
2024-06-07,1.95,2.18,1.85,1.9,636723,1.0,0.0
2024-06-10,1.9,1.945,1.86,1.9,101466,1.0,0.0
2024-06-11,1.9,1.93,1.86,1.93,75209,1.0,0.0
2024-06-12,1.98,2.0199,1.93,1.94,82096,1.0,0.0
2024-06-13,1.94,1.94,1.81,1.9,148286,1.0,0.0
2024-06-14,1.86,1.89,1.75,1.84,140797,1.0,0.0
2024-06-17,1.82,1.88,1.812,1.86,54091,1.0,0.0
2024-06-18,1.85,1.8893,1.75,1.76,80983,1.0,0.0
2024-06-20,1.75,1.88,1.75,1.86,67324,1.0,0.0
2024-06-21,1.86,1.86,1.8,1.8,58632,1.0,0.0
2024-06-24,1.82,1.84,1.75,1.75,151492,1.0,0.0
2024-06-25,1.77,1.79,1.73,1.75,78476,1.0,0.0
2024-06-26,1.75,1.78,1.68,1.68,161360,1.0,0.0
2024-06-27,1.69,1.7432,1.64,1.66,143878,1.0,0.0
2024-06-28,1.68,1.76,1.63,1.63,105438,1.0,0.0
2024-07-01,1.67,1.7459,1.65,1.67,58230,1.0,0.0
2024-07-02,1.67,1.73,1.565,1.63,314118,1.0,0.0
2024-07-03,1.63,1.65,1.59,1.6,92032,1.0,0.0
2024-07-05,1.58,1.6,1.58,1.6,183856,1.0,0.0
2024-07-08,1.61,1.66,1.6,1.62,102184,1.0,0.0
2024-07-09,1.63,1.64,1.6,1.6,45910,1.0,0.0
2024-07-10,1.61,1.66,1.61,1.64,58288,1.0,0.0
2024-07-11,1.68,1.78,1.65,1.75,178270,1.0,0.0
2024-07-12,1.78,1.83,1.67,1.69,178663,1.0,0.0
2024-07-15,1.7,1.74,1.7,1.73,95627,1.0,0.0
2024-07-16,1.77,1.78,1.71,1.76,99673,1.0,0.0
2024-07-17,1.77,1.78,1.73,1.75,90196,1.0,0.0
2024-07-18,1.74,1.751,1.679,1.7,60998,1.0,0.0
2024-07-19,1.69,1.69,1.64,1.675,71973,1.0,0.0
2024-07-22,1.71,1.72,1.69,1.7,78437,1.0,0.0
2024-07-23,1.75,1.75,1.68,1.7,108218,1.0,0.0
2024-07-24,1.66,1.72,1.66,1.685,76485,1.0,0.0
2024-07-25,1.7,1.72,1.6301,1.71,174842,1.0,0.0
2024-07-26,1.72,1.74,1.68,1.74,92947,1.0,0.0
2024-07-29,1.69,1.8,1.69,1.79,205410,1.0,0.0
2024-07-30,1.81,1.8179,1.79,1.79,42292,1.0,0.0
2024-07-31,1.8,1.829,1.79,1.8,60110,1.0,0.0
2024-08-01,1.79,1.8099,1.7033,1.76,96413,1.0,0.0
2024-08-02,1.75,1.755,1.5606,1.6,169172,1.0,0.0
2024-08-05,1.55,1.56,1.41,1.44,349484,1.0,0.0
2024-08-06,1.45,1.57,1.45,1.53,72205,1.0,0.0
2024-08-07,1.54,1.56,1.5,1.51,41915,1.0,0.0
2024-08-08,1.54,1.54,1.46,1.51,91582,1.0,0.0
2024-08-09,1.53,1.53,1.46,1.48,40752,1.0,0.0
2024-08-12,1.48,1.49,1.45,1.46,47932,1.0,0.0
2024-08-13,1.48,1.49,1.39,1.47,529643,1.0,0.0
2024-08-14,1.46,1.46,1.39,1.39,213285,1.0,0.0
2024-08-15,1.44,1.44,1.4,1.41,133268,1.0,0.0
2024-08-16,1.43,1.47,1.39,1.41,133784,1.0,0.0
2024-08-19,1.44,1.48,1.41,1.46,116235,1.0,0.0
2024-08-20,1.45,1.4678,1.4101,1.44,43044,1.0,0.0
2024-08-21,1.45,1.58,1.412,1.55,93236,1.0,0.0
2024-08-22,1.55,1.55,1.5,1.55,53750,1.0,0.0
2024-08-23,1.48,1.63,1.48,1.57,131166,1.0,0.0
2024-08-26,1.58,1.65,1.58,1.61,130310,1.0,0.0
2024-08-27,1.63,1.6699,1.6001,1.66,88079,1.0,0.0
2024-08-28,1.65,1.74,1.61,1.62,132325,1.0,0.0
2024-08-29,1.67,1.68,1.505,1.52,128820,1.0,0.0
2024-08-30,1.51,1.56,1.435,1.455,142604,1.0,0.0
2024-09-03,1.48,1.57,1.467,1.52,147148,1.0,0.0
2024-09-04,1.53,1.54,1.4601,1.52,84980,1.0,0.0
2024-09-05,1.59,1.65,1.48,1.54,84859,1.0,0.0
2024-09-06,1.58,1.58,1.47,1.53,78829,1.0,0.0
2024-09-09,1.53,1.5509,1.48,1.5,54294,1.0,0.0
2024-09-10,1.51,1.51,1.47,1.49,108037,1.0,0.0
2024-09-11,1.49,1.57,1.46,1.57,38423,1.0,0.0
2024-09-12,1.57,1.655,1.54,1.655,101465,1.0,0.0
2024-09-13,1.68,1.93,1.635,1.92,358038,1.0,0.0
2024-09-16,1.92,1.95,1.8501,1.92,242697,1.0,0.0
2024-09-17,1.94,1.95,1.9,1.91,90701,1.0,0.0
2024-09-18,1.9,1.9499,1.8914,1.91,39496,1.0,0.0
2024-09-19,1.94,1.94,1.9,1.93,95133,1.0,0.0
2024-09-20,1.94,2.23,1.9067,2.23,314293,1.0,0.0
2024-09-23,2.26,2.26,2.07,2.08,348504,1.0,0.0
2024-09-24,2.09,2.12,2.073,2.09,60269,1.0,0.0
2024-09-25,2.07,2.1,2.015,2.02,105934,1.0,0.0
2024-09-26,2.02,2.0694,1.9,2.04,152753,1.0,0.0
2024-09-27,2.07,2.2001,2.05,2.18,188767,1.0,0.0
2024-09-30,2.17,2.19,2.1128,2.19,94430,1.0,0.0
2024-10-01,2.19,2.19,2.07,2.1,91052,1.0,0.0
2024-10-02,2.08,2.17,2.06,2.16,93563,1.0,0.0
2024-10-03,2.18,2.1899,2.055,2.06,65836,1.0,0.0
2024-10-04,2.08,2.1374,1.995,2.05,53776,1.0,0.0
2024-10-07,2.05,2.1,1.97,2.01,47553,1.0,0.0
2024-10-08,2.02,2.04,1.93,2.03,66779,1.0,0.0
2024-10-09,2.03,2.0784,1.985,2.05,37033,1.0,0.0
2024-10-10,2.02,2.0304,1.985,1.99,33307,1.0,0.0
2024-10-11,2.01,2.0634,1.99,2.06,38333,1.0,0.0
2024-10-14,2.06,2.06,2.0082,2.02,43763,1.0,0.0
2024-10-15,2.01,2.035,1.93,1.9399,72587,1.0,0.0
2024-10-16,1.94,2.05,1.93,1.99,105582,1.0,0.0
2024-10-17,1.99,2.0,1.95,1.96,43315,1.0,0.0
2024-10-18,1.96,2.0099,1.96,1.99,26561,1.0,0.0
2024-10-21,2.4,2.5,2.03,2.11,1072863,1.0,0.0
2024-10-22,2.15,2.3,2.04,2.06,250671,1.0,0.0
2024-10-23,2.09,2.11,1.94,1.98,180206,1.0,0.0
2024-10-24,2.0,2.0,1.88,1.89,138073,1.0,0.0
2024-10-25,1.91,1.96,1.78,1.84,182755,1.0,0.0
2024-10-28,1.87,1.9,1.84,1.87,326473,1.0,0.0
2024-10-29,1.85,1.8899,1.72,1.75,196269,1.0,0.0
2024-10-30,1.75,1.79,1.64,1.64,200306,1.0,0.0
2024-10-31,1.67,1.7689,1.59,1.6,178713,1.0,0.0
2024-11-01,1.63,1.6607,1.58,1.59,141091,1.0,0.0
2024-11-04,1.6,1.68,1.5,1.51,443412,1.0,0.0
2024-11-05,1.53,1.68,1.53,1.58,200705,1.0,0.0
2024-11-06,1.68,1.69,1.59,1.65,232067,1.0,0.0
2024-11-07,1.64,1.78,1.64,1.74,156274,1.0,0.0
2024-11-08,1.8,1.8,1.6611,1.78,217660,1.0,0.0
2024-11-11,1.8,1.8306,1.65,1.72,245265,1.0,0.0
2024-11-12,1.69,1.74,1.64,1.65,181825,1.0,0.0
2024-11-13,1.6,1.68,1.6,1.67,209128,1.0,0.0
2024-11-14,1.67,1.68,1.6,1.62,163495,1.0,0.0
2024-11-15,1.61,1.62,1.5504,1.59,128826,1.0,0.0
2024-11-18,1.59,1.63,1.58,1.6,53074,1.0,0.0
2024-11-19,1.6,1.6187,1.55,1.59,88631,1.0,0.0
2024-11-20,1.59,1.6,1.57,1.59,37916,1.0,0.0
2024-11-21,1.57,1.61,1.55,1.59,87292,1.0,0.0
2024-11-22,1.63,1.681,1.6,1.65,146978,1.0,0.0
2024-11-25,1.69,1.84,1.66,1.75,243988,1.0,0.0
2024-11-26,1.73,1.7696,1.7,1.71,78407,1.0,0.0
2024-11-27,1.73,1.8,1.71,1.75,108561,1.0,0.0
2024-11-29,1.77,1.83,1.75,1.79,66804,1.0,0.0
2024-12-02,1.79,1.8197,1.73,1.78,146447,1.0,0.0
2024-12-03,1.8,1.8199,1.75,1.8,129023,1.0,0.0
2024-12-04,1.8,1.995,1.8,1.99,287979,1.0,0.0
2024-12-05,1.95,2.1,1.94,2.02,459967,1.0,0.0
2024-12-06,1.96,2.09,1.76,1.975,1163872,1.0,0.0
2024-12-09,1.97,2.03,1.88,1.9,211136,1.0,0.0
2024-12-10,1.9,1.94,1.76,1.78,268463,1.0,0.0
2024-12-11,1.78,1.825,1.75,1.81,98647,1.0,0.0
2024-12-12,1.81,1.84,1.78,1.79,90345,1.0,0.0
2024-12-13,1.76,1.8,1.7,1.73,109844,1.0,0.0
2024-12-16,1.73,1.845,1.73,1.83,295982,1.0,0.0
2024-12-17,1.83,1.83,1.7399,1.79,141773,1.0,0.0
2024-12-18,1.76,1.835,1.69,1.7,266296,1.0,0.0
2024-12-19,1.74,1.8099,1.6921,1.71,57478,1.0,0.0
2024-12-20,1.73,1.81,1.715,1.73,82037,1.0,0.0
2024-12-23,1.74,1.7685,1.685,1.72,78398,1.0,0.0
