date,open,high,low,close,volume,split,dividend
2024-06-03,161.80999755859375,168.9290008544922,161.02000427246094,164.25999450683594,205700,1.0,0.0
2024-06-04,164.14999389648438,165.27999877929688,160.3300018310547,161.08999633789062,152100,1.0,0.0
2024-06-05,162.41000366210938,167.9199981689453,160.32000732421875,167.6300048828125,161900,1.0,0.0
2024-06-06,167.27999877929688,168.73500061035156,165.24000549316406,165.67999267578125,214800,1.0,0.0
2024-06-07,164.5,166.6750030517578,161.6300048828125,164.4199981689453,183400,1.0,0.0
2024-06-10,174.5,182.97999572753906,173.4600067138672,176.8300018310547,1549900,1.0,0.0
2024-06-11,175.10000610351562,178.4949951171875,170.77999877929688,177.47999572753906,689300,1.0,0.0
2024-06-12,181.8800048828125,187.7100067138672,179.75,181.9600067138672,638500,1.0,0.0
2024-06-13,181.33999633789062,191.77999877929688,181.33999633789062,182.72000122070312,485000,1.0,0.0
2024-06-14,180.2100067138672,181.25,174.2899932861328,177.77999877929688,492500,1.0,0.0
2024-06-17,175.75,180.0399932861328,174.07000732421875,177.7100067138672,398900,1.0,0.0
2024-06-18,177.8300018310547,180.72000122070312,172.4499969482422,173.0,477300,1.0,0.0
2024-06-20,172.42999267578125,174.30999755859375,170.02999877929688,171.2100067138672,494800,1.0,0.0
2024-06-21,172.55999755859375,176.9600067138672,168.41000366210938,174.82000732421875,4748300,1.0,0.0
2024-06-24,174.8000030517578,180.77000427246094,174.3300018310547,178.25999450683594,389300,1.0,0.0
2024-06-25,177.88999938964844,182.32000732421875,176.50999450683594,180.7100067138672,294900,1.0,0.0
2024-06-26,180.25999450683594,182.99000549316406,176.66000366210938,182.19000244140625,353200,1.0,0.0
2024-06-27,182.08999633789062,184.47999572753906,181.02999877929688,182.8699951171875,334000,1.0,0.0
2024-06-28,183.69000244140625,184.44000244140625,180.86000061035156,183.63999938964844,866200,1.0,0.0
2024-07-01,183.86000061035156,188.86000061035156,182.08999633789062,182.27000427246094,305100,1.0,0.0
2024-07-02,181.82000732421875,183.3699951171875,177.36000061035156,177.61000061035156,331300,1.0,0.0
2024-07-03,178.41000366210938,180.61000061035156,176.1300048828125,177.55999755859375,114400,1.0,0.0
2024-07-05,176.0,184.8000030517578,176.0,184.33999633789062,253100,1.0,0.0
2024-07-08,186.49000549316406,192.49000549316406,186.49000549316406,191.2899932861328,313300,1.0,0.0
2024-07-09,191.80999755859375,195.60000610351562,190.7899932861328,193.60000610351562,259500,1.0,0.0
2024-07-10,194.4499969482422,195.17999267578125,189.5500030517578,193.4199981689453,285400,1.0,0.0
2024-07-11,197.63999938964844,200.72999572753906,193.44500732421875,198.40499877929688,397800,1.0,0.0
2024-07-12,199.50999450683594,204.97999572753906,199.50999450683594,203.1300048828125,310900,1.0,0.0
2024-07-15,201.72999572753906,208.30999755859375,201.72999572753906,207.8800048828125,258600,1.0,0.0
2024-07-16,210.0,214.97999572753906,206.7899932861328,208.5500030517578,342800,1.0,0.0
2024-07-17,206.2100067138672,208.88999938964844,203.2100067138672,207.3000030517578,262900,1.0,0.0
2024-07-18,207.52000427246094,210.08999633789062,198.0,200.8300018310547,366400,1.0,0.0
2024-07-19,202.22999572753906,205.66000366210938,201.25999450683594,203.66000366210938,277200,1.0,0.0
2024-07-22,204.4199981689453,208.49000549316406,203.35499572753906,206.85000610351562,296200,1.0,0.0
2024-07-23,205.72999572753906,212.38999938964844,205.3699951171875,207.19000244140625,290500,1.0,0.0
2024-07-24,205.41000366210938,209.01499938964844,204.5,206.63999938964844,223500,1.0,0.0
2024-07-25,206.9499969482422,212.3000030517578,203.88999938964844,210.69000244140625,464300,1.0,0.0
2024-07-26,213.24000549316406,219.33999633789062,210.8000030517578,213.66000366210938,234500,1.0,0.0
2024-07-29,213.52000427246094,213.52000427246094,204.0,205.19000244140625,196400,1.0,0.0
2024-07-30,205.4600067138672,206.55999755859375,199.8699951171875,202.88999938964844,184500,1.0,0.0
2024-07-31,204.60000610351562,212.05999755859375,201.47999572753906,208.4600067138672,209800,1.0,0.0
2024-08-01,208.77000427246094,209.0709991455078,196.58999633789062,198.77999877929688,435900,1.0,0.0
2024-08-02,190.50999450683594,195.0800018310547,186.80499267578125,191.94000244140625,480200,1.0,0.0
2024-08-05,165.0,184.38999938964844,164.80999755859375,180.7100067138672,1038500,1.0,0.0
2024-08-06,182.39999389648438,184.30999755859375,174.14999389648438,178.61000061035156,363300,1.0,0.0
2024-08-07,182.35000610351562,185.1699981689453,174.1999969482422,174.6999969482422,345000,1.0,0.0
2024-08-08,177.63999938964844,181.50900268554688,174.4199981689453,180.3699951171875,245300,1.0,0.0
2024-08-09,180.67999267578125,184.17999267578125,179.99000549316406,182.1699981689453,144600,1.0,0.0
2024-08-12,182.3699951171875,186.85499572753906,180.42999267578125,184.41000366210938,139000,1.0,0.0
2024-08-13,186.02999877929688,188.65499877929688,184.1699981689453,187.47000122070312,136700,1.0,0.0
2024-08-14,187.8300018310547,189.5,185.5,188.33999633789062,191200,1.0,0.0
2024-08-15,192.08999633789062,194.97999572753906,189.25,193.97999572753906,149600,1.0,0.0
2024-08-16,193.4600067138672,195.3000030517578,190.92999267578125,192.39999389648438,176900,1.0,0.0
2024-08-19,192.47999572753906,198.77999877929688,191.85000610351562,198.69000244140625,131200,1.0,0.0
2024-08-20,198.19000244140625,199.85000610351562,196.74000549316406,199.02000427246094,125600,1.0,0.0
2024-08-21,199.4600067138672,203.77000427246094,198.48500061035156,201.6300048828125,210200,1.0,0.0
2024-08-22,201.61000061035156,202.4949951171875,196.5050048828125,197.52000427246094,127300,1.0,0.0
2024-08-23,199.60000610351562,202.5,198.2899932861328,201.5800018310547,204500,1.0,0.0
2024-08-26,203.33999633789062,203.33999633789062,199.5500030517578,200.50999450683594,133200,1.0,0.0
2024-08-27,199.55999755859375,200.05999755859375,196.6699981689453,198.22000122070312,170900,1.0,0.0
2024-08-28,199.0,206.97000122070312,195.75399780273438,203.91000366210938,247800,1.0,0.0
2024-08-29,205.57000732421875,205.57000732421875,194.3300018310547,195.22000122070312,162200,1.0,0.0
2024-08-30,197.33999633789062,199.22999572753906,191.35499572753906,195.1199951171875,202800,1.0,0.0
2024-09-03,193.13999938964844,195.17999267578125,185.3699951171875,186.77999877929688,223100,1.0,0.0
2024-09-04,185.89999389648438,187.2949981689453,182.3300018310547,185.9499969482422,142700,1.0,0.0
2024-09-05,187.16000366210938,188.27999877929688,183.36000061035156,186.05999755859375,97100,1.0,0.0
2024-09-06,187.1300048828125,187.1300048828125,181.36000061035156,184.19000244140625,92800,1.0,0.0
2024-09-09,183.6199951171875,189.66000366210938,183.0800018310547,187.69000244140625,176500,1.0,0.0
2024-09-10,188.2899932861328,189.83999633789062,183.75999450683594,185.0,113800,1.0,0.0
2024-09-11,185.33999633789062,199.88999938964844,183.97000122070312,198.7899932861328,374800,1.0,0.0
2024-09-12,199.82000732421875,202.41000366210938,194.33999633789062,195.63999938964844,397600,1.0,0.0
2024-09-13,198.83999633789062,202.9499969482422,198.8000030517578,201.5800018310547,292400,1.0,0.0
2024-09-16,201.9199981689453,203.28500366210938,193.8699951171875,194.27000427246094,219200,1.0,0.0
2024-09-17,196.97999572753906,197.88499450683594,186.39999389648438,189.25999450683594,663200,1.0,0.0
2024-09-18,190.02000427246094,190.8350067138672,182.18499755859375,182.74000549316406,335100,1.0,0.0
2024-09-19,187.4199981689453,190.9600067138672,183.97999572753906,184.47999572753906,365600,1.0,0.0
2024-09-20,185.08999633789062,187.33999633789062,181.89999389648438,184.1699981689453,564300,1.0,0.0
2024-09-23,185.52999877929688,186.9219970703125,179.91000366210938,180.17999267578125,188900,1.0,0.0
2024-09-24,181.02999877929688,181.02999877929688,176.22500610351562,179.47000122070312,306200,1.0,0.0
2024-09-25,179.99000549316406,182.13999938964844,178.38499450683594,179.52999877929688,130300,1.0,0.0
2024-09-26,182.47999572753906,182.47999572753906,178.0800018310547,178.41000366210938,122000,1.0,0.0
2024-09-27,180.25,181.13999938964844,176.9199981689453,177.13999938964844,182100,1.0,0.0
2024-09-30,176.39999389648438,183.9199981689453,176.25,182.02999877929688,214600,1.0,0.0
2024-10-01,181.27999877929688,185.2100067138672,179.96499633789062,181.47000122070312,184900,1.0,0.0
2024-10-02,180.39999389648438,180.39999389648438,176.25,177.3800048828125,148000,1.0,0.0
2024-10-03,176.55999755859375,179.10000610351562,175.5,175.92999267578125,153700,1.0,0.0
2024-10-04,178.47999572753906,179.4499969482422,175.80999755859375,177.11000061035156,120500,1.0,0.0
2024-10-07,176.35000610351562,176.9499969482422,173.44000244140625,175.0,234600,1.0,0.0
2024-10-08,176.1300048828125,177.52499389648438,174.5,174.83999633789062,116500,1.0,0.0
2024-10-09,175.24000549316406,175.24000549316406,171.03500366210938,171.97999572753906,155700,1.0,0.0
2024-10-10,171.4499969482422,173.24000549316406,169.0,173.14999389648438,217300,1.0,0.0
2024-10-11,173.3300018310547,180.4949951171875,173.03500366210938,178.7100067138672,209800,1.0,0.0
2024-10-14,177.60000610351562,180.26499938964844,177.02000427246094,179.5800018310547,80900,1.0,0.0
2024-10-15,180.1199951171875,180.6750030517578,177.42999267578125,178.4600067138672,161100,1.0,0.0
2024-10-16,180.02000427246094,180.02000427246094,177.02000427246094,177.77999877929688,107400,1.0,0.0
2024-10-17,178.75999450683594,178.75999450683594,176.5,176.82000732421875,111300,1.0,0.0
2024-10-18,177.00999450683594,179.6300048828125,175.74000549316406,179.19000244140625,189800,1.0,0.0
2024-10-21,178.1300048828125,179.80499267578125,176.25,178.97999572753906,152700,1.0,0.0
2024-10-22,177.63999938964844,177.63999938964844,174.24000549316406,175.1999969482422,142900,1.0,0.0
2024-10-23,173.89999389648438,174.10000610351562,171.68499755859375,172.75,118400,1.0,0.0
2024-10-24,173.10000610351562,175.1199951171875,172.69000244140625,174.97500610351562,115600,1.0,0.0
2024-10-25,176.6199951171875,181.30999755859375,175.4459991455078,175.50999450683594,129200,1.0,0.0
2024-10-28,177.27000427246094,180.16000366210938,175.7100067138672,176.88999938964844,133100,1.0,0.0
2024-10-29,175.99000549316406,177.22999572753906,174.97000122070312,176.21499633789062,85200,1.0,0.0
2024-10-30,174.80999755859375,175.75999450683594,172.7100067138672,175.52999877929688,111900,1.0,0.0
2024-10-31,174.99000549316406,175.9199981689453,170.08999633789062,172.52999877929688,190900,1.0,0.0
2024-11-01,173.02999877929688,176.49000549316406,170.82000732421875,176.38999938964844,296900,1.0,0.0
2024-11-04,164.85000610351562,173.80999755859375,163.66400146484375,170.85000610351562,802900,1.0,0.0
2024-11-05,172.47999572753906,175.9600067138672,170.64999389648438,174.41000366210938,245200,1.0,0.0
2024-11-06,184.22000122070312,194.58999633789062,182.57000732421875,183.08999633789062,610000,1.0,0.0
2024-11-07,182.25999450683594,190.39999389648438,182.25999450683594,185.4499969482422,202500,1.0,0.0
2024-11-08,185.02999877929688,200.88999938964844,184.85499572753906,199.61000061035156,416300,1.0,0.0
2024-11-11,202.24000549316406,207.83999633789062,195.0500030517578,195.8699951171875,296400,1.0,0.0
2024-11-12,195.77000427246094,199.41000366210938,186.25999450683594,187.22000122070312,258500,1.0,0.0
2024-11-13,190.1199951171875,192.69400024414062,183.6199951171875,184.22000122070312,202000,1.0,0.0
2024-11-14,183.27000427246094,186.44000244140625,176.0500030517578,177.38999938964844,275000,1.0,0.0
2024-11-15,178.36000061035156,178.36000061035156,169.47000122070312,170.74000549316406,351100,1.0,0.0
2024-11-18,171.3699951171875,176.44500732421875,168.875,175.63999938964844,254900,1.0,0.0
2024-11-19,174.3000030517578,179.0,173.64999389648438,177.85000610351562,215800,1.0,0.0
2024-11-20,176.60000610351562,181.69000244140625,173.6540069580078,178.10000610351562,180600,1.0,0.0
2024-11-21,179.97999572753906,183.4499969482422,175.08999633789062,182.2899932861328,185200,1.0,0.0
2024-11-22,184.07000732421875,191.26499938964844,182.02000427246094,190.39999389648438,222100,1.0,0.0
2024-11-25,193.69000244140625,197.77999877929688,193.25,194.55999755859375,336300,1.0,0.0
2024-11-26,193.66000366210938,196.6479949951172,190.5570068359375,196.52000427246094,168700,1.0,0.0
2024-11-27,197.0500030517578,198.86500549316406,194.8000030517578,196.91000366210938,139900,1.0,0.0
2024-11-29,196.55999755859375,200.0,195.38999938964844,197.4199981689453,116600,1.0,0.0
2024-12-02,196.35000610351562,198.30999755859375,191.77999877929688,194.91000366210938,257700,1.0,0.0
2024-12-03,194.0,195.81500244140625,185.63999938964844,185.97000122070312,295100,1.0,0.0
2024-12-04,186.27000427246094,190.52999877929688,186.27000427246094,187.6199951171875,211400,1.0,0.0
2024-12-05,186.02999877929688,186.13499450683594,179.3000030517578,179.75999450683594,288400,1.0,0.0
2024-12-06,180.5800018310547,185.86500549316406,179.0,185.25,216800,1.0,0.0
2024-12-09,185.72999572753906,188.69500732421875,179.9600067138672,184.39999389648438,191000,1.0,0.0
2024-12-10,181.9600067138672,187.52000427246094,181.9600067138672,185.74000549316406,250000,1.0,0.0
2024-12-11,186.47000122070312,187.17999267578125,183.2899932861328,187.1199951171875,161300,1.0,0.0
2024-12-12,191.16000366210938,193.07000732421875,170.0,173.39999389648438,478000,1.0,0.0
2024-12-13,173.27999877929688,174.42999267578125,162.3249969482422,163.63999938964844,541500,1.0,0.0
2024-12-16,162.5500030517578,173.09500122070312,162.50999450683594,167.61000061035156,371000,1.0,0.0
2024-12-17,165.75999450683594,169.66000366210938,164.32000732421875,169.0399932861328,231800,1.0,0.0
2024-12-18,176.58999633789062,176.58999633789062,155.39999389648438,156.63999938964844,359600,1.0,0.0
2024-12-19,157.52000427246094,162.38499450683594,155.16000366210938,160.8300018310547,457600,1.0,0.0
2024-12-20,159.1999969482422,165.97999572753906,159.1999969482422,164.8300018310547,898300,1.0,0.0
2024-12-23,163.82000732421875,164.44000244140625,159.47000122070312,160.8300018310547,193200,1.0,0.0
2024-12-24,161.30999755859375,162.10499572753906,156.69000244140625,158.52000427246094,112900,1.0,0.0
2024-12-26,157.77999877929688,161.44000244140625,156.02000427246094,160.49000549316406,136600,1.0,0.0
2024-12-27,161.0,161.92999267578125,158.25,159.2899932861328,233500,1.0,0.0
2024-12-30,157.0800018310547,160.22000122070312,154.16000366210938,159.8000030517578,178000,1.0,0.0
2024-12-31,160.39999389648438,160.44000244140625,156.3800048828125,156.66000366210938,206200,1.0,0.0
2025-01-02,159.0500030517578,161.28500366210938,155.0749969482422,156.5,217100,1.0,0.0
