date,open,high,low,close,volume,split,dividend
2024-06-03,22.37,22.4,22.34,22.4,1338,1.0,0.0
2024-06-04,22.28,22.33,22.27,22.33,1957,1.0,0.0
2024-06-05,22.275,22.275,22.16,22.16,404,1.0,0.0
2024-06-06,22.3001,22.39,22.27,22.315,2820,1.0,0.0
2024-06-07,22.39,22.39,22.3,22.39,1503,1.0,0.0
2024-06-10,22.39,22.4125,22.21,22.32,2249,1.0,0.0
2024-06-11,22.31,22.4,22.18,22.4,1353,1.0,0.0
2024-06-12,22.365,22.365,21.99,22.252,3703,1.0,0.0
2024-06-13,22.41,22.41,22.22,22.34,3548,1.0,0.0
2024-06-14,22.25,22.29,22.25,22.29,828,1.0,0.0
2024-06-17,22.35,22.35,22.195,22.35,8083,1.0,0.0
2024-06-18,22.43,22.43,22.43,22.43,893,1.0,0.0
2024-06-20,22.43,22.43,22.43,22.43,188,1.0,0.0
2024-06-21,22.3001,22.4,22.3001,22.4,656,1.0,0.0
2024-06-24,22.47,22.62,22.47,22.62,2165,1.0,0.0
2024-06-25,22.3774,22.3774,22.35,22.35,633,1.0,0.0
2024-06-26,22.3,22.41,22.3,22.4,1129,1.0,0.0
2024-06-27,22.41,22.41,22.36,22.3635,1709,1.0,0.0
2024-06-28,22.44,22.46,22.3,22.4,3584,1.0,0.0
2024-07-01,22.61,22.61,22.61,22.61,241,1.0,0.0
2024-07-02,22.485,22.57,22.485,22.57,592,1.0,0.0
2024-07-03,22.65,22.65,22.5,22.5,1078,1.0,0.0
2024-07-05,22.5,22.5,22.2768,22.32,1744,1.0,0.0
2024-07-08,22.5308,22.5308,22.4661,22.4661,1555,1.0,0.0
2024-07-09,22.33,22.508,22.33,22.508,571,1.0,0.0
2024-07-10,22.32,22.4,22.0,22.4,3544,1.0,0.0
2024-07-11,22.36,22.42,22.25,22.42,3907,1.0,0.0
2024-07-12,22.5,22.5,22.415,22.45,598,1.0,0.0
2024-07-15,22.34,22.46,22.05,22.05,7437,1.0,0.0
2024-07-16,22.15,22.39,21.99,22.16,1636,1.0,0.0
2024-07-17,22.17,22.17,22.17,22.17,288,1.0,0.0
2024-07-18,22.245,22.3,22.11,22.3,4421,1.0,0.0
2024-07-19,22.24,22.2931,22.24,22.2931,598,1.0,0.0
2024-07-22,22.3,22.3,22.1501,22.26,1318,1.0,0.0
2024-07-23,22.2876,22.2876,22.25,22.25,725,1.0,0.0
2024-07-24,22.4699,22.4699,22.1001,22.19,899,1.0,0.0
2024-07-25,22.368,22.368,22.2994,22.34,1136,1.0,0.0
2024-07-26,22.49,22.49,22.25,22.385,721,1.0,0.0
2024-07-29,22.28,22.28,22.28,22.28,1717,1.0,0.0
2024-07-30,22.15,22.33,22.15,22.33,531,1.0,0.0
2024-07-31,22.3999,22.3999,22.3999,22.3999,106,1.0,0.0
2024-08-01,22.2643,22.4,22.25,22.25,4352,1.0,0.0
2024-08-02,22.2,22.2,22.095,22.095,597,1.0,0.0
2024-08-05,21.9704,21.9704,21.9704,21.9704,500,1.0,0.0
2024-08-06,20.95,21.9,20.65,21.9,5099,1.0,0.0
2024-08-07,21.6,21.85,21.5003,21.8,2468,1.0,0.0
2024-08-08,21.4,21.8,21.4,21.8,426,1.0,0.0
2024-08-09,21.36,21.8,21.25,21.7,3613,1.0,0.0
2024-08-12,21.49,21.63,21.15,21.29,6443,1.0,0.0
2024-08-13,21.55,21.55,21.55,21.55,1820,1.0,0.0
2024-08-14,21.58,21.58,21.51,21.51,835,1.0,0.0
2024-08-15,21.6,21.6,21.51,21.51,955,1.0,0.0
2024-08-16,21.645,21.76,21.4,21.76,7796,1.0,0.0
2024-08-19,21.685,21.745,21.42,21.69,1159,1.0,0.0
2024-08-20,21.75,21.95,21.75,21.77,3325,1.0,0.0
2024-08-21,21.755,21.9,21.7492,21.9,2280,1.0,0.0
2024-08-22,21.62,21.73,21.52,21.6797,3651,1.0,0.33
2024-08-23,21.51,21.66,21.51,21.66,740,1.0,0.0
2024-08-26,21.52,21.55,21.45,21.45,5403,1.0,0.0
2024-08-27,21.46,21.712,21.38,21.5,4011,1.0,0.0
2024-08-28,21.5536,21.6499,21.5,21.6499,1222,1.0,0.0
2024-08-29,21.6787,21.7,21.51,21.5985,3907,1.0,0.0
2024-08-30,21.74,21.74,21.52,21.605,5421,1.0,0.0
2024-09-03,21.5,21.625,21.5,21.5101,4299,1.0,0.0
2024-09-04,21.86,21.86,21.51,21.59,2550,1.0,0.0
2024-09-05,21.53,21.5855,21.44,21.44,2596,1.0,0.0
2024-09-06,21.35,21.5,21.35,21.42,2896,1.0,0.0
2024-09-09,21.42,21.6,21.285,21.39,4614,1.0,0.0
2024-09-10,21.52,21.52,21.52,21.52,359,1.0,0.0
2024-09-11,21.55,21.57,21.43,21.43,658,1.0,0.0
2024-09-12,21.5,21.5,21.5,21.5,2001,1.0,0.0
2024-09-13,21.97,23.79,21.97,23.79,39037,1.0,0.0
2024-09-16,23.5,24.0,23.02,24.0,23111,1.0,0.0
2024-09-17,24.01,24.8,23.48,24.06,7118,1.0,0.0
2024-09-18,23.0201,24.02,23.02,23.99,5539,1.0,0.0
2024-09-19,23.26,24.02,23.26,23.96,5832,1.0,0.0
2024-09-20,24.0,25.0,24.0,25.0,6204,1.0,0.0
2024-09-23,24.5,25.0,24.0,24.47,8317,1.0,0.0
2024-09-24,23.7,24.3,23.7,24.3,878,1.0,0.0
2024-09-25,24.0,24.47,24.0,24.4,16806,1.0,0.0
2024-09-26,24.24,24.24,23.62,24.08,5031,1.0,0.0
2024-09-27,24.2,24.2,23.95,23.955,5593,1.0,0.0
2024-09-30,23.745,24.8287,23.745,24.8287,7231,1.0,0.0
2024-10-01,24.05,24.78,23.8099,24.3,10214,1.0,0.0
2024-10-02,23.73,24.0,23.73,24.0,1109,1.0,0.0
2024-10-03,23.68,24.18,23.68,24.18,1412,1.0,0.0
2024-10-04,23.655,24.0379,23.655,24.0379,294,1.0,0.0
2024-10-07,23.77,24.0,23.77,24.0,1025,1.0,0.0
2024-10-08,23.76,24.225,23.15,23.9,19203,1.0,0.0
2024-10-09,23.75,24.0,23.46,24.0,4483,1.0,0.0
2024-10-10,24.49,24.49,24.38,24.4,876,1.0,0.0
2024-10-11,24.4,24.4,24.4,24.4,97,1.0,0.0
2024-10-14,23.85,24.2359,23.85,24.2359,1728,1.0,0.0
2024-10-15,23.89,24.2,23.89,24.19,2507,1.0,0.0
2024-10-16,24.19,24.19,24.19,24.19,103,1.0,0.0
2024-10-17,24.19,24.19,24.19,24.19,94,1.0,0.0
2024-10-18,24.25,24.3499,24.05,24.3499,777,1.0,0.0
2024-10-21,24.056,24.35,23.76,24.15,17272,1.0,0.0
2024-10-22,23.712,24.39,23.712,24.2438,6041,1.0,0.0
2024-10-23,24.15,24.25,24.12,24.25,2500,1.0,0.0
2024-10-24,24.01,24.3,24.01,24.3,1883,1.0,0.0
2024-10-25,24.3,24.3,24.3,24.3,343,1.0,0.0
2024-10-28,23.75,24.25,23.75,24.1,2200,1.0,0.0
2024-10-29,24.162,25.01,24.162,24.74,23199,1.0,0.0
2024-10-30,24.96,25.0,24.7,25.0,12805,1.0,0.0
2024-10-31,25.0,25.74,24.63,25.5,36008,1.0,0.0
2024-11-01,25.43,25.56,24.01,25.5,3312,1.0,0.0
2024-11-04,25.3,25.3,24.73,25.21,3578,1.0,0.0
2024-11-05,25.19,25.2236,25.19,25.2236,1833,1.0,0.0
2024-11-06,25.18,25.25,24.6346,24.82,4236,1.0,0.0
2024-11-07,25.0,25.0,24.99,24.99,808,1.0,0.0
2024-11-08,24.99,25.3,24.87,25.2,9411,1.0,0.0
2024-11-11,24.9194,25.29,24.08,25.29,7201,1.0,0.0
2024-11-12,25.3,25.3,24.93,25.145,2723,1.0,0.0
2024-11-13,25.09,25.09,24.77,24.77,1361,1.0,0.0
2024-11-14,24.84,25.4,24.79,25.4,2903,1.0,0.0
2024-11-15,24.1326,25.3,24.1326,25.3,5140,1.0,0.0
2024-11-18,25.14,25.4,24.71,25.4,3727,1.0,0.0
2024-11-19,25.03,25.5272,24.925,25.275,6066,1.0,0.36
2024-11-20,25.01,25.1081,25.0,25.1081,1563,1.0,0.0
2024-11-21,24.77,25.39,24.77,25.39,2668,1.0,0.0
2024-11-22,25.0,25.09,24.88,24.93,5626,1.0,0.0
2024-11-25,25.24,25.4,25.0793,25.4,2406,1.0,0.0
2024-11-26,25.4,25.89,24.67,25.89,29958,1.0,0.0
2024-11-27,25.96,25.99,25.05,25.98,5234,1.0,0.0
2024-11-29,25.8,26.0,24.41,26.0,12345,1.0,0.0
2024-12-02,24.7012,25.7,24.5,25.01,12003,1.0,0.0
2024-12-03,24.5633,25.08,24.1629,24.81,2427,1.0,0.0
2024-12-04,24.96,25.5,24.7,24.8514,5374,1.0,0.0
2024-12-05,24.8788,25.0,24.23,24.86,8605,1.0,0.0
2024-12-06,25.0,25.0,24.3219,24.85,5492,1.0,0.0
2024-12-09,24.96,24.96,24.17,24.85,2550,1.0,0.0
2024-12-10,24.45,25.0,24.45,24.75,3767,1.0,0.0
2024-12-11,24.86,24.86,24.86,24.86,479,1.0,0.0
2024-12-12,25.02,25.32,25.02,25.25,6281,1.0,0.0
2024-12-13,25.0823,25.6,25.05,25.4,19023,1.0,0.0
2024-12-16,25.3985,25.514,25.2097,25.2097,28208,1.0,0.0
2024-12-17,25.03,25.4,24.6,25.0,6970,1.0,0.0
2024-12-18,24.71,25.38,24.26,24.9818,24208,1.0,0.0
2024-12-19,24.74,24.995,24.74,24.8533,1575,1.0,0.0
2024-12-20,24.39,25.1583,24.39,25.1583,2235,1.0,0.0
2024-12-23,24.39,24.505,24.0,24.505,5043,1.0,0.0
2024-12-24,24.27,24.6085,24.27,24.6085,1401,1.0,0.0
2024-12-26,24.7,24.8,24.7,24.77,1828,1.0,0.0
2024-12-27,24.75,24.75,24.6703,24.6703,1641,1.0,0.0
2024-12-30,24.57,24.85,24.3,24.85,1162,1.0,0.0
2024-12-31,24.54,25.0,24.54,24.99,2085,1.0,0.0
2025-01-02,24.82,24.98,24.35,24.77,1912,1.0,0.0
2025-01-03,24.77,24.95,24.48,24.775,959,1.0,0.0
2025-01-06,24.37,24.96,24.37,24.455,32770,1.0,0.0
2025-01-07,24.3,24.7443,24.29,24.7443,3619,1.0,0.0
