date,open,high,low,close,volume,split,dividend
2024-06-03,0.55,0.57,0.53,0.5312,2346862,1.0,0.0
2024-06-04,0.5049,0.53,0.45,0.4501,10567765,1.0,0.0
2024-06-05,0.46,0.4634,0.4243,0.4419,8812659,1.0,0.0
2024-06-06,0.43,0.4442,0.399,0.4187,16104774,1.0,0.0
2024-06-07,0.3888,0.419099,0.3852,0.4041,4350060,1.0,0.0
2024-06-10,0.391,0.414,0.377,0.4029,5067787,1.0,0.0
2024-06-11,0.4,0.4187,0.391,0.4136,2558391,1.0,0.0
2024-06-12,0.4029,0.4259,0.4,0.4121,3449832,1.0,0.0
2024-06-13,0.4058,0.4245,0.402,0.412,4203527,1.0,0.0
2024-06-14,0.41,0.41,0.39,0.3964,3111170,1.0,0.0
2024-06-17,0.4,0.4085,0.39,0.4,3067234,1.0,0.0
2024-06-18,0.395,0.4249,0.395,0.4089,2521495,1.0,0.0
2024-06-20,0.4084,0.425,0.4051,0.4177,2051244,1.0,0.0
2024-06-21,0.4154,0.4269,0.415,0.4235,3142033,1.0,0.0
2024-06-24,0.424,0.45,0.4212,0.4399,3145106,1.0,0.0
2024-06-25,0.42,0.442,0.42,0.442,3077571,1.0,0.0
2024-06-26,0.4419,0.46,0.4006,0.402,3110689,1.0,0.0
2024-06-27,0.4151,0.434,0.4,0.4233,5196549,1.0,0.0
2024-06-28,0.4264,0.4392,0.39,0.3912,38544121,1.0,0.0
2024-07-01,0.4,0.408,0.375,0.3762,7033578,1.0,0.0
2024-07-02,0.375,0.3918,0.3653,0.3918,3962682,1.0,0.0
2024-07-03,0.4,0.425,0.3818,0.425,2763987,1.0,0.0
2024-07-05,0.4141,0.428,0.4029,0.428,2154975,1.0,0.0
2024-07-08,0.4215,0.4444,0.4129,0.4262,2981091,1.0,0.0
2024-07-09,0.4183,0.4477,0.4044,0.4477,1871541,1.0,0.0
2024-07-10,0.42,0.4638,0.42,0.46,1861398,1.0,0.0
2024-07-11,0.4584,0.4702,0.4519,0.47,3116341,1.0,0.0
2024-07-12,0.472,0.4889,0.4646,0.4829,2378375,1.0,0.0
2024-07-15,0.5371,0.5403,0.4721,0.4858,4695476,1.0,0.0
2024-07-16,0.4995,0.5106,0.4865,0.5066,2955971,1.0,0.0
2024-07-17,0.5251,0.536,0.5015,0.511,2768951,1.0,0.0
2024-07-18,0.5144,0.53,0.4729,0.4742,1882778,1.0,0.0
2024-07-19,0.4757,0.488,0.4325,0.442,2295566,1.0,0.0
2024-07-22,0.45,0.4643,0.4352,0.4561,1554467,1.0,0.0
2024-07-23,0.46,0.4699,0.4485,0.4624,783489,1.0,0.0
2024-07-24,0.4685,0.4784,0.4402,0.45,1008597,1.0,0.0
2024-07-25,0.4426,0.4625,0.4352,0.4481,971280,1.0,0.0
2024-07-26,0.4643,0.465,0.4351,0.4402,1484134,1.0,0.0
2024-07-29,0.46,0.4679,0.432,0.4398,1777970,1.0,0.0
2024-07-30,0.4402,0.4504,0.4001,0.4069,2816819,1.0,0.0
2024-07-31,0.4117,0.42,0.4,0.4,2261616,1.0,0.0
2024-08-01,0.405,0.4093,0.3802,0.383,5446331,1.0,0.0
2024-08-02,0.385,0.3941,0.38,0.382,3478247,1.0,0.0
2024-08-05,0.38,0.3848,0.365,0.3651,3522369,1.0,0.0
2024-08-06,0.3816,0.384,0.37,0.3701,1732174,1.0,0.0
2024-08-07,0.383,0.383,0.365,0.3742,1206481,1.0,0.0
2024-08-08,0.3748,0.3773,0.365,0.3729,2681533,1.0,0.0
2024-08-09,0.365,0.3749,0.357,0.3614,2799842,1.0,0.0
2024-08-12,0.361,0.3663,0.3389,0.3645,4782623,1.0,0.0
2024-08-13,0.3574,0.3645,0.3412,0.3459,3218708,1.0,0.0
2024-08-14,0.346,0.3548,0.3306,0.3343,3388400,1.0,0.0
2024-08-15,0.3318,0.3397,0.3301,0.3311,2379837,1.0,0.0
2024-08-16,0.3365,0.345,0.3322,0.3429,1351336,1.0,0.0
2024-08-19,0.3402,0.3628,0.3402,0.3596,2256347,1.0,0.0
2024-08-20,0.3589,0.3696,0.3477,0.3555,1426031,1.0,0.0
2024-08-21,0.3511,0.3552,0.3311,0.3337,3895839,1.0,0.0
2024-08-22,0.332,0.34,0.31,0.3103,4804638,1.0,0.0
2024-08-23,0.313,0.3262,0.302,0.3234,7758529,1.0,0.0
2024-08-26,0.31,0.3381,0.307,0.3341,2300540,1.0,0.0
2024-08-27,0.3331,0.339,0.314,0.3228,1643709,1.0,0.0
2024-08-28,0.3243,0.335,0.302,0.3105,2866391,1.0,0.0
2024-08-29,0.31,0.3233,0.304,0.309,2015160,1.0,0.0
2024-08-30,0.3179,0.3198,0.309,0.3149,929907,1.0,0.0
2024-09-03,0.3091,0.313399,0.3001,0.301,2516669,1.0,0.0
2024-09-04,0.301,0.3186,0.3,0.305,2642164,1.0,0.0
2024-09-05,0.31,0.3225,0.3061,0.3111,796432,1.0,0.0
2024-09-06,0.306,0.315,0.3,0.3038,1261375,1.0,0.0
2024-09-09,0.301,0.3089,0.3,0.3,2117348,1.0,0.0
2024-09-10,0.3002,0.30045,0.2945,0.2998,1423770,1.0,0.0
2024-09-11,0.2969,0.306,0.29,0.3043,1694246,1.0,0.0
2024-09-12,0.32,0.3291,0.3136,0.3254,2033686,1.0,0.0
