date,open,high,low,close,volume,split,dividend
2024-06-03,3.26,3.37,3.22,3.34,19799,1.0,0.0
2024-06-04,3.26,3.5222,3.11,3.31,19418,1.0,0.0
2024-06-05,3.43,3.43,3.25,3.38,18005,1.0,0.0
2024-06-06,3.41,3.41,3.1633,3.37,26774,1.0,0.0
2024-06-07,3.31,3.37,3.13,3.21,18658,1.0,0.0
2024-06-10,3.2499,3.26,3.1762,3.22,12891,1.0,0.0
2024-06-11,3.29,3.29,3.12,3.19,12668,1.0,0.0
2024-06-12,3.17,3.42,3.17,3.37,21220,1.0,0.0
2024-06-13,3.32,3.37,3.06,3.18,47943,1.0,0.0
2024-06-14,3.1,3.314,2.95,3.0,133752,1.0,0.0
2024-06-17,3.05,3.13,2.76,3.0,123945,1.0,0.0
2024-06-18,3.0,3.0999,2.8,2.82,73876,1.0,0.0
2024-06-20,2.8,2.92,2.8,2.86,43728,1.0,0.0
2024-06-21,4.2,4.8,3.11,3.3,44646230,1.0,0.0
2024-06-24,3.1,3.95,3.0613,3.77,1067895,1.0,0.0
2024-06-25,3.74,4.2299,3.67,4.13,503227,1.0,0.0
2024-06-26,4.17,4.2,3.6501,4.0,190324,1.0,0.0
2024-06-27,3.89,3.92,3.32,3.33,171620,1.0,0.0
2024-06-28,3.34,3.44,3.2,3.24,52176,1.0,0.0
2024-07-01,3.35,3.36,3.15,3.23,157749,1.0,0.0
2024-07-02,3.28,3.34,3.1601,3.34,14400,1.0,0.0
2024-07-03,3.69,3.69,3.15,3.24,55387,1.0,0.0
2024-07-05,3.23,3.31,3.09,3.22,74659,1.0,0.0
2024-07-08,3.18,3.3876,3.15,3.32,27907,1.0,0.0
2024-07-09,3.34,3.39,3.245,3.3,22297,1.0,0.0
2024-07-10,3.32,3.32,3.1,3.1,51200,1.0,0.0
2024-07-11,3.12,3.95,3.12,3.26,396029,1.0,0.0
2024-07-12,3.28,3.3866,3.2,3.24,24464,1.0,0.0
2024-07-15,3.29,3.49,3.221,3.44,114898,1.0,0.0
2024-07-16,3.38,3.5097,3.3,3.45,66298,1.0,0.0
2024-07-17,3.4,3.6092,3.39,3.54,36762,1.0,0.0
2024-07-18,3.64,3.64,3.41,3.49,25093,1.0,0.0
2024-07-19,3.55,3.55,3.455,3.54,17964,1.0,0.0
2024-07-22,3.51,3.6,3.39,3.43,60642,1.0,0.0
2024-07-23,3.43,3.43,2.8,2.85,142528,1.0,0.0
2024-07-24,2.11,2.92,1.9,2.61,260702,1.0,0.0
2024-07-25,2.79,3.0,1.93,2.25,143216,1.0,0.0
2024-07-26,2.2,2.8973,2.15,2.33,38549,1.0,0.0
2024-07-29,2.4,2.47,2.25,2.26,16324,1.0,0.0
2024-07-30,2.2,2.28,1.7327,2.1,30861,1.0,0.0
2024-07-31,2.15,2.15,1.92,2.01,24511,1.0,0.0
2024-08-01,2.01,2.1,1.83,1.93,7338,1.0,0.0
2024-08-02,2.17,2.54,2.07,2.17,18113,1.0,0.0
2024-08-05,2.3,3.09,2.21,2.662,159069,1.0,0.0
2024-08-06,2.66,3.5,2.65,2.85,95921,1.0,0.0
2024-08-07,2.93,3.45,2.93,3.445,61074,1.0,0.0
2024-08-08,3.45,3.49,3.265,3.49,28399,1.0,0.0
2024-08-09,3.41,3.5,3.36,3.5,13538,1.0,0.0
2024-08-12,3.61,3.86,3.24,3.76,52879,1.0,0.0
2024-08-13,3.55,3.8,3.29,3.38,31268,1.0,0.0
2024-08-14,3.35,3.35,2.95,3.25,5347,1.0,0.0
2024-08-15,3.3,3.675,3.3,3.59,15790,1.0,0.0
2024-08-16,3.59,3.64,3.59,3.59,6667,1.0,0.0
2024-08-19,3.59,3.6,3.0,3.39,11338,1.0,0.0
2024-08-20,3.26,3.6,3.065,3.6,27879,1.0,0.0
2024-08-21,3.25,3.25,3.1,3.21,22370,1.0,0.0
2024-08-22,3.21,3.3,3.15,3.17,3194,1.0,0.0
2024-08-23,3.18,3.53,3.18,3.35,4882,1.0,0.0
2024-08-26,3.23,3.48,3.23,3.35,2333,1.0,0.0
2024-08-27,3.271,3.271,3.2,3.2,3638,1.0,0.0
2024-08-28,3.255,3.255,3.2,3.2,15484,1.0,0.0
2024-08-29,3.2,3.264,3.2,3.264,469,1.0,0.0
2024-08-30,3.14,3.2,3.1,3.2,6229,1.0,0.0
2024-09-03,3.23,3.36,3.1,3.1,2275,1.0,0.0
2024-09-04,3.1,3.15,3.1,3.15,1505,1.0,0.0
2024-09-05,3.14,3.35,3.0,3.335,7959,1.0,0.0
2024-09-06,3.35,3.45,3.35,3.45,10146,1.0,0.0
2024-09-09,3.45,3.45,3.166,3.166,2358,1.0,0.0
2024-09-10,3.243,3.243,3.144,3.15,5428,1.0,0.0
2024-09-11,3.12,3.12,3.05,3.05,8979,1.0,0.0
2024-09-12,3.05,3.05,2.97,3.05,17165,1.0,0.0
2024-09-13,3.05,3.05,2.92,2.94,626,1.0,0.0
2024-09-16,3.1,3.4873,2.76,2.95,17380,1.0,0.0
2024-09-17,2.92,3.45,2.82,2.87,7333,1.0,0.0
2024-09-18,3.34,3.34,2.845,2.95,2075,1.0,0.0
2024-09-19,2.9,3.0,2.9,3.0,874,1.0,0.0
2024-09-20,3.0,3.2,2.77,3.2,1687,1.0,0.0
2024-09-23,2.9,2.9,2.9,2.9,418,1.0,0.0
2024-09-24,2.95,2.95,2.5,2.79,2259,1.0,0.0
2024-09-25,2.65,2.692,2.65,2.65,678,1.0,0.0
2024-09-26,2.65,2.65,1.2,1.9,43655,1.0,0.0
2024-09-27,1.96,2.4,1.8,2.18,14116,1.0,0.0
2024-09-30,2.1,2.17,1.3,2.1,10630,1.0,0.0
2024-10-01,1.9,2.12,1.51,2.0,18233,1.0,0.0
2024-10-02,1.83,1.9,1.6,1.85,4812,1.0,0.0
