date,open,high,low,close,volume,split,dividend
2024-06-03,24.24,24.24,24.23,24.23,454,1.0,0.0
2024-06-04,24.24,24.3,24.24,24.29,4446,1.0,0.0
2024-06-05,24.29,24.29,24.2499,24.2499,1104,1.0,0.0
2024-06-06,24.2717,24.29,24.175,24.255,302783,1.0,0.0
2024-06-07,24.2,24.25,24.2,24.2,3141,1.0,0.0
2024-06-10,24.2,24.2212,24.0001,24.14,5113,1.0,0.0
2024-06-11,24.11,24.25,24.11,24.25,2498,1.0,0.0
2024-06-12,24.205,24.205,24.11,24.11,11091,1.0,0.0
2024-06-13,24.23,24.23,24.19,24.19,1383,1.0,0.0
2024-06-14,24.2,24.2,24.2,24.2,320,1.0,0.0
2024-06-17,24.175,24.2,24.15,24.15,6030,1.0,0.0
2024-06-18,24.2001,24.2001,24.2001,24.2001,300,1.0,0.0
2024-06-20,24.25,24.25,24.2315,24.24,4472,1.0,0.0
2024-06-21,24.07,24.3,24.07,24.3,1962,1.0,0.0
2024-06-24,24.3,24.3,24.25,24.2999,750,1.0,0.0
2024-06-25,24.25,24.3087,24.25,24.25,7734,1.0,0.0
2024-06-26,24.2,24.2799,24.09,24.25,2732,1.0,0.0
2024-06-27,24.25,24.25,24.25,24.25,0,1.0,0.0
2024-06-28,24.07,24.24,24.06,24.24,3052,1.0,0.0
2024-07-01,24.18,24.18,24.18,24.18,441,1.0,0.0
2024-07-02,24.2,24.2,24.15,24.15,2407,1.0,0.0
2024-07-03,24.1101,24.2999,24.1101,24.28,1910,1.0,0.0
2024-07-05,24.25,24.27,24.25,24.27,345,1.0,0.0
2024-07-08,24.3,24.35,24.3,24.35,20938,1.0,0.0
2024-07-09,24.3,24.38,24.1701,24.38,4689,1.0,0.0
2024-07-10,24.3799,24.3799,24.3799,24.3799,374,1.0,0.0
2024-07-11,24.38,24.405,24.38,24.405,28949,1.0,0.0
2024-07-12,24.43,24.44,24.41,24.41,1469,1.0,0.0
2024-07-15,24.41,24.41,24.41,24.41,67,1.0,0.34375
2024-07-16,24.12,24.27,24.114,24.25,44492,1.0,0.0
2024-07-17,24.22,24.22,24.05,24.15,8906,1.0,0.0
2024-07-18,24.1,24.19,24.1,24.15,4413,1.0,0.0
2024-07-19,24.04,24.15,24.04,24.09,2627,1.0,0.0
2024-07-22,24.11,24.12,24.09,24.09,926,1.0,0.0
2024-07-23,24.12,24.12,24.12,24.12,478,1.0,0.0
2024-07-24,24.17,24.17,24.17,24.17,705,1.0,0.0
2024-07-25,24.12,24.12,24.11,24.11,774,1.0,0.0
2024-07-26,24.12,24.12,24.06,24.06,11563,1.0,0.0
2024-07-29,24.06,24.09,24.04,24.09,4240,1.0,0.0
2024-07-30,24.1,24.1,24.05,24.05,3250,1.0,0.0
2024-07-31,24.07,24.12,24.05,24.12,3401,1.0,0.0
2024-08-01,24.07,24.24,24.0,24.19,4236,1.0,0.0
2024-08-02,24.1999,24.23,24.1711,24.23,5624,1.0,0.0
2024-08-05,24.2399,24.2399,24.1138,24.2,3681,1.0,0.0
2024-08-06,24.18,24.24,24.0601,24.215,6030,1.0,0.0
2024-08-07,24.24,24.39,24.116,24.22,9245,1.0,0.0
2024-08-08,24.3,24.37,24.19,24.3499,206326,1.0,0.0
2024-08-09,24.35,24.39,24.31,24.389,9004,1.0,0.0
2024-08-12,26.02,26.02,24.31,24.449,12106,1.0,0.0
2024-08-13,24.4,24.4,24.3,24.38,3755,1.0,0.0
2024-08-14,24.4,24.45,24.33,24.33,3404,1.0,0.0
2024-08-15,24.4,24.4,24.39,24.39,2281,1.0,0.0
2024-08-16,24.3109,24.4,24.3109,24.39,2058,1.0,0.0
2024-08-19,24.4,24.4,24.34,24.39,1649,1.0,0.0
2024-08-20,24.31,24.4,24.31,24.4,2922,1.0,0.0
2024-08-21,24.3,24.39,24.3,24.39,1468,1.0,0.0
2024-08-22,24.3799,24.45,24.319,24.45,3215,1.0,0.0
2024-08-23,24.4,24.4,24.38,24.38,1351,1.0,0.0
2024-08-26,24.33,24.42,24.33,24.37,7264,1.0,0.0
2024-08-27,24.39,24.39,24.375,24.375,957,1.0,0.0
2024-08-28,24.3,24.4,24.3,24.3999,1412,1.0,0.0
2024-08-29,24.36,24.4,24.36,24.4,1789,1.0,0.0
2024-08-30,24.37,24.45,24.37,24.37,12653,1.0,0.0
2024-09-03,24.45,24.6,24.3,24.4,4817,1.0,0.0
2024-09-04,24.4,24.45,24.4,24.45,170528,1.0,0.0
2024-09-05,24.3999,24.47,24.36,24.45,2944,1.0,0.0
2024-09-06,24.4,24.4,24.34,24.34,926,1.0,0.0
2024-09-09,24.31,24.4,24.28,24.28,7524,1.0,0.0
2024-09-10,24.35,24.39,24.29,24.36,3064,1.0,0.0
2024-09-11,24.445,24.48,24.445,24.47,2457,1.0,0.0
2024-09-12,24.48,24.49,24.48,24.49,1324,1.0,0.0
2024-09-13,24.49,24.535,24.49,24.535,3429,1.0,0.0
2024-09-16,24.55,24.56,24.5001,24.55,7544,1.0,0.0
2024-09-17,24.6,24.6,24.6,24.6,555,1.0,0.0
2024-09-18,24.63,24.64,24.5901,24.62,1314,1.0,0.0
2024-09-19,24.68,24.68,24.6,24.6,7314,1.0,0.0
2024-09-20,24.69,24.69,24.61,24.61,1015,1.0,0.0
2024-09-23,24.6,24.6,24.6,24.6,680,1.0,0.0
2024-09-24,24.69,24.69,24.6,24.6345,8269,1.0,0.0
2024-09-25,24.63,24.65,24.6178,24.63,14115,1.0,0.0
2024-09-26,24.65,24.67,24.64,24.65,3568,1.0,0.0
2024-09-27,24.645,24.65,24.645,24.6452,11324,1.0,0.0
2024-09-30,24.64,24.64,24.6,24.61,37638,1.0,0.0
2024-10-01,24.69,24.7,24.63,24.66,9266,1.0,0.0
2024-10-02,24.6401,24.6401,24.64,24.64,1718,1.0,0.0
2024-10-03,24.64,24.64,24.64,24.64,177,1.0,0.0
2024-10-04,24.68,24.69,24.65,24.65,1415,1.0,0.0
2024-10-07,24.65,24.65,24.64,24.64,6918,1.0,0.0
2024-10-08,24.67,24.67,24.65,24.67,1167,1.0,0.0
2024-10-09,24.67,24.67,24.65,24.65,1756,1.0,0.0
2024-10-10,24.675,24.675,24.66,24.66,683,1.0,0.0
2024-10-11,24.67,24.67,24.67,24.67,186,1.0,0.0
2024-10-14,24.67,24.7,24.67,24.7,2708,1.0,0.0
2024-10-15,24.59,24.59,24.45,24.51,18087,1.0,0.34375
2024-10-16,24.5247,24.5247,24.5247,24.5247,884,1.0,0.0
2024-10-17,24.57,24.57,24.41,24.41,1891,1.0,0.0
2024-10-18,24.41,24.41,24.41,24.41,482,1.0,0.0
2024-10-21,24.45,24.59,24.42,24.42,1714,1.0,0.0
2024-10-22,24.45,24.45,24.45,24.45,773,1.0,0.0
2024-10-23,24.57,24.57,24.4,24.4,2318,1.0,0.0
2024-10-24,24.4757,24.4757,24.47,24.47,341,1.0,0.0
2024-10-25,24.5,24.59,24.5,24.55,1422,1.0,0.0
2024-10-28,24.4,24.6,24.4,24.5999,1834,1.0,0.0
2024-10-29,24.6,24.6,24.5,24.51,2576,1.0,0.0
2024-10-30,24.42,24.6,24.42,24.6,657,1.0,0.0
2024-10-31,24.6,24.6,24.5999,24.6,2193,1.0,0.0
2024-11-01,24.6,24.6,24.6,24.6,20,1.0,0.0
2024-11-04,24.6,24.6,24.4801,24.55,1136,1.0,0.0
2024-11-05,24.5,24.5614,24.5,24.555,3443,1.0,0.0
2024-11-06,24.56,24.56,24.5224,24.5224,1027,1.0,0.0
2024-11-07,24.53,24.7,24.53,24.7,100036,1.0,0.0
2024-11-08,24.65,24.73,24.65,24.72,1388,1.0,0.0
2024-11-11,24.72,24.72,24.72,24.72,199,1.0,0.0
2024-11-12,24.735,24.735,24.735,24.735,248,1.0,0.0
2024-11-13,24.735,24.735,24.735,24.735,9,1.0,0.0
2024-11-14,24.735,24.75,24.7,24.7,899,1.0,0.0
2024-11-15,24.7,24.7063,24.7,24.7063,728,1.0,0.0
2024-11-18,24.71,24.71,24.71,24.71,208,1.0,0.0
2024-11-19,24.6601,24.6654,24.53,24.5335,2556,1.0,0.0
2024-11-20,24.6789,24.6789,24.6789,24.6789,500,1.0,0.0
2024-11-21,24.8,24.8,24.8,24.8,2056,1.0,0.0
2024-11-22,24.8,24.8,24.8,24.8,256,1.0,0.0
2024-11-25,24.7,24.8,24.7,24.8,170252,1.0,0.0
2024-11-26,24.8,24.8,24.8,24.8,100,1.0,0.0
2024-11-27,24.8,24.8,24.8,24.8,117,1.0,0.0
2024-11-29,24.789,24.98,24.786,24.98,6337,1.0,0.0
2024-12-02,24.98,24.98,24.98,24.98,177,1.0,0.0
2024-12-03,24.83,24.83,24.83,24.83,109,1.0,0.0
2024-12-04,24.8,24.8,24.8,24.8,778,1.0,0.0
2024-12-05,24.675,24.8799,24.66,24.8799,1312,1.0,0.0
2024-12-06,24.7693,24.7693,24.7693,24.7693,481,1.0,0.0
2024-12-09,24.8,24.8,24.75,24.75,1103,1.0,0.0
2024-12-10,24.7611,24.7611,24.75,24.75,1217,1.0,0.0
2024-12-11,24.75,24.75,24.75,24.75,190,1.0,0.0
2024-12-12,24.75,24.75,24.68,24.68,1078,1.0,0.0
2024-12-13,24.7714,24.7714,24.66,24.66,1022,1.0,0.0
2024-12-16,24.69,24.7,24.69,24.7,3079,1.0,0.0
2024-12-17,24.67,24.68,24.67,24.68,1524,1.0,0.0
2024-12-18,24.79,24.8561,24.7613,24.7613,1686,1.0,0.0
2024-12-19,24.8,24.85,24.7164,24.7823,2522,1.0,0.0
2024-12-20,24.7325,24.7325,24.7325,24.7325,355,1.0,0.0
2024-12-23,24.67,24.81,24.67,24.7,1030,1.0,0.0
2024-12-24,24.7,24.7,24.66,24.66,1418,1.0,0.0
2024-12-26,24.8025,24.8025,24.8025,24.8025,200,1.0,0.0
2024-12-27,24.7,24.7,24.63,24.6441,5094,1.0,0.0
2024-12-30,24.65,24.81,24.6,24.6,4466,1.0,0.0
2024-12-31,24.725,25.25,24.62,25.21,22178,1.0,0.0
2025-01-02,24.98,25.02,24.8001,24.82,5055,1.0,0.0
2025-01-03,24.9514,25.0,24.9514,25.0,1114,1.0,0.0
2025-01-06,24.9,24.938,24.9,24.938,607,1.0,0.0
2025-01-07,24.7501,24.8,24.7501,24.7999,3781,1.0,0.0
2025-01-08,24.8101,24.82,24.81,24.82,1947,1.0,0.0
2025-01-10,24.82,24.82,24.77,24.77,1536,1.0,0.0
2025-01-13,24.78,24.81,24.78,24.81,687,1.0,0.0
2025-01-14,24.97,24.97,24.97,24.97,564,1.0,0.0
2025-01-15,24.63,24.63,24.6299,24.63,4126,1.0,0.34375
2025-01-16,24.75,24.75,24.75,24.75,646,1.0,0.0
2025-01-17,24.7499,24.7499,24.7,24.72,482,1.0,0.0
2025-01-21,24.53,24.71,24.53,24.69,1939,1.0,0.0
2025-01-22,24.69,24.69,24.69,24.69,596,1.0,0.0
2025-01-23,24.8,24.8,24.79,24.79,1188,1.0,0.0
2025-01-24,25.0,25.0,25.0,25.0,912,1.0,0.0
2025-01-27,25.0,25.0,25.0,25.0,404,1.0,0.0
2025-01-28,24.9,24.93,24.9,24.9,1235,1.0,0.0
2025-01-29,24.9,24.9,24.9,24.9,628,1.0,0.0
2025-01-30,24.7,24.7682,24.7,24.75,2602,1.0,0.0
2025-01-31,24.62,24.8,24.41,24.41,54516,1.0,0.0
2025-02-03,24.54,24.54,24.42,24.53,7209,1.0,0.0
2025-02-04,24.56,24.6199,24.52,24.6199,2020,1.0,0.0
2025-02-05,24.63,24.8299,24.63,24.75,5715,1.0,0.0
2025-02-06,24.84,24.88,24.76,24.8,2591,1.0,0.0
2025-02-07,24.88,24.88,24.81,24.81,1760,1.0,0.0
2025-02-10,24.66,24.86,24.66,24.765,1726,1.0,0.0
2025-02-11,24.78,24.84,24.6501,24.76,2477,1.0,0.0
2025-02-12,24.75,24.81,24.75,24.75,1759,1.0,0.0
2025-02-13,24.85,24.88,24.67,24.88,2764,1.0,0.0
2025-02-14,24.75,24.8,24.75,24.8,1776,1.0,0.0
2025-02-18,24.79,24.79,24.71,24.7585,2649,1.0,0.0
2025-02-19,24.7,24.75,24.67,24.67,5672,1.0,0.0
2025-02-20,24.685,24.71,24.65,24.71,15565,1.0,0.0
2025-02-21,24.71,24.79,24.7047,24.775,1889,1.0,0.0
2025-02-24,24.75,24.815,24.75,24.815,3687,1.0,0.0
2025-02-25,24.815,24.815,24.815,24.815,205,1.0,0.0
2025-02-26,24.82,24.861,24.76,24.861,1799,1.0,0.0
2025-02-27,24.825,24.825,24.8,24.8,1704,1.0,0.0
2025-02-28,24.9288,24.97,24.92,24.97,2200,1.0,0.0
2025-03-03,24.76,24.76,24.76,24.76,493,1.0,0.0
2025-03-04,24.76,24.8069,24.76,24.76,420,1.0,0.0
2025-03-05,24.7698,24.8,24.67,24.685,4060,1.0,0.0
2025-03-06,24.75,24.75,24.75,24.75,530,1.0,0.0
2025-03-07,24.75,24.75,24.75,24.75,343,1.0,0.0
2025-03-10,24.68,24.68,24.68,24.68,1063,1.0,0.0
2025-03-11,24.84,24.84,24.68,24.68,5954,1.0,0.0
2025-03-12,24.8795,24.8924,24.8736,24.8924,1020,1.0,0.0
2025-03-13,24.79,24.8,24.79,24.8,1802,1.0,0.0
2025-03-14,24.7849,24.7849,24.67,24.72,836,1.0,0.0
2025-03-17,24.79,24.8,24.79,24.8,788,1.0,0.0
2025-03-18,24.8,24.8,24.8,24.8,36,1.0,0.0
2025-03-19,24.9,24.97,24.9,24.9299,4700,1.0,0.0
2025-03-20,24.96,24.96,24.96,24.96,136,1.0,0.0
2025-03-21,24.99,24.99,24.96,24.96,2323,1.0,0.0
2025-03-24,24.96,24.96,24.96,24.96,84,1.0,0.0
2025-03-25,24.95,24.95,24.9,24.9499,454,1.0,0.0
2025-03-26,24.9061,24.9061,24.9,24.9,1462,1.0,0.0
2025-03-27,24.9,24.9,24.76,24.76,648,1.0,0.0
2025-03-28,24.76,24.76,24.76,24.76,226,1.0,0.0
2025-03-31,24.79,24.79,24.79,24.79,1750,1.0,0.0
2025-04-01,24.85,24.96,24.8,24.96,241342,1.0,0.0
2025-04-02,24.9381,24.945,24.9381,24.945,808,1.0,0.0
2025-04-03,24.965,24.97,24.84,24.8501,12451,1.0,0.0
2025-04-04,24.85,24.94,24.8,24.8,1464,1.0,0.0
2025-04-07,24.8,24.85,24.7,24.7,12700,1.0,0.0
2025-04-08,24.77,24.77,24.71,24.71,1291,1.0,0.0
2025-04-09,24.76,24.76,24.7123,24.7599,6015,1.0,0.0
2025-04-10,24.73,24.8,24.7,24.7902,6025,1.0,0.0
2025-04-11,24.752,24.8,24.7501,24.7804,2667,1.0,0.0
2025-04-14,24.7697,24.8,24.7688,24.7688,1127,1.0,0.0
2025-04-15,24.79,24.79,24.7465,24.7465,1261,1.0,0.34375
2025-04-16,24.7465,24.7465,24.7465,24.7465,153,1.0,0.0
2025-04-17,24.52,24.52,24.52,24.52,161,1.0,0.0
2025-04-21,24.5,24.5,24.4776,24.5,6540,1.0,0.0
2025-04-22,24.5,24.58,24.4999,24.58,2970,1.0,0.0
2025-04-23,24.62,24.738,24.5561,24.7,2173,1.0,0.0
2025-04-24,24.74,24.74,24.55,24.56,4164,1.0,0.0
2025-04-25,24.7,24.7,24.6854,24.6854,885,1.0,0.0
2025-04-28,24.5,24.68,24.5,24.62,1256,1.0,0.0
2025-04-29,24.62,24.65,24.55,24.55,4813,1.0,0.0
2025-04-30,24.55,24.65,24.5,24.65,3011,1.0,0.0
2025-05-01,24.6376,24.6746,24.6376,24.6746,1302,1.0,0.0
2025-05-02,24.6825,24.6825,24.64,24.64,615,1.0,0.0
2025-05-05,24.64,24.64,24.64,24.64,167,1.0,0.0
2025-05-06,24.6762,24.6762,24.67,24.67,634,1.0,0.0
2025-05-07,24.61,24.65,24.61,24.65,658,1.0,0.0
2025-05-08,24.6,24.6,24.49,24.53,4402,1.0,0.0
2025-05-09,24.55,24.66,24.55,24.6085,2160,1.0,0.0
2025-05-12,24.72,24.72,24.72,24.72,279,1.0,0.0
2025-05-13,24.58,24.7,24.58,24.675,3682,1.0,0.0
2025-05-14,24.68,24.68,24.65,24.68,521,1.0,0.0
2025-05-15,24.61,24.61,24.59,24.59,1944,1.0,0.0
2025-05-16,24.65,24.65,24.65,24.65,647,1.0,0.0
2025-05-19,24.68,24.68,24.6273,24.63,3162,1.0,0.0
2025-05-20,24.56,24.56,24.56,24.56,1056,1.0,0.0
2025-05-21,24.6662,24.6662,24.6662,24.6662,703,1.0,0.0
2025-05-22,24.6662,24.6662,24.6662,24.6662,171,1.0,0.0
2025-05-23,24.6606,24.6606,24.6606,24.6606,175,1.0,0.0
2025-05-27,24.63,24.66,24.62,24.66,1162,1.0,0.0
2025-05-28,24.67,24.67,24.6584,24.6584,1510,1.0,0.0
2025-05-29,24.6712,24.6712,24.6712,24.6712,314,1.0,0.0
2025-05-30,24.66,24.6617,24.62,24.62,29141,1.0,0.0
2025-06-02,24.6214,24.6524,24.54,24.636,9942,1.0,0.0
2025-06-03,24.68,24.71,24.55,24.5938,19011,1.0,0.0
2025-06-04,24.6573,24.6573,24.655,24.655,1649,1.0,0.0
2025-06-05,24.655,24.655,24.655,24.655,79,1.0,0.0
2025-06-06,24.8,24.8,24.62,24.7077,1175,1.0,0.0
2025-06-09,24.78,24.78,24.78,24.78,287,1.0,0.0
2025-06-10,24.78,24.78,24.78,24.78,187,1.0,0.0
2025-06-11,24.7,24.7787,24.65,24.7787,1936,1.0,0.0
2025-06-12,24.7787,24.7787,24.7787,24.7787,61,1.0,0.0
2025-06-13,24.7,24.7,24.7,24.7,473,1.0,0.0
2025-06-16,24.79,24.79,24.79,24.79,968,1.0,0.0
2025-06-17,24.79,24.79,24.79,24.79,283,1.0,0.0
2025-06-18,24.8,24.8,24.8,24.8,327,1.0,0.0
2025-06-20,24.7771,24.8,24.77,24.7947,1445,1.0,0.0
2025-06-23,24.8,24.8457,24.78,24.8457,10765,1.0,0.0
2025-06-24,24.8101,24.8101,24.8101,24.8101,426,1.0,0.0
2025-06-25,24.85,24.85,24.82,24.84,1221,1.0,0.0
2025-06-26,24.82,24.87,24.82,24.83,2809,1.0,0.0
2025-06-27,24.83,24.83,24.83,24.83,44,1.0,0.0
2025-06-30,24.9,24.9,24.83,24.83,47491,1.0,0.0
2025-07-01,24.9,24.9,24.9,24.9,1617,1.0,0.0
2025-07-02,24.97,24.97,24.91,24.91,3761,1.0,0.0
2025-07-03,24.91,24.91,24.91,24.91,188,1.0,0.0
2025-07-07,24.97,24.97,24.9634,24.9634,300,1.0,0.0
2025-07-08,24.9899,24.9899,24.9772,24.9772,371,1.0,0.0
2025-07-09,25.0,25.0145,24.975,25.0145,2244,1.0,0.0
2025-07-10,25.0394,25.0394,25.0,25.0,1091,1.0,0.0
2025-07-11,25.002,25.002,25.0,25.0,882,1.0,0.0
2025-07-14,25.0594,25.06,24.96,24.96,5213,1.0,0.0
2025-07-15,24.8,24.81,24.66,24.7897,3708,1.0,0.34375
2025-07-16,24.783,24.8099,24.7,24.79,2597,1.0,0.0
2025-07-17,24.796,24.796,24.786,24.786,390,1.0,0.0
2025-07-18,24.75,24.75,24.75,24.75,432,1.0,0.0
2025-07-21,24.82,24.82,24.75,24.75,4511,1.0,0.0
2025-07-22,24.75,24.79,24.7434,24.79,6216,1.0,0.0
2025-07-23,24.79,24.79,24.79,24.79,19,1.0,0.0
2025-07-24,24.75,24.8134,24.75,24.796,1536,1.0,0.0
2025-07-25,24.83,24.83,24.78,24.8,1613,1.0,0.0
2025-07-28,24.79,24.79,24.75,24.7701,1321,1.0,0.0
2025-07-29,24.8168,24.83,24.8168,24.83,735,1.0,0.0
2025-07-30,24.83,24.855,24.6301,24.79,5166,1.0,0.0
2025-07-31,24.77,24.83,24.7,24.7,2915,1.0,0.0
2025-08-01,24.8999,24.8999,24.7859,24.8904,1793,1.0,0.0
2025-08-04,24.83,24.83,24.7804,24.82,3432,1.0,0.0
2025-08-05,24.85,24.9099,24.825,24.825,418,1.0,0.0
2025-08-06,24.85,24.85,24.82,24.85,3167,1.0,0.0
2025-08-07,24.82,24.82,24.82,24.82,744,1.0,0.0
2025-08-08,24.85,24.85,24.84,24.84,2477,1.0,0.0
2025-08-11,24.84,24.84,24.84,24.84,254,1.0,0.0
2025-08-12,24.8774,24.8774,24.8774,24.8774,405,1.0,0.0
2025-08-13,24.88,24.94,24.88,24.89,9999,1.0,0.0
2025-08-14,24.895,24.9499,24.88,24.9499,7238,1.0,0.0
2025-08-15,24.88,24.88,24.88,24.88,2212,1.0,0.0
2025-08-18,24.88,24.9,24.88,24.9,4397,1.0,0.0
2025-08-19,24.94,24.96,24.94,24.96,755,1.0,0.0
2025-08-20,24.94,24.94,24.9,24.9,820,1.0,0.0
2025-08-21,24.9,24.9159,24.89,24.89,4941,1.0,0.0
2025-08-22,24.92,24.9304,24.92,24.9304,949,1.0,0.0
2025-08-25,24.9101,24.93,24.91,24.93,4946,1.0,0.0
2025-08-26,24.9564,24.9564,24.93,24.93,1181,1.0,0.0
2025-08-27,24.93,24.97,24.93,24.97,1589,1.0,0.0
2025-08-28,24.9513,24.9513,24.9513,24.9513,345,1.0,0.0
2025-08-29,24.95,24.9579,24.9,24.9,9201,1.0,0.0
2025-09-02,24.95,24.977,24.95,24.95,540,1.0,0.0
2025-09-03,24.935,25.0,24.935,24.983,6007,1.0,0.0
2025-09-04,24.9507,24.9662,24.9507,24.965,1466,1.0,0.0
