date,open,high,low,close,volume,split,dividend
2024-06-03,56.25,56.25,53.75,56.25,1880,1.0,0.0
2024-06-04,57.25,65.0,56.5,65.0,5772,1.0,0.0
2024-06-05,66.0,66.75,57.75,60.75,4244,1.0,0.0
2024-06-06,63.0,64.5,58.75,62.0,3208,1.0,0.0
2024-06-07,62.5,63.75,58.25,58.75,2604,1.0,0.0
2024-06-10,60.0,60.0,54.75,55.25,1408,1.0,0.0
2024-06-11,53.5,54.25,51.5,54.25,1420,1.0,0.0
2024-06-12,53.5,58.25,53.5,54.75,3032,1.0,0.0
2024-06-13,55.0,55.0,51.5,53.25,840,1.0,0.0
2024-06-14,50.75,56.25,48.5,50.0,2772,1.0,0.0
2024-06-17,49.25,50.25,48.75,50.0,724,1.0,0.0
2024-06-18,50.75,50.75,45.75,48.25,2768,1.0,0.0
2024-06-20,47.0,49.75,45.75,46.5,1016,1.0,0.0
2024-06-21,45.0,46.5,44.75,45.0,2188,1.0,0.0
2024-06-24,45.5,45.5,39.0,40.0,3196,1.0,0.0
2024-06-25,41.5,41.5,40.0,41.0,388,1.0,0.0
2024-06-26,41.0,41.25,33.5,36.75,3820,1.0,0.0
2024-06-27,37.5,39.25,35.75,36.5,672,1.0,0.0
2024-06-28,36.75,37.25,35.5,36.75,832,1.0,0.0
2024-07-01,36.25,41.25,36.25,37.5,1500,1.0,0.0
2024-07-02,39.25,39.25,37.5,38.75,724,1.0,0.0
2024-07-03,38.75,38.75,38.25,38.25,56,1.0,0.0
2024-07-05,38.25,38.75,37.75,38.75,384,1.0,0.0
2024-07-08,39.5,39.75,36.25,37.5,1440,1.0,0.0
2024-07-09,36.75,38.75,35.0,38.5,1128,1.0,0.0
2024-07-10,40.0,47.5,37.75,47.5,5540,1.0,0.0
2024-07-11,47.5,47.75,44.0,46.0,1580,1.0,0.0
2024-07-12,46.0,48.75,43.5,45.5,1696,1.0,0.0
2024-07-15,45.75,49.25,44.0,44.25,2692,1.0,0.0
2024-07-16,45.25,48.0,44.0,47.25,1528,1.0,0.0
2024-07-17,49.25,51.75,43.0,45.0,7600,1.0,0.0
2024-07-18,44.25,44.5,42.5,43.25,2020,1.0,0.0
2024-07-19,43.0,48.0,43.0,43.5,6808,1.0,0.0
2024-07-22,43.5,45.75,40.5,43.75,4132,1.0,0.0
2024-07-23,43.25,45.0,42.25,43.75,3016,1.0,0.0
2024-07-24,44.5,45.75,42.0,43.75,5548,1.0,0.0
2024-07-25,44.25,45.25,43.0,45.0,1400,1.0,0.0
2024-07-26,44.25,49.0,43.75,46.75,3952,1.0,0.0
2024-07-29,46.0,46.25,45.25,46.25,1996,1.0,0.0
2024-07-30,46.75,48.0,44.25,45.75,3284,1.0,0.0
2024-07-31,45.5,46.25,43.75,45.0,604,1.0,0.0
2024-08-01,44.5,46.0,43.25,45.0,1668,1.0,0.0
2024-08-02,43.75,44.75,42.0,43.25,1276,1.0,0.0
2024-08-05,38.75,43.25,35.0,39.25,3144,1.0,0.0
2024-08-06,42.0,43.75,39.0,40.0,4208,1.0,0.0
2024-08-07,43.0,43.0,38.25,39.25,1744,1.0,0.0
2024-08-08,41.25,41.5,36.25,38.75,4908,1.0,0.0
2024-08-09,39.0,39.75,34.25,36.25,2988,1.0,0.0
2024-08-12,35.5,36.75,31.75,35.25,2320,1.0,0.0
2024-08-13,36.25,37.25,34.5,37.25,3548,1.0,0.0
2024-08-14,36.75,37.25,35.5,35.5,1568,1.0,0.0
