date,open,high,low,close,volume,split,dividend
2024-06-03,11.04,11.04,11.04,11.04,3,1.0,0.0
2024-06-04,11.04,11.04,11.04,11.04,56,1.0,0.0
2024-06-05,11.04,11.04,11.04,11.04,0,1.0,0.0
2024-06-06,11.04,11.04,11.04,11.04,49,1.0,0.0
2024-06-07,11.04,11.04,11.04,11.04,0,1.0,0.0
2024-06-10,11.04,11.04,11.04,11.04,3,1.0,0.0
2024-06-11,11.04,11.04,11.04,11.04,2,1.0,0.0
2024-06-12,10.98,11.02,10.98,11.01,3116,1.0,0.0
2024-06-13,11.02,11.02,11.02,11.02,203,1.0,0.0
2024-06-14,11.02,11.02,11.02,11.02,3,1.0,0.0
2024-06-17,11.04,11.04,11.0,11.02,5799,1.0,0.0
2024-06-18,11.03,11.03,11.03,11.03,100,1.0,0.0
2024-06-20,11.04,11.04,11.04,11.04,120,1.0,0.0
2024-06-21,11.04,11.04,11.04,11.04,0,1.0,0.0
2024-06-24,11.04,11.04,11.04,11.04,2,1.0,0.0
2024-06-25,11.04,11.04,11.04,11.04,27,1.0,0.0
2024-06-26,11.04,11.04,11.04,11.04,2,1.0,0.0
2024-06-27,11.04,11.05,11.0,11.05,5812,1.0,0.0
2024-06-28,11.05,11.05,11.05,11.05,0,1.0,0.0
2024-07-01,11.05,11.05,11.05,11.05,1153,1.0,0.0
2024-07-02,11.09,11.09,11.05,11.09,57892,1.0,0.0
2024-07-03,11.09,11.09,11.09,11.09,0,1.0,0.0
2024-07-05,11.19,11.19,11.07,11.09,7322,1.0,0.0
2024-07-08,11.1,11.1,11.1,11.1,109,1.0,0.0
2024-07-09,11.1,11.1,11.1,11.1,0,1.0,0.0
2024-07-10,11.1,11.1,11.1,11.1,34,1.0,0.0
2024-07-11,11.1,11.1,11.1,11.1,0,1.0,0.0
2024-07-12,11.1,11.1,11.1,11.1,2,1.0,0.0
2024-07-15,11.09,11.1,11.09,11.1,5493,1.0,0.0
2024-07-16,11.09,11.11,11.09,11.1,10094,1.0,0.0
2024-07-17,11.1,11.1,11.1,11.1,1,1.0,0.0
2024-07-18,11.15,11.15,11.15,11.15,122,1.0,0.0
2024-07-19,11.1,11.13,11.1,11.1,40954,1.0,0.0
2024-07-22,11.14,11.14,11.08,11.13,6258,1.0,0.0
2024-07-23,11.13,11.13,11.13,11.13,2,1.0,0.0
2024-07-24,11.13,11.13,11.13,11.13,1,1.0,0.0
2024-07-25,11.13,11.13,11.13,11.13,0,1.0,0.0
2024-07-26,11.13,11.13,11.13,11.13,0,1.0,0.0
2024-07-29,11.13,11.13,11.13,11.13,0,1.0,0.0
2024-07-30,11.13,11.13,11.13,11.13,5,1.0,0.0
2024-07-31,11.14,11.14,11.1,11.14,3758,1.0,0.0
2024-08-01,11.1,11.14,11.1,11.14,1360,1.0,0.0
2024-08-02,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-05,11.15,11.15,11.15,11.15,557,1.0,0.0
2024-08-06,11.13,11.13,11.13,11.13,23139,1.0,0.0
2024-08-07,11.15,11.15,11.14,11.14,1273,1.0,0.0
2024-08-08,11.14,11.14,11.14,11.14,1985,1.0,0.0
2024-08-09,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-12,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-13,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-14,11.14,11.14,11.14,11.14,1,1.0,0.0
2024-08-15,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-16,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-19,11.14,11.14,11.14,11.14,0,1.0,0.0
2024-08-20,11.15,11.19,11.15,11.16,6721,1.0,0.0
2024-08-21,11.16,11.16,11.16,11.16,621,1.0,0.0
