date,open,high,low,close,volume,split,dividend
2024-06-03,8.25,8.569999694824219,7.949999809265137,8.25,170500,1.0,0.0
2024-06-04,8.25,8.329999923706055,7.849999904632568,7.849999904632568,127900,1.0,0.0
2024-06-05,7.829999923706055,7.869999885559082,7.710000038146973,7.769999980926514,100600,1.0,0.0
2024-06-06,7.800000190734863,8.210000038146973,7.5,7.71999979019165,101000,1.0,0.0
2024-06-07,7.590000152587891,8.53499984741211,7.590000152587891,8.0600004196167,178400,1.0,0.0
2024-06-10,7.699999809265137,7.929999828338623,7.519999980926514,7.820000171661377,394600,1.0,0.0
2024-06-11,7.75,7.920000076293945,7.400000095367432,7.510000228881836,203200,1.0,0.0
2024-06-12,7.829999923706055,7.980000019073486,7.46999979019165,7.929999828338623,167200,1.0,0.0
2024-06-13,7.940000057220459,8.710000038146973,7.929999828338623,8.510000228881836,238800,1.0,0.0
2024-06-14,8.3100004196167,8.4399995803833,7.809999942779541,7.900000095367432,98000,1.0,0.0
2024-06-17,7.809999942779541,8.020000457763672,7.449999809265137,7.46999979019165,114300,1.0,0.0
2024-06-18,7.440000057220459,7.440000057220459,6.699999809265137,6.800000190734863,357900,1.0,0.0
2024-06-20,6.71999979019165,6.929999828338623,6.190000057220459,6.300000190734863,507900,1.0,0.0
2024-06-21,7.150000095367432,7.3979997634887695,6.110000133514404,6.460000038146973,2992300,1.0,0.0
2024-06-24,6.670000076293945,6.724999904632568,6.429999828338623,6.619999885559082,666800,1.0,0.0
2024-06-25,6.599999904632568,6.599999904632568,5.610000133514404,5.800000190734863,2066600,1.0,0.0
2024-06-26,5.800000190734863,5.829999923706055,5.210000038146973,5.699999809265137,939000,1.0,0.0
2024-06-27,5.699999809265137,6.079999923706055,5.539999961853027,5.739999771118164,626900,1.0,0.0
2024-06-28,5.769999980926514,6.03000020980835,5.539999961853027,5.670000076293945,4378100,1.0,0.0
2024-07-01,5.940000057220459,6.389999866485596,5.75,6.269999980926514,1017300,1.0,0.0
2024-07-02,6.179999828338623,6.340000152587891,5.735000133514404,5.960000038146973,663700,1.0,0.0
2024-07-03,5.900000095367432,6.210000038146973,5.869999885559082,5.96999979019165,354700,1.0,0.0
2024-07-05,5.980000019073486,5.989999771118164,5.769999980926514,5.869999885559082,331400,1.0,0.0
2024-07-08,5.900000095367432,6.760000228881836,5.880000114440918,6.75,686900,1.0,0.0
2024-07-09,6.71999979019165,6.860000133514404,6.550000190734863,6.659999847412109,274800,1.0,0.0
2024-07-10,6.630000114440918,7.039999961853027,6.630000114440918,7.010000228881836,205500,1.0,0.0
2024-07-11,7.019999980926514,8.835000038146973,7.019999980926514,8.1899995803833,1079900,1.0,0.0
2024-07-12,8.25,8.739999771118164,7.75,7.909999847412109,455200,1.0,0.0
2024-07-15,8.75,9.373000144958496,8.4399995803833,8.5600004196167,777300,1.0,0.0
2024-07-16,8.920000076293945,10.260000228881836,8.920000076293945,9.640000343322754,1272500,1.0,0.0
2024-07-17,9.520000457763672,9.779999732971191,8.520000457763672,8.90999984741211,416400,1.0,0.0
2024-07-18,8.789999961853027,9.140000343322754,7.800000190734863,7.800000190734863,297300,1.0,0.0
2024-07-19,7.809999942779541,8.359999656677246,7.75,8.220000267028809,234900,1.0,0.0
2024-07-22,8.270000457763672,8.770000457763672,8.260000228881836,8.729999542236328,280600,1.0,0.0
2024-07-23,8.65999984741211,9.34000015258789,8.609999656677246,9.199999809265137,279600,1.0,0.0
2024-07-24,9.0,9.449999809265137,8.789999961853027,8.84000015258789,268100,1.0,0.0
2024-07-25,8.9399995803833,9.199999809265137,8.619999885559082,9.050000190734863,270500,1.0,0.0
2024-07-26,9.369999885559082,9.640000343322754,9.119999885559082,9.289999961853027,251000,1.0,0.0
2024-07-29,9.34000015258789,9.640000343322754,9.050000190734863,9.5,340800,1.0,0.0
2024-07-30,9.579999923706055,9.84000015258789,8.800000190734863,9.170000076293945,313000,1.0,0.0
2024-07-31,9.239999771118164,9.350000381469727,8.720000267028809,8.920000076293945,211700,1.0,0.0
2024-08-01,8.739999771118164,8.930000305175781,8.15999984741211,8.640000343322754,389000,1.0,0.0
2024-08-02,8.180000305175781,8.324999809265137,7.760000228881836,7.849999904632568,187900,1.0,0.0
2024-08-05,6.619999885559082,7.900000095367432,6.619999885559082,7.75,343400,1.0,0.0
2024-08-06,7.769999980926514,8.119999885559082,7.409999847412109,7.989999771118164,179200,1.0,0.0
2024-08-07,8.210000038146973,8.210000038146973,7.159999847412109,7.190000057220459,144400,1.0,0.0
2024-08-08,7.360000133514404,7.599999904632568,7.199999809265137,7.449999809265137,117600,1.0,0.0
2024-08-09,7.46999979019165,7.656000137329102,7.210000038146973,7.380000114440918,121800,1.0,0.0
2024-08-12,7.369999885559082,7.449999809265137,7.085000038146973,7.159999847412109,121300,1.0,0.0
2024-08-13,7.159999847412109,7.389999866485596,6.909999847412109,7.289999961853027,206600,1.0,0.0
2024-08-14,7.550000190734863,8.560999870300293,7.360000133514404,8.350000381469727,569300,1.0,0.0
2024-08-15,8.520000457763672,9.0,8.199999809265137,8.930000305175781,471800,1.0,0.0
2024-08-16,8.90999984741211,9.029999732971191,8.40999984741211,8.869999885559082,243000,1.0,0.0
2024-08-19,8.930000305175781,9.520000457763672,8.619999885559082,9.279999732971191,416600,1.0,0.0
2024-08-20,9.279999732971191,9.845999717712402,9.180000305175781,9.329999923706055,228800,1.0,0.0
2024-08-21,9.40999984741211,10.369999885559082,9.09000015258789,9.949999809265137,364600,1.0,0.0
2024-08-22,10.069999694824219,10.109999656677246,9.380000114440918,9.4399995803833,336000,1.0,0.0
2024-08-23,9.699999809265137,10.069999694824219,9.390000343322754,9.5600004196167,297000,1.0,0.0
2024-08-26,9.640000343322754,9.680000305175781,9.154999732971191,9.460000038146973,156400,1.0,0.0
2024-08-27,9.34000015258789,9.449999809265137,9.050000190734863,9.149999618530273,79200,1.0,0.0
2024-08-28,9.020000457763672,9.222999572753906,8.625,8.75,151200,1.0,0.0
2024-08-29,8.869999885559082,9.371000289916992,8.720000267028809,9.029999732971191,222600,1.0,0.0
2024-08-30,9.039999961853027,9.039999961853027,8.425000190734863,8.930000305175781,150300,1.0,0.0
2024-09-03,8.800000190734863,8.930000305175781,8.239999771118164,8.470000267028809,172800,1.0,0.0
2024-09-04,8.420000076293945,8.539999961853027,8.170000076293945,8.5,150400,1.0,0.0
2024-09-05,8.579999923706055,8.744999885559082,8.34000015258789,8.510000228881836,138800,1.0,0.0
2024-09-06,8.510000228881836,8.64799976348877,7.949999809265137,8.109999656677246,151200,1.0,0.0
2024-09-09,8.15999984741211,8.449999809265137,8.0,8.239999771118164,171300,1.0,0.0
2024-09-10,8.229999542236328,8.229999542236328,7.820000171661377,7.860000133514404,128300,1.0,0.0
2024-09-11,7.809999942779541,7.945000171661377,7.46999979019165,7.489999771118164,170500,1.0,0.0
2024-09-12,7.5,7.760000228881836,7.400000095367432,7.71999979019165,245200,1.0,0.0
2024-09-13,7.730000019073486,8.140000343322754,7.71999979019165,7.929999828338623,372300,1.0,0.0
2024-09-16,8.020000457763672,8.020000457763672,7.409999847412109,7.53000020980835,165700,1.0,0.0
2024-09-17,7.670000076293945,7.769999980926514,7.304999828338623,7.380000114440918,434500,1.0,0.0
2024-09-18,7.389999866485596,7.639999866485596,7.090000152587891,7.139999866485596,349300,1.0,0.0
2024-09-19,7.420000076293945,8.100000381469727,7.21999979019165,8.0,205700,1.0,0.0
2024-09-20,7.889999866485596,7.900000095367432,7.5,7.860000133514404,337700,1.0,0.0
2024-09-23,8.010000228881836,8.010000228881836,7.554999828338623,7.630000114440918,182700,1.0,0.0
2024-09-24,7.71999979019165,7.760000228881836,7.300000190734863,7.679999828338623,173400,1.0,0.0
2024-09-25,7.71999979019165,7.96999979019165,7.449999809265137,7.539999961853027,118100,1.0,0.0
2024-09-26,7.699999809265137,7.71999979019165,7.21999979019165,7.269999980926514,145600,1.0,0.0
2024-09-27,7.570000171661377,7.570000171661377,7.010000228881836,7.059999942779541,185100,1.0,0.0
2024-09-30,7.010000228881836,7.25,6.900000095367432,6.96999979019165,166700,1.0,0.0
2024-10-01,6.960000038146973,6.960000038146973,6.599999904632568,6.78000020980835,153900,1.0,0.0
2024-10-02,6.769999980926514,6.840000152587891,6.511000156402588,6.619999885559082,203800,1.0,0.0
2024-10-03,6.579999923706055,6.730000019073486,6.309999942779541,6.699999809265137,236600,1.0,0.0
2024-10-04,6.820000171661377,6.949999809265137,6.53000020980835,6.579999923706055,179100,1.0,0.0
2024-10-07,6.590000152587891,6.860000133514404,6.550000190734863,6.590000152587891,104200,1.0,0.0
2024-10-08,6.599999904632568,7.239999771118164,6.559999942779541,7.079999923706055,1174300,1.0,0.0
2024-10-09,7.119999885559082,7.210000038146973,6.75,6.909999847412109,133400,1.0,0.0
2024-10-10,6.809999942779541,6.809999942779541,6.019999980926514,6.050000190734863,346300,1.0,0.0
2024-10-11,6.039999961853027,6.130000114440918,5.760000228881836,6.050000190734863,583700,1.0,0.0
2024-10-14,6.059999942779541,6.285999774932861,5.820000171661377,6.110000133514404,227700,1.0,0.0
2024-10-15,6.119999885559082,6.769999980926514,5.960000038146973,6.630000114440918,727500,1.0,0.0
2024-10-16,6.519999980926514,7.039999961853027,6.519999980926514,7.010000228881836,219800,1.0,0.0
2024-10-17,6.96999979019165,6.96999979019165,6.255000114440918,6.320000171661377,286200,1.0,0.0
