date,open,high,low,close,volume,split,dividend
2026-02-27,9.84,9.84,9.81,9.81,5315,1.0,0.0
2026-03-02,9.84,9.85,9.8286,9.83,8193,1.0,0.0
2026-03-03,9.85,9.86,9.84,9.85,1151358,1.0,0.0
2026-03-04,9.85,9.85,9.82,9.82,11016,1.0,0.0
2026-03-05,9.85,9.85,9.81,9.81,39114,1.0,0.0
2026-03-06,9.8,9.84,9.7559,9.84,31032,1.0,0.0
2026-03-09,9.85,9.85,9.825,9.83,6057,1.0,0.0
2026-03-10,9.85,9.85,9.85,9.85,409,1.0,0.0
2026-03-11,9.86,9.86,9.85,9.85,315,1.0,0.0
2026-03-12,9.85,9.85,9.85,9.85,140,1.0,0.0
2026-03-13,9.95,9.95,9.95,9.95,101,1.0,0.0
2026-03-16,9.9,9.9,9.9,9.9,160,1.0,0.0
2026-03-17,9.85,9.85,9.85,9.85,174831,1.0,0.0
2026-03-18,9.85,9.85,9.85,9.85,121,1.0,0.0
2026-03-19,9.85,9.85,9.85,9.85,141,1.0,0.0
2026-03-20,9.84,9.85,9.835,9.84,5405,1.0,0.0
2026-03-23,9.85,9.85,9.825,9.83,100222,1.0,0.0
2026-03-24,9.85,9.85,9.83,9.83,41604,1.0,0.0
2026-03-25,9.83,9.95,9.825,9.825,9979,1.0,0.0
2026-03-26,9.83,9.83,9.82,9.83,51716,1.0,0.0
2026-03-27,9.83,9.83,9.82,9.82,1100,1.0,0.0
2026-03-30,9.83,9.83,9.82,9.82,7837,1.0,0.0
2026-03-31,9.83,9.83,9.83,9.83,1022,1.0,0.0
2026-04-01,9.83,9.83,9.83,9.83,2241,1.0,0.0
2026-04-02,9.83,9.83,9.83,9.83,2319,1.0,0.0
2026-04-06,9.83,9.83,9.83,9.83,0,1.0,0.0
2026-04-07,9.83,9.83,9.83,9.83,20690,1.0,0.0
2026-04-08,9.83,9.83,9.825,9.83,67824,1.0,0.0
2026-04-09,9.83,9.83,9.83,9.83,0,1.0,0.0
2026-04-10,9.83,9.84,9.83,9.84,4932,1.0,0.0
2026-04-13,9.84,9.84,9.84,9.84,0,1.0,0.0
2026-04-14,9.86,9.86,9.86,9.86,104,1.0,0.0
2026-04-15,9.86,9.86,9.86,9.86,351,1.0,0.0
2026-04-16,9.86,9.86,9.855,9.855,4302,1.0,0.0
2026-04-17,9.865,9.88,9.86,9.88,64151,1.0,0.0
2026-04-20,9.885,9.885,9.88,9.88,3000,1.0,0.0
2026-04-21,9.88,9.88,9.88,9.88,167215,1.0,0.0
2026-04-22,9.88,9.8801,9.88,9.88,64682,1.0,0.0
2026-04-23,9.89,9.89,9.89,9.89,20000,1.0,0.0
2026-04-24,9.89,9.89,9.89,9.89,323222,1.0,0.0
2026-04-27,9.895,9.895,9.895,9.895,1003,1.0,0.0
2026-04-28,9.895,9.895,9.895,9.895,1,1.0,0.0
2026-04-29,9.895,9.895,9.895,9.895,2,1.0,0.0
2026-04-30,9.895,9.895,9.895,9.895,66,1.0,0.0
2026-05-01,9.89,9.89,9.89,9.89,13663,1.0,0.0
2026-05-04,9.89,9.89,9.89,9.89,10,1.0,0.0
2026-05-05,9.89,9.89,9.89,9.89,19,1.0,0.0
2026-05-06,9.89,9.89,9.89,9.89,2,1.0,0.0
2026-05-07,9.89,9.89,9.89,9.89,4,1.0,0.0
2026-05-08,9.89,9.89,9.89,9.89,1,1.0,0.0
2026-05-11,9.9042,9.9042,9.9042,9.9042,262,1.0,0.0
2026-05-12,9.9042,9.9042,9.9042,9.9042,2,1.0,0.0
2026-05-13,9.9042,9.9042,9.9042,9.9042,29,1.0,0.0
2026-05-14,9.89,9.89,9.89,9.89,90000,1.0,0.0
2026-05-15,9.89,9.89,9.89,9.89,57,1.0,0.0
2026-05-18,9.9,9.9,9.9,9.9,62143,1.0,0.0
2026-05-19,9.9,9.9,9.9,9.9,22006,1.0,0.0
2026-05-20,9.9,9.9,9.9,9.9,2720,1.0,0.0
2026-05-21,9.9,9.905,9.9,9.905,42660,1.0,0.0
2026-05-22,9.9,9.9,9.9,9.9,209,1.0,0.0
2026-05-26,9.91,9.91,9.91,9.91,8156,1.0,0.0
2026-05-27,9.91,9.91,9.91,9.91,1163,1.0,0.0
2026-05-28,9.91,9.91,9.91,9.91,141,1.0,0.0
