date,open,high,low,close,volume,split,dividend
2024-06-03,37.53,37.61,36.81,37.42,2617060,1.0,0.0
2024-06-04,37.3,38.655,37.225,37.61,2822740,1.0,0.0
2024-06-05,38.41,38.41,37.1899,37.78,2289895,1.0,0.0
2024-06-06,43.99,45.34,42.63,44.27,7377072,1.0,0.0
2024-06-07,44.27,44.64,43.5101,44.29,1889612,1.0,0.0
2024-06-10,43.94,44.08,43.3,43.39,2350964,1.0,0.0
2024-06-11,43.42,44.11,43.11,44.0,1520085,1.0,0.0
2024-06-12,44.5,45.0799,43.39,43.42,1755038,1.0,0.0
2024-06-13,43.54,43.74,41.91,41.93,1278879,1.0,0.0
2024-06-14,41.89,42.1,41.45,41.78,1141168,1.0,0.0
2024-06-17,41.41,42.06,41.19,41.87,1436193,1.0,0.0
2024-06-18,41.71,42.04,40.95,41.24,1438799,1.0,0.0
2024-06-20,41.32,41.38,40.7,41.24,1335026,1.0,0.0
2024-06-21,41.41,42.71,41.19,42.69,3865568,1.0,0.0
2024-06-24,42.33,42.69,41.48,41.51,954858,1.0,0.0
2024-06-25,41.68,42.51,41.24,42.34,1176992,1.0,0.0
2024-06-26,42.44,43.08,42.32,42.86,1121246,1.0,0.0
2024-06-27,42.99,43.99,42.83,43.56,1110814,1.0,0.0
2024-06-28,43.69,44.68,43.51,44.08,1700538,1.0,0.0
2024-07-01,44.07,44.58,43.81,44.5,1040422,1.0,0.0
2024-07-02,44.6,44.91,43.73,44.11,915022,1.0,0.0
2024-07-03,43.4,43.99,43.1501,43.21,916630,1.0,0.0
2024-07-05,43.11,44.1334,43.1,43.75,786181,1.0,0.0
2024-07-08,43.75,44.02,43.28,43.73,949255,1.0,0.0
2024-07-09,43.72,43.86,42.585,42.95,1105147,1.0,0.0
2024-07-10,43.0,43.62,42.44,43.23,1179411,1.0,0.0
2024-07-11,43.6,44.27,42.94,43.09,833548,1.0,0.0
2024-07-12,43.08,43.84,42.97,43.51,692480,1.0,0.0
2024-07-15,43.71,44.53,43.59,44.45,809821,1.0,0.0
2024-07-16,44.6,45.49,44.53,45.18,1115629,1.0,0.0
2024-07-17,44.82,45.63,44.61,45.34,1156591,1.0,0.0
2024-07-18,45.35,48.81,44.87,47.81,4851990,1.0,0.0
2024-07-19,48.0,48.41,47.41,48.29,2143621,1.0,0.0
2024-07-22,48.52,48.98,48.07,48.55,1333053,1.0,0.0
2024-07-23,48.61,49.085,48.4,48.45,1761247,1.0,0.0
2024-07-24,48.12,48.5,47.25,47.4,1000811,1.0,0.0
2024-07-25,47.64,48.61,47.01,47.13,1253085,1.0,0.0
2024-07-26,47.5,49.0,47.48,48.4,1346295,1.0,0.0
2024-07-29,48.59,48.95,48.11,48.23,1023385,1.0,0.0
2024-07-30,48.29,48.6,46.885,47.39,718154,1.0,0.0
2024-07-31,47.68,48.8,47.51,47.96,1010691,1.0,0.0
2024-08-01,47.98,48.39,46.76,47.17,741837,1.0,0.0
2024-08-02,45.95,46.31,45.06,45.98,1213792,1.0,0.0
2024-08-05,43.995,45.98,43.995,45.35,1071334,1.0,0.0
2024-08-06,45.68,45.9,45.09,45.32,699784,1.0,0.0
2024-08-07,46.0,46.53,44.61,44.64,694402,1.0,0.0
2024-08-08,45.21,45.61,44.55,45.49,1275856,1.0,0.0
2024-08-09,45.53,47.0499,45.37,46.42,795737,1.0,0.0
2024-08-12,46.75,47.15,46.45,46.83,861381,1.0,0.0
2024-08-13,46.98,48.11,46.63,47.78,1449268,1.0,0.0
2024-08-14,47.76,48.06,46.84,47.72,889757,1.0,0.0
2024-08-15,48.18,49.19,48.18,48.72,1202689,1.0,0.0
2024-08-16,48.68,49.56,48.32,49.52,1216284,1.0,0.0
2024-08-19,49.51,50.375,49.093,49.99,1114456,1.0,0.0
2024-08-20,50.1,50.35,49.48,49.64,867459,1.0,0.0
2024-08-21,49.7,49.88,49.2,49.72,526332,1.0,0.0
2024-08-22,49.67,50.07,49.16,49.19,519437,1.0,0.0
2024-08-23,49.6,50.08,48.925,49.69,714351,1.0,0.0
2024-08-26,50.0,50.07,49.33,49.72,595667,1.0,0.0
2024-08-27,49.34,50.1,49.3,49.47,771319,1.0,0.0
2024-08-28,49.48,49.64,48.38,48.55,924187,1.0,0.0
2024-08-29,48.84,49.49,48.58,48.87,1023971,1.0,0.0
2024-08-30,49.17,49.46,48.09,48.8,1672351,1.0,0.0
2024-09-03,48.56,49.22,47.43,47.47,1235224,1.0,0.0
2024-09-04,46.71,47.87,46.0,47.34,1593875,1.0,0.0
2024-09-05,46.85,51.42,45.73,49.35,6376780,1.0,0.0
2024-09-06,52.315,54.2759,51.84,52.27,5266548,1.0,0.0
2024-09-09,52.35,53.04,51.37,52.4,1823250,1.0,0.0
2024-09-10,52.5,52.565,50.75,51.21,903111,1.0,0.0
2024-09-11,50.86,51.48,50.47,51.04,959366,1.0,0.0
2024-09-12,50.97,51.2788,50.235,50.56,933557,1.0,0.0
2024-09-13,50.59,52.57,49.98,52.22,2177375,1.0,0.0
2024-09-16,52.0,54.4994,52.0,52.69,4575762,1.0,0.0
2024-09-17,52.79,52.7905,51.74,51.77,2560462,1.0,0.0
2024-09-18,51.8,52.0,51.45,51.65,1294281,1.0,0.0
2024-09-19,51.78,52.05,50.58,50.81,3174802,1.0,0.0
2024-09-20,51.22,51.5,50.83,51.44,3390025,1.0,0.0
2024-09-23,51.28,52.1,50.9,52.09,2327302,1.0,0.0
2024-09-24,55.23,55.56,55.1,55.46,28249965,1.0,0.0
2024-09-25,55.46,55.6,55.36,55.36,24056960,1.0,0.0
2024-09-26,55.435,55.45,55.32,55.33,18992531,1.0,0.0
2024-09-27,55.36,55.37,55.31,55.34,11803774,1.0,0.0
2024-09-30,55.34,55.41,55.33,55.36,7641727,1.0,0.0
2024-10-01,55.38,55.42,55.32,55.35,9012823,1.0,0.0
2024-10-02,55.36,55.37,55.33,55.37,7389762,1.0,0.0
2024-10-03,55.34,55.5,55.34,55.49,5233536,1.0,0.0
2024-10-04,55.5,55.58,55.45,55.53,2409407,1.0,0.0
2024-10-07,55.55,55.57,55.44,55.5,3662829,1.0,0.0
2024-10-08,55.55,55.625,55.51,55.59,2637963,1.0,0.0
2024-10-09,55.58,55.6,55.475,55.57,3022911,1.0,0.0
2024-10-10,55.55,55.59,55.5,55.5,2191336,1.0,0.0
2024-10-11,55.56,55.89,55.51,55.8,5019193,1.0,0.0
2024-10-14,55.84,56.09,55.78,56.04,2689853,1.0,0.0
2024-10-15,56.0,56.0,55.855,56.0,2047303,1.0,0.0
2024-10-16,55.98,56.02,55.87,56.02,2414695,1.0,0.0
2024-10-17,55.95,56.08,55.93,56.06,1644608,1.0,0.0
2024-10-18,56.0,56.055,55.95,55.97,1032029,1.0,0.0
2024-10-21,55.95,56.06,55.86,55.92,1257804,1.0,0.0
2024-10-22,55.9,55.95,55.85,55.86,1251725,1.0,0.0
2024-10-23,55.85,55.92,55.735,55.89,1735214,1.0,0.0
2024-10-24,56.27,56.53,56.2,56.31,9802735,1.0,0.0
2024-10-25,56.34,56.545,56.34,56.51,5109957,1.0,0.0
2024-10-28,56.5,56.55,56.38,56.39,2294097,1.0,0.0
2024-10-29,56.42,56.51,56.355,56.4,1768068,1.0,0.0
2024-10-30,56.4,56.44,56.34,56.36,1585007,1.0,0.0
2024-10-31,56.4,56.46,56.335,56.42,1929027,1.0,0.0
2024-11-01,56.45,56.47,56.225,56.25,4133065,1.0,0.0
2024-11-04,56.05,56.1,55.7,55.88,7645318,1.0,0.0
2024-11-05,55.94,55.94,55.8,55.8,5019634,1.0,0.0
2024-11-06,56.0,56.12,55.86,56.04,3149058,1.0,0.0
2024-11-07,56.09,56.11,55.91,55.96,2622427,1.0,0.0
2024-11-08,55.94,56.09,55.94,56.02,1215355,1.0,0.0
2024-11-11,56.0,56.01,55.86,55.9,5120068,1.0,0.0
2024-11-12,55.92,56.05,55.81,55.82,4118343,1.0,0.0
2024-11-13,55.82,55.9,55.79,55.86,3739643,1.0,0.0
2024-11-14,55.85,55.88,55.735,55.86,2239039,1.0,0.0
2024-11-15,55.88,55.93,55.84,55.85,2293564,1.0,0.0
2024-11-18,55.85,55.91,55.795,55.86,2064827,1.0,0.0
2024-11-19,55.85,55.96,55.85,55.89,2050972,1.0,0.0
2024-11-20,55.93,55.94,55.85,55.94,1929519,1.0,0.0
2024-11-21,55.96,56.01,55.85,55.87,3437357,1.0,0.0
2024-11-22,55.9,56.17,55.85,56.15,3336571,1.0,0.0
2024-11-25,56.02,56.09,55.97,56.07,1881766,1.0,0.0
2024-11-26,56.08,56.08,55.97,55.97,1191377,1.0,0.0
2024-11-27,55.98,56.02,55.9,56.0,1626801,1.0,0.0
2024-11-29,56.0,56.03,55.93,55.95,1193036,1.0,0.0
2024-12-02,56.04,56.13,56.0,56.1,2392832,1.0,0.0
2024-12-03,56.06,56.115,56.0,56.03,1777349,1.0,0.0
2024-12-04,56.06,56.18,56.0,56.1,2985470,1.0,0.0
2024-12-05,56.05,56.15,56.045,56.12,2229490,1.0,0.0
2024-12-06,56.08,56.13,56.04,56.07,2220134,1.0,0.0
2024-12-09,56.1,56.14,56.03,56.08,2205085,1.0,0.0
2024-12-10,56.02,56.07,55.94,55.97,4951302,1.0,0.0
2024-12-11,56.01,56.105,55.975,56.04,3104464,1.0,0.0
2024-12-12,56.04,56.09,55.98,55.99,1975433,1.0,0.0
2024-12-13,55.99,56.06,55.95,56.02,2472569,1.0,0.0
2024-12-16,56.0,56.07,55.96,55.99,2642942,1.0,0.0
2024-12-17,55.96,56.03,55.95,55.96,4017538,1.0,0.0
2024-12-18,55.97,56.09,55.91,55.96,3300958,1.0,0.0
2024-12-19,56.04,56.09,55.95,56.0,2824391,1.0,0.0
2024-12-20,56.0,56.05,55.93,56.01,5015609,1.0,0.0
2024-12-23,56.07,56.07,55.94,55.97,2222863,1.0,0.0
2024-12-24,56.0,56.03,55.97,56.0,749705,1.0,0.0
2024-12-26,55.99,56.065,55.97,56.03,1681512,1.0,0.0
2024-12-27,56.03,56.07,55.96,55.98,3403547,1.0,0.0
2024-12-30,56.0,56.07,55.98,56.02,2419748,1.0,0.0
2024-12-31,56.03,56.12,56.0,56.03,2506626,1.0,0.0
2025-01-02,56.18,56.18,56.04,56.06,2736390,1.0,0.0
2025-01-03,56.06,56.2,56.05,56.2,3034698,1.0,0.0
2025-01-06,56.07,56.24,56.07,56.17,2811807,1.0,0.0
2025-01-07,56.19,56.215,56.12,56.15,3179886,1.0,0.0
2025-01-08,56.14,56.24,56.13,56.2,3197201,1.0,0.0
2025-01-10,56.32,56.39,56.32,56.37,6241917,1.0,0.0
2025-01-13,56.35,56.43,56.32,56.33,4097130,1.0,0.0
2025-01-14,56.36,56.385,56.3,56.36,4196739,1.0,0.0
2025-01-15,56.33,56.36,56.28,56.32,2905513,1.0,0.0
2025-01-16,56.35,56.35,56.28,56.3,2788924,1.0,0.0
2025-01-17,56.46,56.48,56.45,56.46,9961720,1.0,0.0
2025-01-21,56.48,56.5,56.47,56.47,17559109,1.0,0.0
2025-01-22,56.47,56.47,56.47,56.47,0,1.0,0.0
