date,open,high,low,close,volume,split,dividend
2024-06-03,30.41,31.4425,30.41,31.11,2050730,1.0,0.0
2024-06-04,31.2,31.37,30.304,30.97,1716300,1.0,0.0
2024-06-05,30.63,31.31,30.53,31.23,1324602,1.0,0.0
2024-06-06,31.0,31.15,30.26,30.45,1483498,1.0,0.0
2024-06-07,30.28,30.34,29.93,29.95,2820495,1.0,0.0
2024-06-10,29.95,30.37,29.73,29.92,3103562,1.0,0.0
2024-06-11,29.72,30.0,29.34,29.73,2138427,1.0,0.0
2024-06-12,29.9,30.21,29.43,29.77,1526971,1.0,0.0
2024-06-13,29.62,29.83,29.14,29.38,1222549,1.0,0.0
2024-06-14,28.97,29.445,28.97,29.35,1841767,1.0,0.0
2024-06-17,29.25,30.53,29.15,30.47,1917283,1.0,0.0
2024-06-18,30.62,31.29,30.5301,31.14,1792307,1.0,0.0
2024-06-20,30.5,32.15,30.19,31.66,3822205,1.0,0.0
2024-06-21,33.47,33.99,32.9,33.56,8773022,1.0,0.0
2024-06-24,33.34,33.88,31.29,33.07,10201370,1.0,0.0
2024-06-25,31.8,31.99,30.845,31.76,11654563,1.0,0.0
2024-06-26,31.6,32.595,31.28,32.42,4252410,1.0,0.0
2024-06-27,32.43,33.42,32.17,32.82,3709763,1.0,0.0
2024-06-28,32.85,33.39,32.49,32.87,3271677,1.0,0.0
2024-07-01,34.2,34.41,33.49,33.97,18184467,1.0,0.0
2024-07-02,33.7,34.32,33.63,33.88,11543829,1.0,0.0
2024-07-03,34.01,34.05,33.625,33.82,2546515,1.0,0.0
2024-07-05,33.78,34.24,33.62,34.03,6882170,1.0,0.0
2024-07-08,34.11,34.71,34.09,34.37,10848602,1.0,0.0
2024-07-09,34.42,34.8,34.355,34.51,5146921,1.0,0.0
2024-07-10,34.66,34.85,34.57,34.61,5693841,1.0,0.0
2024-07-11,34.71,34.92,34.44,34.49,5490078,1.0,0.0
2024-07-12,34.5,34.75,34.305,34.56,3197525,1.0,0.0
2024-07-15,34.75,34.95,34.58,34.69,2601131,1.0,0.0
2024-07-16,34.64,35.98,34.64,35.88,4372550,1.0,0.0
2024-07-17,35.66,36.2,35.54,35.65,2873044,1.0,0.0
2024-07-18,35.62,36.15,35.0,35.05,3393759,1.0,0.0
2024-07-19,35.05,35.13,34.78,35.01,1543820,1.0,0.0
2024-07-22,35.04,35.35,34.52,35.04,4775727,1.0,0.0
2024-07-23,35.01,36.26,35.0,35.87,5487375,1.0,0.0
2024-07-24,35.69,36.08,35.13,35.22,2810689,1.0,0.0
2024-07-25,35.19,36.04,35.19,35.51,1112697,1.0,0.0
2024-07-26,35.76,35.9,35.55,35.57,1650262,1.0,0.0
2024-07-29,35.6,35.71,35.11,35.47,1760638,1.0,0.0
2024-07-30,35.66,36.26,35.66,36.26,3125301,1.0,0.0
2024-07-31,36.19,37.08,35.88,36.25,5610443,1.0,0.0
2024-08-01,36.28,36.3,35.13,35.28,3158920,1.0,0.0
2024-08-02,34.92,34.92,34.07,34.32,2205938,1.0,0.0
2024-08-05,33.04,33.97,32.8,33.55,2821610,1.0,0.0
2024-08-06,33.2,33.85,32.84,33.45,3982608,1.0,0.0
2024-08-07,33.72,33.8,33.161,33.22,3393517,1.0,0.0
2024-08-08,33.29,33.94,33.25,33.77,1551701,1.0,0.0
2024-08-09,33.79,34.02,33.705,33.85,1821788,1.0,0.0
2024-08-12,33.84,34.0,33.715,33.85,1395041,1.0,0.0
2024-08-13,33.8,34.325,33.61,34.2,1690448,1.0,0.0
2024-08-14,34.26,34.43,34.02,34.21,922775,1.0,0.0
2024-08-15,34.5,34.79,34.31,34.69,902242,1.0,0.0
2024-08-16,34.75,35.39,34.74,35.27,1229729,1.0,0.0
2024-08-19,35.34,35.36,34.97,35.13,1224138,1.0,0.0
2024-08-20,35.1,35.1,34.395,34.63,1933702,1.0,0.0
2024-08-21,34.61,34.87,34.4,34.84,956991,1.0,0.0
2024-08-22,34.76,34.94,34.59,34.86,533492,1.0,0.0
2024-08-23,34.87,35.275,34.86,35.15,847466,1.0,0.0
2024-08-26,35.13,35.13,34.64,34.84,1699649,1.0,0.0
2024-08-27,34.77,35.1,34.68,35.0,805734,1.0,0.0
2024-08-28,34.9,35.0,34.56,34.68,1098838,1.0,0.0
2024-08-29,34.8,35.19,34.69,34.94,1336889,1.0,0.0
2024-08-30,35.0,35.21,34.87,35.21,1601916,1.0,0.0
2024-09-03,34.3,34.725,33.2,33.32,2615657,1.0,0.0
2024-09-04,33.29,34.18,33.28,33.75,933788,1.0,0.0
2024-09-05,33.8,33.98,33.42,33.69,1785277,1.0,0.0
2024-09-06,33.73,33.85,32.84,32.86,2273895,1.0,0.0
2024-09-09,33.52,33.775,33.39,33.74,1030514,1.0,0.0
2024-09-10,33.7,33.85,33.045,33.39,1355905,1.0,0.0
2024-09-11,33.17,33.72,32.89,33.71,1811144,1.0,0.0
2024-09-12,33.79,33.94,33.52,33.7,1028551,1.0,0.0
2024-09-13,33.61,33.775,33.07,33.27,1833191,1.0,0.0
2024-09-16,33.25,33.39,32.84,32.87,1011928,1.0,0.0
2024-09-17,32.85,33.155,32.81,33.05,683813,1.0,0.0
2024-09-18,33.15,33.3,32.91,32.93,1104150,1.0,0.0
2024-09-19,33.34,33.44,32.75,32.79,1003568,1.0,0.0
2024-09-20,32.76,33.12,32.64,33.12,1473350,1.0,0.0
2024-09-23,33.01,33.64,32.76,33.48,2577249,1.0,0.0
2024-09-24,33.44,33.44,33.08,33.22,1635157,1.0,0.0
2024-09-25,33.23,33.44,32.82,32.84,704641,1.0,0.0
2024-09-26,33.03,33.31,32.81,33.08,956664,1.0,0.0
2024-09-27,33.15,33.29,32.91,33.11,1884844,1.0,0.0
2024-09-30,33.1,33.1,32.455,32.51,2056173,1.0,0.0
2024-10-01,32.45,32.99,31.8569,32.92,1788616,1.0,0.0
2024-10-02,32.81,33.03,32.6668,32.82,671492,1.0,0.0
2024-10-03,32.65,32.76,31.92,32.09,1956735,1.0,0.0
2024-10-04,32.3,32.55,31.97,32.55,810216,1.0,0.0
2024-10-07,32.49,33.0201,32.415,32.47,871407,1.0,0.0
2024-10-08,32.43,32.57,32.095,32.25,1886418,1.0,0.0
2024-10-09,32.09,32.175,31.59,31.74,973333,1.0,0.0
2024-10-10,31.48,31.59,30.68,30.92,1504641,1.0,0.0
2024-10-11,30.92,31.5,30.75,31.46,2610149,1.0,0.0
