date,open,high,low,close,volume,split,dividend
2024-06-03,39.24,39.305,37.965,38.43,874416,1.0,0.0
2024-06-04,38.38,38.38,37.313,37.74,1274975,1.0,0.0
2024-06-05,37.97,38.36,37.45,38.24,556527,1.0,0.0
2024-06-06,38.07,38.34,37.89,38.09,641813,1.0,0.0
2024-06-07,37.96,38.19,37.43,37.72,627749,1.0,0.0
2024-06-10,37.42,37.855,37.05,37.52,691090,1.0,0.0
2024-06-11,37.24,37.51,36.7713,36.83,1063019,1.0,0.0
2024-06-12,37.71,38.41,37.47,37.64,1013438,1.0,0.0
2024-06-13,37.33,37.61,37.05,37.16,1043163,1.0,0.0
2024-06-14,36.58,36.93,36.26,36.93,804226,1.0,0.0
2024-06-17,36.83,37.55,36.63,37.49,738615,1.0,0.0
2024-06-18,37.4,37.45,36.74,37.01,800974,1.0,0.0
2024-06-20,36.82,36.87,35.75,35.91,957240,1.0,0.0
2024-06-21,35.21,35.88,35.0,35.7,1751280,1.0,0.0
2024-06-24,35.77,36.05,35.42,35.64,785116,1.0,0.0
2024-06-25,35.3,35.45,34.64,35.3,756732,1.0,0.0
2024-06-26,35.05,35.92,35.05,35.8,1073840,1.0,0.0
2024-06-27,35.97,36.4833,35.8559,36.37,921456,1.0,0.0
2024-06-28,36.65,36.985,36.31,36.61,2269778,1.0,0.0
2024-07-01,36.74,36.74,35.43,35.63,1079956,1.0,0.0
2024-07-02,35.51,35.88,35.3586,35.61,1030326,1.0,0.0
2024-07-03,35.6,36.26,35.4,36.18,689393,1.0,0.0
2024-07-05,35.94,36.18,35.64,35.92,1128554,1.0,0.0
2024-07-08,36.18,36.655,35.85,36.08,855005,1.0,0.0
2024-07-09,36.23,36.38,35.49,35.65,649878,1.0,0.0
2024-07-10,35.87,37.1,35.81,37.02,865748,1.0,0.0
2024-07-11,37.61,38.15,37.56,38.01,867750,1.0,0.0
2024-07-12,38.37,39.25,38.25,38.35,884337,1.0,0.0
2024-07-15,38.78,39.33,38.4685,39.14,1090337,1.0,0.0
2024-07-16,39.55,41.32,39.38,41.18,1175422,1.0,0.0
2024-07-17,40.73,40.98,39.83,39.84,1475066,1.0,0.0
2024-07-18,39.61,40.105,38.82,39.31,1515859,1.0,0.0
2024-07-19,39.17,39.18,38.28,38.63,962729,1.0,0.0
2024-07-22,38.96,39.03,38.33,38.99,994732,1.0,0.0
2024-07-23,38.65,39.33,38.46,39.16,1058035,1.0,0.0
2024-07-24,38.89,39.25,37.35,37.44,1050408,1.0,0.0
2024-07-25,37.7,39.75,37.52,38.86,927806,1.0,0.0
2024-07-26,39.66,40.63,39.66,40.11,1124664,1.0,0.0
2024-07-29,40.22,40.69,39.92,40.14,583100,1.0,0.0
2024-07-30,40.96,41.85,40.52,40.94,1005020,1.0,0.0
2024-07-31,41.18,42.775,40.72,41.78,1024395,1.0,0.0
2024-08-01,41.78,42.02,40.14,40.46,836362,1.0,0.0
2024-08-02,38.99,39.28,37.33,38.73,1224775,1.0,0.0
2024-08-05,36.09,37.54,35.71,36.83,1160383,1.0,0.0
2024-08-06,36.87,38.55,36.09,37.97,1653311,1.0,0.0
2024-08-07,38.51,39.075,37.295,37.32,974371,1.0,0.0
2024-08-08,38.13,39.5463,37.865,38.63,1335537,1.0,0.0
2024-08-09,38.88,39.15,37.91,38.28,566998,1.0,0.0
2024-08-12,38.56,38.56,37.35,37.54,561657,1.0,0.0
2024-08-13,37.83,38.73,37.55,38.62,850114,1.0,0.0
2024-08-14,38.9,39.0,38.115,38.39,591886,1.0,0.0
2024-08-15,39.54,39.82,38.7575,39.65,726196,1.0,0.0
2024-08-16,39.59,39.67,38.775,38.84,522981,1.0,0.0
2024-08-19,38.84,39.16,38.58,39.05,551071,1.0,0.0
2024-08-20,39.05,39.36,38.6,38.61,688885,1.0,0.0
2024-08-21,38.94,39.2125,38.53,39.05,1411508,1.0,0.0
