date,open,high,low,close,volume,split,dividend
2024-06-03,11.76,11.97,11.76,11.95,1320,1.0,0.0
2024-06-04,11.95,11.95,11.95,11.95,107,1.0,0.0
2024-06-05,11.77,11.7701,11.77,11.7701,461,1.0,0.0
2024-06-06,11.87,11.98,11.87,11.98,679,1.0,0.0
2024-06-07,11.77,12.12,11.77,12.08,1259,1.0,0.0
2024-06-10,11.81,12.1,11.81,12.1,592,1.0,0.0
2024-06-11,11.77,11.77,11.77,11.77,394,1.0,0.0
2024-06-12,11.77,11.77,11.77,11.77,224,1.0,0.0
2024-06-13,11.77,11.77,11.77,11.77,859,1.0,0.0
2024-06-14,11.99,12.0,11.8,11.8,2327,1.0,0.0
2024-06-17,11.9997,12.075,11.9997,12.075,2346,1.0,0.0
2024-06-18,11.86,12.07,11.79,11.79,1506,1.0,0.0
2024-06-20,11.79,11.79,11.79,11.79,444,1.0,0.0
2024-06-21,11.79,12.1,11.79,12.1,6844,1.0,0.0
2024-06-24,12.1,12.1,12.1,12.1,189,1.0,0.0
2024-06-25,12.1,12.1,12.1,12.1,21,1.0,0.0
2024-06-26,12.0,12.0,12.0,12.0,259,1.0,0.0
2024-06-27,11.895,12.0,11.895,12.0,246,1.0,0.0
2024-06-28,11.79,11.9,11.79,11.9,1185,1.0,0.0
2024-07-01,11.54,11.84,10.72,11.5963,6794,1.0,0.0
2024-07-02,11.61,11.61,10.7201,11.5,1329,1.0,0.0
2024-07-03,11.5,11.5,11.5,11.5,26,1.0,0.0
2024-07-05,11.5,11.5,11.5,11.5,63,1.0,0.0
2024-07-08,11.5,11.5,11.5,11.5,108,1.0,0.0
2024-07-09,11.69,11.69,11.29,11.29,390,1.0,0.0
2024-07-10,11.96,11.96,11.96,11.96,272,1.0,0.0
2024-07-11,11.485,11.7,11.485,11.7,771,1.0,0.0
2024-07-12,11.7727,11.7727,11.41,11.41,291,1.0,0.0
2024-07-15,11.41,11.41,11.41,11.41,348,1.0,0.0
2024-07-16,11.475,11.475,11.475,11.475,211,1.0,0.0
2024-07-17,11.475,11.475,11.475,11.475,232,1.0,0.0
2024-07-18,10.86,11.35,10.52,10.65,10089,1.0,0.0
2024-07-19,10.62,10.62,10.58,10.62,1482,1.0,0.0
2024-07-22,10.8516,10.88,10.66,10.82,2661,1.0,0.0
2024-07-23,11.0793,11.0793,11.0793,11.0793,202,1.0,0.0
2024-07-24,11.07,11.075,10.8668,11.07,2556,1.0,0.0
2024-07-25,11.07,11.3599,11.07,11.08,368,1.0,0.0
2024-07-26,10.7801,11.3799,10.7801,11.1,3160,1.0,0.0
2024-07-29,11.4,11.4,11.13,11.13,699,1.0,0.0
2024-07-30,11.09,11.255,11.08,11.255,5154,1.0,0.0
2024-07-31,11.29,11.5199,11.29,11.5199,418,1.0,0.0
2024-08-01,11.5199,11.5199,11.5199,11.5199,277,1.0,0.0
2024-08-02,11.5199,11.5199,11.5199,11.5199,281,1.0,0.0
2024-08-05,11.21,11.21,11.08,11.13,583,1.0,0.0
2024-08-06,11.13,12.0299,11.13,12.0299,2146,1.0,0.0
2024-08-07,12.0299,12.0299,12.0299,12.0299,58,1.0,0.0
2024-08-08,12.8,12.81,12.27,12.27,2423,1.0,0.0
2024-08-09,12.26,12.26,11.76,12.04,2029,1.0,0.0
2024-08-12,12.12,12.12,11.08,11.25,7316,1.0,0.0
2024-08-13,11.5,11.5,11.5,11.5,691,1.0,0.0
2024-08-14,11.55,11.5898,11.55,11.5898,928,1.0,0.0
2024-08-15,11.9,11.9,11.3802,11.685,1730,1.0,0.0
