date,open,high,low,close,volume,split,dividend
2024-06-03,41.95,42.26,38.91,39.27,1251777,1.0,0.0
2024-06-04,39.04,39.65,37.62,38.91,835460,1.0,0.0
2024-06-05,39.22,41.01,38.8,40.67,472564,1.0,0.0
2024-06-06,40.5,40.6,39.0,39.71,507891,1.0,0.0
2024-06-07,39.27,40.58,39.1,40.22,462833,1.0,0.0
2024-06-10,39.75,40.38,39.392,39.97,701074,1.0,0.0
2024-06-11,39.66,40.335,38.77,38.92,931765,1.0,0.0
2024-06-12,39.73,40.57,37.77,38.84,831556,1.0,0.0
2024-06-13,38.8,39.66,38.22,39.14,468149,1.0,0.0
2024-06-14,38.41,38.72,37.87,38.55,372696,1.0,0.0
2024-06-17,38.33,38.33,36.29,36.67,627002,1.0,0.0
2024-06-18,36.42,36.84,35.32,36.21,620436,1.0,0.0
2024-06-20,36.08,36.88,35.58,36.2,632964,1.0,0.0
2024-06-21,36.01,36.62,35.48,36.12,1631113,1.0,0.0
2024-06-24,36.22,36.86,35.65,36.06,1410091,1.0,0.0
2024-06-25,35.98,36.715,35.73,36.4,834125,1.0,0.0
2024-06-26,36.26,36.69,35.6,36.22,1283010,1.0,0.0
2024-06-27,36.01,37.58,35.16,37.53,578554,1.0,0.0
2024-06-28,37.78,38.22,36.48,37.67,1071327,1.0,0.0
2024-07-01,37.6,39.28,37.0,38.53,867377,1.0,0.0
2024-07-02,38.37,38.37,36.97,37.27,769102,1.0,0.0
2024-07-03,37.41,38.435,37.11,37.28,259841,1.0,0.0
2024-07-05,37.28,37.55,36.655,36.77,402875,1.0,0.0
2024-07-08,37.1,38.31,36.6,38.14,412791,1.0,0.0
2024-07-09,38.14,39.08,37.84,38.3,348291,1.0,0.0
2024-07-10,38.48,39.8,37.69,39.54,835750,1.0,0.0
2024-07-11,40.0,42.49,39.845,41.36,758451,1.0,0.0
2024-07-12,42.33,42.81,40.935,41.44,664180,1.0,0.0
2024-07-15,41.95,42.75,41.385,41.84,669580,1.0,0.0
2024-07-16,42.37,42.57,41.41,41.91,665890,1.0,0.0
2024-07-17,41.12,41.72,38.65,38.9,1012562,1.0,0.0
2024-07-18,38.96,38.96,35.74,36.46,1213498,1.0,0.0
2024-07-19,36.66,37.83,35.57,37.72,1255608,1.0,0.0
2024-07-22,38.12,38.57,35.4,36.83,1223395,1.0,0.0
2024-07-23,36.37,38.26,36.02,37.77,905649,1.0,0.0
2024-07-24,37.38,38.04,36.245,36.66,565809,1.0,0.0
2024-07-25,36.76,38.35,36.27,36.87,1234173,1.0,0.0
2024-07-26,37.34,38.67,36.73,38.04,515590,1.0,0.0
2024-07-29,37.96,38.75,35.71,36.8,837995,1.0,0.0
2024-07-30,36.84,37.63,35.01,36.73,813823,1.0,0.0
2024-07-31,37.02,37.84,35.71,35.91,497410,1.0,0.0
2024-08-01,35.81,36.52,34.8,35.26,771609,1.0,0.0
2024-08-02,33.96,34.18,31.54,33.43,1630196,1.0,0.0
2024-08-05,31.11,33.525,30.37,33.41,1060634,1.0,0.0
2024-08-06,34.1,34.61,33.04,33.22,1334179,1.0,0.0
2024-08-07,40.445,40.445,33.29,33.93,2588339,1.0,0.0
2024-08-08,34.65,36.4,32.955,35.925,1682215,1.0,0.0
2024-08-09,36.09,37.46,35.33,37.41,673748,1.0,0.0
2024-08-12,37.25,38.14,36.34,37.05,895888,1.0,0.0
2024-08-13,36.64,37.37,36.15,37.34,598092,1.0,0.0
2024-08-14,37.56,37.56,35.0,35.49,725909,1.0,0.0
2024-08-15,36.39,36.83,35.95,36.21,513476,1.0,0.0
2024-08-16,36.1,36.8,35.61,36.35,546627,1.0,0.0
2024-08-19,36.35,37.04,35.63,36.96,401713,1.0,0.0
2024-08-20,36.82,38.465,36.65,38.28,828944,1.0,0.0
2024-08-21,38.55,39.88,37.57,39.52,760791,1.0,0.0
2024-08-22,39.67,41.63,39.2,40.63,1113515,1.0,0.0
2024-08-23,41.13,41.38,39.57,41.15,584570,1.0,0.0
2024-08-26,41.65,43.64,41.22,42.76,800174,1.0,0.0
2024-08-27,42.41,43.23,40.33,41.07,1005153,1.0,0.0
2024-08-28,41.08,42.87,40.79,41.2,1023692,1.0,0.0
2024-08-29,41.44,42.19,39.93,40.93,1066584,1.0,0.0
2024-08-30,41.32,42.43,41.0,41.71,570658,1.0,0.0
2024-09-03,41.58,42.61,39.52,40.4,987137,1.0,0.0
2024-09-04,40.47,41.54,39.6,40.98,397744,1.0,0.0
2024-09-05,41.07,41.8425,39.97,40.12,1172402,1.0,0.0
2024-09-06,40.54,40.54,38.46,38.75,380263,1.0,0.0
2024-09-09,38.5,39.74,38.5,39.2,579065,1.0,0.0
2024-09-10,39.17,39.849,38.38,38.91,442237,1.0,0.0
2024-09-11,38.54,39.31,38.24,38.66,442455,1.0,0.0
2024-09-12,38.6,38.71,35.92,35.99,971782,1.0,0.0
2024-09-13,36.03,37.51,35.75,37.42,909882,1.0,0.0
2024-09-16,37.71,38.285,35.11,35.56,699065,1.0,0.0
