date,open,high,low,close,volume,split,dividend
2024-06-03,62800.0,63200.0,56400.0,62800.0,3,1.0,0.0
2024-06-04,62400.0,62800.0,56800.0,56800.0,1,1.0,0.0
2024-06-05,55200.0,60000.0,48800.0,58800.0,3,1.0,0.0
2024-06-06,56800.0,58800.0,52000.0,52400.0,2,1.0,0.0
2024-06-07,53600.0,59200.0,50000.0,52000.0,4,1.0,0.0
2024-06-10,49600.0,58800.0,44000.0,55200.0,23,1.0,0.0
2024-06-11,54000.0,59200.0,52000.0,52400.0,13,1.0,0.0
2024-06-12,50800.0,50800.0,40800.0,42800.0,11,1.0,0.0
2024-06-13,36000.0,39600.0,34000.0,34400.0,13,1.0,0.0
2024-06-14,29500.0,36900.0,26400.0,28700.0,35,0.025,0.0
2024-06-17,45200.0,85000.0,41700.0,49000.0,4452,1.0,0.0
2024-06-18,36300.0,38900.0,29400.0,32300.0,106,1.0,0.0
2024-06-20,29100.0,33000.0,28200.0,30000.0,20,1.0,0.0
2024-06-21,30300.0,31900.0,26100.0,30800.0,41,1.0,0.0
2024-06-24,26700.0,29600.0,26600.0,28000.0,19,1.0,0.0
2024-06-25,28200.0,29000.0,25000.0,25900.0,42,1.0,0.0
2024-06-26,26000.0,26550.0,20000.0,20200.0,27,1.0,0.0
2024-06-27,20700.0,20700.0,14500.0,15700.0,38,1.0,0.0
2024-06-28,15000.0,15200.0,12760.0,14100.0,31,1.0,0.0
2024-07-01,14200.0,14200.0,12110.0,12500.0,15,1.0,0.0
2024-07-02,12700.0,15600.0,12500.0,13600.0,51,1.0,0.0
2024-07-03,13500.0,13500.0,11400.0,12200.0,20,1.0,0.0
2024-07-05,12200.0,12900.0,11000.0,11050.0,14,1.0,0.0
2024-07-08,11400.0,13700.0,11100.0,12800.0,158,1.0,0.0
2024-07-09,12800.0,13500.0,9100.0,9680.0,1559,1.0,0.0
2024-07-10,9010.0,10800.0,8750.0,9000.0,213,1.0,0.0
2024-07-11,9600.0,10400.0,9020.0,9140.0,311,1.0,0.0
2024-07-12,8890.0,9100.0,8110.0,8840.0,84,1.0,0.0
2024-07-15,8820.0,9300.0,8500.0,9100.0,29,1.0,0.0
2024-07-16,9000.0,9000.0,8050.0,8120.0,65,1.0,0.0
2024-07-17,8120.0,8340.0,7640.0,7850.0,33,1.0,0.0
2024-07-18,8410.0,9900.0,6670.0,7020.0,162,1.0,0.0
2024-07-19,7230.0,9900.0,6620.0,9380.0,196,1.0,0.0
2024-07-22,8550.0,8550.0,7200.0,7450.0,89,1.0,0.0
2024-07-23,7290.0,7690.0,6760.0,6900.0,59,1.0,0.0
2024-07-24,6950.0,8800.0,6900.0,8000.0,101,1.0,0.0
2024-07-25,8270.0,9890.0,7800.0,8490.0,254,1.0,0.0
2024-07-26,7400.0,7900.0,7010.0,7100.0,62,1.0,0.0
2024-07-29,7290.0,7290.0,6830.0,7010.0,18,1.0,0.0
2024-07-30,7600.0,7600.0,7010.0,7230.0,70,1.0,0.0
2024-07-31,7100.0,7300.0,5800.0,6120.0,75,1.0,0.0
2024-08-01,6400.0,6590.0,5820.0,6260.0,20,1.0,0.0
2024-08-02,5900.0,6140.0,5240.0,5400.0,34,1.0,0.0
2024-08-05,5000.0,5200.0,4450.0,4500.0,26,1.0,0.0
2024-08-06,4570.0,4660.0,4020.0,4210.0,27,1.0,0.0
2024-08-07,4400.0,4410.0,3870.0,4340.0,29,1.0,0.0
2024-08-08,4200.0,4200.0,3690.0,3840.0,27,1.0,0.0
2024-08-09,3720.0,3850.0,3420.0,3470.0,18,1.0,0.0
2024-08-12,7300.0,7980.0,5200.0,6210.0,9317,1.0,0.0
2024-08-13,5110.0,6490.0,5110.0,5760.0,323,1.0,0.0
2024-08-14,5600.0,7000.0,5510.0,6950.0,187,1.0,0.0
2024-08-15,6770.0,6770.0,5300.0,5700.0,43,1.0,0.0
2024-08-16,5530.0,6100.0,5030.0,5180.0,25,1.0,0.0
2024-08-19,5020.0,5020.0,4510.0,4650.0,36,1.0,0.0
2024-08-20,4570.0,4830.0,4200.0,4400.0,19,1.0,0.0
2024-08-21,4360.0,4580.0,4020.0,4310.0,21,1.0,0.0
2024-08-22,4310.0,5700.0,4310.0,5400.0,43,1.0,0.0
2024-08-23,5810.0,6900.0,5430.0,6150.0,85,1.0,0.0
2024-08-26,6000.0,6790.0,5290.0,5900.0,43,1.0,0.0
2024-08-27,5900.0,6050.0,5600.0,6020.0,7,1.0,0.0
2024-08-28,5600.0,5900.0,5400.0,5410.0,8,1.0,0.0
2024-08-29,5180.0,5360.0,4500.0,4900.0,18,1.0,0.0
2024-08-30,4980.0,5000.0,4740.0,4740.0,3,1.0,0.0
2024-09-03,4550.0,4730.0,4500.0,4640.0,4,1.0,0.0
2024-09-04,4820.0,4900.0,4280.0,4490.0,12,1.0,0.0
2024-09-05,4350.0,4460.0,4000.0,4330.0,149,1.0,0.0
2024-09-06,4020.0,4300.0,4010.0,4170.0,12,1.0,0.0
2024-09-09,4090.0,4400.0,3630.0,4000.0,254,1.0,0.0
2024-09-10,3690.0,3740.0,3350.0,3450.0,87,1.0,0.0
2024-09-11,3350.0,3450.0,3020.0,3250.0,53,1.0,0.0
2024-09-12,3380.0,3380.0,3100.0,3150.0,34,1.0,0.0
2024-09-13,3250.0,3320.0,3130.0,3220.0,13,1.0,0.0
2024-09-16,3350.0,3450.0,3100.0,3190.0,167,1.0,0.0
2024-09-17,3050.0,3260.0,2700.0,2800.0,101,1.0,0.0
2024-09-18,2720.0,2750.0,2400.0,2500.0,84,1.0,0.0
2024-09-19,2520.0,2530.0,2410.0,2480.0,35,1.0,0.0
2024-09-20,2500.0,2520.0,2310.0,2310.0,34,1.0,0.0
2024-09-23,2340.0,2500.0,2110.0,2360.0,36,1.0,0.0
2024-09-24,3200.0,3300.0,2400.0,2620.0,8509,1.0,0.0
2024-09-25,2260.0,2350.0,2120.0,2190.0,597,1.0,0.0
2024-09-26,2400.0,2420.0,2030.0,2050.0,1595,1.0,0.0
