date,open,high,low,close,volume,split,dividend
2024-06-03,0.02,0.02,0.02,0.02,0,1.0,0.0
2024-06-04,0.055,0.055,0.05,0.05,1600,1.0,0.0
2024-06-05,0.05,0.05,0.05,0.05,48,1.0,0.0
2024-06-06,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-07,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-10,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-11,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-12,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-13,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-14,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-17,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-18,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-20,0.05,0.05,0.05,0.05,1,1.0,0.0
2024-06-21,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-24,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-25,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-26,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-27,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-06-28,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-01,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-02,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-03,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-05,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-08,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-09,0.05,0.05,0.05,0.05,90,1.0,0.0
2024-07-10,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-11,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-12,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-15,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-16,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-17,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-18,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-19,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-22,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-23,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-24,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-25,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-26,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-29,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-30,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-07-31,0.035,0.035,0.035,0.035,583,1.0,0.0
2024-08-01,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-02,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-05,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-06,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-07,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-08,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-09,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-12,0.035,0.035,0.035,0.035,0,1.0,0.0
2024-08-13,0.035,0.035,0.035,0.035,65,1.0,0.0
2024-08-14,0.035,0.035,0.035,0.035,14,1.0,0.0
2024-08-15,0.05,0.05,0.05,0.05,994,1.0,0.0
2024-08-16,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-19,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-20,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-21,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-22,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-23,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-26,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-27,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-28,0.05,0.05,0.05,0.05,0,1.0,0.0
2024-08-29,0.0622,0.0622,0.0622,0.0622,2001,1.0,0.0
2024-08-30,0.0511,0.0511,0.0511,0.0511,142,1.0,0.0
2024-09-03,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-04,0.0511,0.0511,0.0511,0.0511,142,1.0,0.0
2024-09-05,0.0511,0.0511,0.0511,0.0511,30,1.0,0.0
2024-09-06,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-09,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-10,0.0511,0.0511,0.0511,0.0511,5,1.0,0.0
2024-09-11,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-12,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-13,0.0511,0.0511,0.0511,0.0511,0,1.0,0.0
2024-09-16,0.0633,0.0633,0.0633,0.0633,100,1.0,0.0
2024-09-17,0.0633,0.0633,0.0633,0.0633,0,1.0,0.0
2024-09-18,0.0633,0.0633,0.0633,0.0633,0,1.0,0.0
