date,open,high,low,close,volume,split,dividend
2024-06-03,10.619999885559082,11.055999755859375,10.510000228881836,10.779999732971191,22500,1.0,0.0
2024-06-04,10.630000114440918,10.850000381469727,10.630000114440918,10.710000038146973,20300,1.0,0.0
2024-06-05,10.770000457763672,10.890000343322754,10.65999984741211,10.699999809265137,23600,1.0,0.0
2024-06-06,10.640000343322754,10.829999923706055,10.640000343322754,10.779999732971191,18600,1.0,0.0
2024-06-07,10.65999984741211,10.859999656677246,10.609999656677246,10.670000076293945,16900,1.0,0.0
2024-06-10,10.550000190734863,10.90999984741211,10.550000190734863,10.84000015258789,26600,1.0,0.0
2024-06-11,10.829999923706055,10.829999923706055,10.350000381469727,10.5,45500,1.0,0.0
2024-06-12,10.739999771118164,10.739999771118164,10.432000160217285,10.5,31500,1.0,0.0
2024-06-13,10.4399995803833,10.600000381469727,10.4399995803833,10.520000457763672,30600,1.0,0.0
2024-06-14,10.5,10.59000015258789,10.40999984741211,10.520000457763672,19300,1.0,0.0
2024-06-17,10.430000305175781,10.989999771118164,10.430000305175781,10.699999809265137,46600,1.0,0.0
2024-06-18,10.699999809265137,10.850000381469727,10.699999809265137,10.800000190734863,42600,1.0,0.0
2024-06-20,10.880000114440918,11.0,10.460000038146973,10.789999961853027,42700,1.0,0.0
2024-06-21,10.789999961853027,11.010000228881836,10.520000457763672,10.979999542236328,255400,1.0,0.0
2024-06-24,10.8100004196167,11.199999809265137,10.789999961853027,10.899999618530273,31600,1.0,0.0
2024-06-25,10.949999809265137,10.949999809265137,10.680000305175781,10.800000190734863,25000,1.0,0.0
2024-06-26,10.829999923706055,10.9399995803833,10.619999885559082,10.920000076293945,25500,1.0,0.0
2024-06-27,10.800000190734863,11.085000038146973,10.800000190734863,10.979999542236328,28400,1.0,0.0
2024-06-28,11.069999694824219,11.069999694824219,10.824999809265137,10.899999618530273,36000,1.0,0.0
2024-07-01,10.930000305175781,10.970000267028809,10.670000076293945,10.899999618530273,45200,1.0,0.0
2024-07-02,10.855999946594238,11.0,10.855999946594238,10.890000343322754,34500,1.0,0.0
2024-07-03,10.949999809265137,11.180000305175781,10.859999656677246,11.010000228881836,12900,1.0,0.0
2024-07-05,11.010000228881836,11.050000190734863,10.880000114440918,10.930000305175781,22900,1.0,0.0
2024-07-08,10.90999984741211,11.114999771118164,10.664999961853027,11.039999961853027,21700,1.0,0.0
2024-07-09,11.03499984741211,11.100000381469727,10.890000343322754,11.020000457763672,67400,1.0,0.0
2024-07-10,11.0,11.1899995803833,10.949999809265137,11.010000228881836,40400,1.0,0.0
2024-07-11,11.0,11.085000038146973,10.65999984741211,10.989999771118164,46600,1.0,0.0
2024-07-12,10.989999771118164,11.220000267028809,10.989999771118164,11.055000305175781,98700,1.0,0.0
2024-07-15,11.170000076293945,11.479999542236328,11.069999694824219,11.399999618530273,31700,1.0,0.0
2024-07-16,11.279999732971191,11.619999885559082,11.279999732971191,11.460000038146973,39100,1.0,0.0
2024-07-17,11.460000038146973,11.5600004196167,11.130000114440918,11.260000228881836,23400,1.0,0.0
2024-07-18,11.1899995803833,11.510000228881836,10.9350004196167,11.149999618530273,62500,1.0,0.0
2024-07-19,11.100000381469727,11.40999984741211,11.100000381469727,11.149999618530273,7500,1.0,0.0
2024-07-22,11.050000190734863,11.220000267028809,11.050000190734863,11.220000267028809,12900,1.0,0.0
2024-07-23,11.0600004196167,11.25,11.029999732971191,11.130000114440918,7700,1.0,0.0
2024-07-24,11.050000190734863,11.119999885559082,10.800000190734863,11.039999961853027,51800,1.0,0.0
2024-07-25,11.149999618530273,11.180000305175781,11.0,11.170000076293945,13100,1.0,0.0
2024-07-26,11.600000381469727,11.600000381469727,11.265000343322754,11.489999771118164,43800,1.0,0.0
2024-07-29,11.59000015258789,11.600000381469727,11.229999542236328,11.529999732971191,33500,1.0,0.0
2024-07-30,11.5,11.5,11.199999809265137,11.3100004196167,14100,1.0,0.0
2024-07-31,11.229999542236328,11.319999694824219,10.890000343322754,11.279999732971191,30500,1.0,0.0
2024-08-01,11.220000267028809,11.345000267028809,10.800000190734863,11.050000190734863,74300,1.0,0.0
2024-08-02,11.029999732971191,11.029999732971191,10.75,10.78499984741211,54600,1.0,0.0
2024-08-05,10.40999984741211,10.420999526977539,9.569999694824219,10.050000190734863,445900,1.0,0.0
2024-08-06,10.029999732971191,10.210000038146973,9.802000045776367,10.149999618530273,70900,1.0,0.0
2024-08-07,10.15999984741211,10.380000114440918,10.020000457763672,10.149999618530273,54500,1.0,0.0
2024-08-08,10.100000381469727,10.399999618530273,10.100000381469727,10.25,51400,1.0,0.0
2024-08-09,10.279000282287598,10.319999694824219,10.180000305175781,10.300000190734863,61600,1.0,0.0
2024-08-12,10.3100004196167,10.779999732971191,10.300000190734863,10.619999885559082,84600,1.0,0.0
