date,open,high,low,close,volume,split,dividend
2024-06-03,351000.0,367200.0,338040.0,338580.0,0,1.0,0.0
2024-06-04,351000.0,351000.0,324000.0,334800.0,0,1.0,0.0
2024-06-05,344520.0,351000.0,307800.0,340200.0,0,1.0,0.0
2024-06-06,329400.0,334800.0,319140.0,319140.0,0,1.0,0.0
2024-06-07,334800.0,351000.0,334800.0,345600.0,0,1.0,0.0
2024-06-10,355860.0,378000.0,334800.0,351000.0,0,1.0,0.0
2024-06-11,340740.0,351000.0,313740.0,351000.0,0,1.0,0.0
2024-06-12,345600.0,351000.0,313200.0,332640.0,0,1.0,0.0
2024-06-13,324000.0,349920.0,313200.0,318600.0,0,1.0,0.0
2024-06-14,324000.0,324000.0,302400.0,305100.0,0,1.0,0.0
2024-06-17,299700.0,299700.0,286200.0,299700.0,0,1.0,0.0
2024-06-18,290520.0,296460.0,270000.0,275400.0,0,1.0,0.0
2024-06-20,275400.0,361800.0,270540.0,340740.0,1,1.0,0.0
2024-06-21,340200.0,340200.0,291600.0,297540.0,0,1.0,0.0
2024-06-24,313200.0,318600.0,275400.0,291600.0,0,1.0,0.0
2024-06-25,297000.0,297000.0,253800.0,270000.0,0,1.0,0.0
2024-06-26,275400.0,297000.0,259740.0,283500.0,0,1.0,0.0
2024-06-27,295380.0,318060.0,286200.0,315900.0,0,1.0,0.0
2024-06-28,325080.0,410400.0,303480.0,378000.0,6,1.0,0.0
2024-07-01,292680.0,313200.0,264600.0,270000.0,1,1.0,0.0
2024-07-02,259200.0,259200.0,226800.0,252180.0,1,1.0,0.0
2024-07-03,248400.0,270000.0,230580.0,245700.0,0,1.0,0.0
2024-07-05,243540.0,270000.0,233820.0,251100.0,0,1.0,0.0
2024-07-08,253260.0,270000.0,248400.0,248400.0,0,1.0,0.0
2024-07-09,253800.0,263520.0,243000.0,248400.0,0,1.0,0.0
2024-07-10,255420.0,255420.0,240300.0,241380.0,0,1.0,0.0
2024-07-11,238140.0,261360.0,236520.0,253800.0,0,1.0,0.0
2024-07-12,253800.0,275400.0,226800.0,253800.0,0,1.0,0.0
2024-07-15,248940.0,264600.0,243540.0,256500.0,0,1.0,0.0
2024-07-16,264060.0,264600.0,242460.0,245700.0,0,1.0,0.0
2024-07-17,245700.0,265140.0,241920.0,249480.0,0,1.0,0.0
2024-07-18,248400.0,261900.0,237600.0,261360.0,0,1.0,0.0
2024-07-19,264600.0,264600.0,243000.0,243000.0,0,1.0,0.0
2024-07-22,243000.0,244080.0,226800.0,237600.0,0,1.0,0.0
