date,open,high,low,close,volume,split,dividend
2024-06-03,4.85,5.025,4.79,4.95,803060,1.0,0.0
2024-06-04,4.93,5.0,4.86,4.945,350208,1.0,0.0
2024-06-05,4.93,5.66,4.8,5.28,3068559,1.0,0.0
2024-06-06,4.5,4.82,3.03,3.285,6724880,1.0,0.0
2024-06-07,3.26,3.37,3.035,3.26,1618892,1.0,0.0
2024-06-10,3.24,3.51,3.1111,3.44,1669241,1.0,0.0
2024-06-11,3.35,3.3688,3.13,3.2,1036211,1.0,0.0
2024-06-12,3.2,3.4,2.92,2.98,2751803,1.0,0.0
2024-06-13,3.01,3.05,2.83,2.87,891228,1.0,0.0
2024-06-14,2.84,2.9926,2.831,2.88,444481,1.0,0.0
2024-06-17,2.86,2.86,2.7,2.75,912183,1.0,0.0
2024-06-18,2.75,2.87,2.7,2.75,605989,1.0,0.0
2024-06-20,2.76,2.76,2.5,2.51,699215,1.0,0.0
2024-06-21,2.55,2.655,2.5,2.51,1488897,1.0,0.0
2024-06-24,2.52,2.655,2.47,2.49,751455,1.0,0.0
2024-06-25,2.52,2.5201,2.31,2.39,1013895,1.0,0.0
2024-06-26,2.34,2.395,2.28,2.32,706201,1.0,0.0
2024-06-27,2.3,2.43,2.27,2.39,922162,1.0,0.0
2024-06-28,2.42,2.42,2.255,2.31,4560759,1.0,0.0
2024-07-01,2.37,2.37,2.175,2.26,882481,1.0,0.0
2024-07-02,2.24,2.24,2.13,2.14,626804,1.0,0.0
2024-07-03,2.15,2.275,2.07,2.22,664037,1.0,0.0
2024-07-05,2.18,2.21,2.07,2.18,554036,1.0,0.0
2024-07-08,2.18,2.33,2.16,2.29,747377,1.0,0.0
2024-07-09,2.27,2.39,2.22,2.34,462925,1.0,0.0
2024-07-10,2.38,2.46,2.34,2.44,639622,1.0,0.0
2024-07-11,2.51,2.6,2.4403,2.47,1569854,1.0,0.0
2024-07-12,2.54,2.63,2.46,2.56,874342,1.0,0.0
2024-07-15,2.58,2.86,2.55,2.84,931604,1.0,0.0
2024-07-16,2.84,3.21,2.84,3.2,1447985,1.0,0.0
2024-07-17,3.15,3.17,2.945,2.96,1101644,1.0,0.0
2024-07-18,2.98,2.98,2.73,2.75,829850,1.0,0.0
2024-07-19,2.76,2.79,2.455,2.55,1387140,1.0,0.0
2024-07-22,2.57,2.82,2.57,2.8,735145,1.0,0.0
2024-07-23,2.81,2.9299,2.76,2.88,720690,1.0,0.0
2024-07-24,2.86,2.91,2.81,2.84,375930,1.0,0.0
2024-07-25,2.83,3.0799,2.76,2.9,762209,1.0,0.0
2024-07-26,2.99,3.0,2.855,2.95,592994,1.0,0.0
2024-07-29,2.42,2.579,2.12,2.28,4127659,1.0,0.0
2024-07-30,2.3,2.43,2.29,2.3,1402468,1.0,0.0
2024-07-31,2.31,2.365,2.2408,2.32,1127345,1.0,0.0
2024-08-01,2.32,2.34,2.2201,2.24,850023,1.0,0.0
2024-08-02,2.2,2.23,2.07,2.08,1056266,1.0,0.0
2024-08-05,2.01,2.08,1.9501,2.02,803251,1.0,0.0
2024-08-06,2.04,2.0788,1.98,2.06,845275,1.0,0.0
2024-08-07,2.11,2.16,1.915,1.96,611295,1.0,0.0
2024-08-08,2.0,2.0,1.94,1.98,549526,1.0,0.0
2024-08-09,2.16,2.17,2.03,2.07,889488,1.0,0.0
2024-08-12,2.06,2.064,1.89,1.95,1283228,1.0,0.0
2024-08-13,1.96,1.98,1.9,1.95,1129932,1.0,0.0
2024-08-14,1.98,2.0,1.9,1.91,525985,1.0,0.0
2024-08-15,1.94,2.015,1.895,1.92,1569695,1.0,0.0
2024-08-16,1.93,1.93,1.84,1.85,1385128,1.0,0.0
2024-08-19,1.86,1.99,1.855,1.97,1128408,1.0,0.0
2024-08-20,1.98,1.98,1.91,1.96,698362,1.0,0.0
2024-08-21,1.95,2.06,1.94,1.96,1174647,1.0,0.0
