date,open,high,low,close,volume,split,dividend
2024-06-03,60625.0,74875.0,58750.0,69750.0,2,1.0,0.0
2024-06-04,72500.0,75000.0,58000.0,68375.0,3,1.0,0.0
2024-06-05,67125.0,70250.0,65125.0,68750.0,2,1.0,0.0
2024-06-06,70000.0,72500.0,69625.0,70625.0,1,1.0,0.0
2024-06-07,70625.0,70625.0,67500.0,68750.0,1,1.0,0.0
2024-06-10,68750.0,72500.0,67500.0,67500.0,1,1.0,0.0
2024-06-11,70000.0,72250.0,65000.0,66250.0,1,1.0,0.0
2024-06-12,71250.0,72500.0,62500.0,63875.0,2,1.0,0.0
2024-06-13,63000.0,63875.0,58750.0,58875.0,0,1.0,0.0
2024-06-14,61875.0,64625.0,59375.0,62125.0,3,1.0,0.0
2024-06-17,60250.0,62500.0,60000.0,61250.0,0,1.0,0.0
2024-06-18,60000.0,66000.0,60000.0,60750.0,1,1.0,0.0
2024-06-20,67375.0,73750.0,64125.0,65500.0,5,1.0,0.0
2024-06-21,67750.0,75625.0,67750.0,73750.0,5,1.0,0.0
2024-06-24,73750.0,96250.0,73500.0,92875.0,4,1.0,0.0
2024-06-25,95875.0,100000.0,75000.0,81875.0,2,1.0,0.0
2024-06-26,83000.0,97500.0,81875.0,87500.0,1,1.0,0.0
2024-06-27,87500.0,89875.0,81250.0,85250.0,1,1.0,0.0
2024-06-28,89750.0,91375.0,82500.0,85000.0,0,1.0,0.0
2024-07-01,87500.0,95375.0,84125.0,89875.0,1,1.0,0.0
2024-07-02,90000.0,97125.0,83750.0,91875.0,1,1.0,0.0
2024-07-03,95000.0,105875.0,93125.0,101250.0,2,1.0,0.0
2024-07-05,103625.0,108750.0,97500.0,101750.0,1,1.0,0.0
2024-07-08,101875.0,113750.0,98125.0,108625.0,2,1.0,0.0
2024-07-09,108875.0,133125.0,106500.0,113125.0,3,1.0,0.0
2024-07-10,116750.0,126250.0,113750.0,118125.0,2,1.0,0.0
2024-07-11,119625.0,131250.0,119625.0,125000.0,1,1.0,0.0
2024-07-12,128750.0,142500.0,123750.0,135000.0,3,1.0,0.0
2024-07-15,137500.0,141250.0,114125.0,118750.0,4,1.0,0.0
2024-07-16,116500.0,123750.0,115000.0,121750.0,1,1.0,0.0
2024-07-17,118750.0,138750.0,112625.0,123750.0,2,1.0,0.0
2024-07-18,121250.0,127500.0,114000.0,121250.0,1,1.0,0.0
2024-07-19,117500.0,121250.0,100125.0,105875.0,1,1.0,0.0
2024-07-22,103375.0,112500.0,102500.0,104125.0,1,1.0,0.0
2024-07-23,102250.0,124875.0,92625.0,118750.0,2,1.0,0.0
2024-07-24,113750.0,125000.0,100125.0,117500.0,1,1.0,0.0
2024-07-25,118125.0,125000.0,102625.0,120000.0,1,1.0,0.0
2024-07-26,120000.0,133750.0,120000.0,133750.0,2,1.0,0.0
2024-07-29,130000.0,142500.0,126250.0,135000.0,1,1.0,0.0
2024-07-30,135000.0,156250.0,134375.0,156250.0,2,1.0,0.0
2024-07-31,162500.0,178750.0,145000.0,156250.0,4,1.0,0.0
2024-08-01,162500.0,172500.0,150000.0,166250.0,1,1.0,0.0
2024-08-02,162500.0,166250.0,140625.0,155000.0,1,1.0,0.0
2024-08-05,138750.0,150000.0,115000.0,135000.0,2,1.0,0.0
2024-08-06,135000.0,146250.0,128750.0,130000.0,1,1.0,0.0
2024-08-07,135000.0,156500.0,126250.0,146250.0,1,1.0,0.0
2024-08-08,148750.0,166250.0,133750.0,162500.0,4,1.0,0.0
2024-08-09,158750.0,158750.0,147500.0,150000.0,1,1.0,0.0
2024-08-12,147500.0,185000.0,145000.0,182500.0,2,1.0,0.0
2024-08-13,172500.0,181250.0,166250.0,176250.0,2,1.0,0.0
2024-08-14,177500.0,186250.0,161250.0,182500.0,2,1.0,0.0
2024-08-15,182500.0,212500.0,178750.0,200000.0,3,1.0,0.0
2024-08-16,197500.0,218750.0,175000.0,215000.0,4,1.0,0.0
2024-08-19,216250.0,216250.0,195000.0,203125.0,1,1.0,0.0
2024-08-20,200000.0,202500.0,178375.0,180000.0,2,1.0,0.0
2024-08-21,197500.0,225000.0,190000.0,225000.0,3,1.0,0.0
2024-08-22,223750.0,275000.0,218750.0,273750.0,5,1.0,0.0
2024-08-23,287500.0,296250.0,235000.0,275000.0,5,1.0,0.0
